signal_set,tape_day,print_ts,fire_ts,joint_tight_at_fire
mark67_buy_aggr_tight_at_fire_filtered,1,39400,39500,True
mark67_buy_aggr_tight_at_fire_filtered,1,608500,608600,True
mark67_buy_aggr_tight_at_fire_filtered,1,622400,622500,True
mark67_buy_aggr_tight_at_fire_filtered,1,634800,634900,True
mark67_buy_aggr_tight_at_fire_filtered,1,703100,703200,True
mark67_buy_aggr_tight_at_fire_filtered,1,812900,813000,True
mark67_buy_aggr_tight_at_fire_filtered,1,879700,879800,True
mark67_buy_aggr_tight_at_fire_filtered,1,985600,985700,True
mark67_buy_aggr_tight_at_fire_filtered,2,547100,547200,True
mark67_buy_aggr_tight_at_fire_filtered,2,650600,650700,True
mark67_buy_aggr_tight_at_fire_filtered,2,720500,720600,True
mark67_buy_aggr_tight_at_fire_filtered,3,77600,77700,True
mark67_buy_aggr_tight_at_fire_filtered,3,99400,99500,True
mark67_buy_aggr_tight_at_fire_filtered,3,121800,121900,True
mark67_buy_aggr_tight_at_fire_filtered,3,130800,130900,True
mark67_buy_aggr_tight_at_fire_filtered,3,254300,254400,True
mark67_buy_aggr_tight_at_fire_filtered,3,264000,264100,True
mark67_buy_aggr_tight_at_fire_filtered,3,294300,294400,True
mark67_buy_aggr_tight_at_fire_filtered,3,349100,349200,True
mark67_buy_aggr_tight_at_fire_filtered,3,352000,352100,True
mark67_buy_aggr_tight_at_fire_filtered,3,357500,357600,True
mark67_buy_aggr_tight_at_fire_filtered,3,443100,443200,True
mark67_buy_aggr_tight_at_fire_filtered,3,462100,462200,True
mark67_buy_aggr_tight_at_fire_filtered,3,512800,512900,True
mark67_buy_aggr_tight_at_fire_filtered,3,560900,561000,True
mark67_buy_aggr_tight_at_fire_filtered,3,588300,588400,True
mark67_buy_aggr_tight_at_fire_filtered,3,616700,616800,True
mark67_buy_aggr_tight_at_fire_filtered,3,653400,653500,True
mark67_buy_aggr_tight_at_fire_filtered,3,677300,677400,True
mark67_buy_aggr_tight_at_fire_filtered,3,707800,707900,True
mark67_buy_aggr_tight_at_fire_filtered,3,753400,753500,True
mark67_buy_aggr_tight_at_fire_filtered,3,873400,873500,True
mark67_buy_aggr_tight_at_fire_filtered,3,947000,947100,True
mark67_buy_aggr_tight_at_fire_filtered,3,984300,984400,True
