pair,symbol,spread_bin,n,mean_dm
Mark 01|Mark 22,VEV_5200,tight,11,0.8636363636363636
Mark 01|Mark 22,VEV_5300,tight,132,-0.12121212121212122
Mark 01|Mark 22,VEV_5400,tight,213,0.08685446009389672
Mark 01|Mark 22,VEV_5400,wide,50,-0.16
Mark 01|Mark 22,VEV_5500,tight,283,0.03180212014134275
Mark 01|Mark 22,VEV_5500,wide,16,-0.09375
Mark 01|Mark 22,VEV_6000,tight,317,0.0
Mark 01|Mark 22,VEV_6500,tight,317,0.0
Mark 01|Mark 55,VELVETFRUIT_EXTRACT,tight,174,0.3620689655172414
Mark 01|Mark 55,VELVETFRUIT_EXTRACT,wide,86,-0.7151162790697675
Mark 14|Mark 22,VEV_5200,tight,33,0.015151515151515152
Mark 14|Mark 22,VEV_5300,tight,28,-0.25
Mark 14|Mark 22,VEV_5400,tight,12,-0.4166666666666667
Mark 14|Mark 22,VEV_5500,tight,7,-0.42857142857142855
Mark 14|Mark 38,HYDROGEL_PACK,tight,487,0.24537987679671458
Mark 14|Mark 38,HYDROGEL_PACK,wide,9,-0.3888888888888889
Mark 14|Mark 38,VEV_4000,tight,210,-0.10476190476190476
Mark 14|Mark 38,VEV_4000,wide,22,-0.8863636363636364
Mark 14|Mark 55,VELVETFRUIT_EXTRACT,tight,316,-0.23734177215189872
Mark 22|Mark 38,HYDROGEL_PACK,tight,11,-5.863636363636363
Mark 22|Mark 38,VEV_4000,tight,1,1.0
Mark 22|Mark 38,VEV_4500,tight,1,3.0
Mark 22|Mark 38,VEV_5000,tight,1,5.5
Mark 22|Mark 38,VEV_5100,tight,1,4.5
Mark 22|Mark 38,VEV_5200,tight,1,3.5
Mark 22|Mark 38,VEV_5300,tight,1,1.5
Mark 22|Mark 49,VELVETFRUIT_EXTRACT,tight,7,2.7142857142857144
Mark 22|Mark 55,VELVETFRUIT_EXTRACT,tight,18,0.5277777777777778
Mark 38|Mark 14,HYDROGEL_PACK,tight,501,-0.38223552894211577
Mark 38|Mark 14,HYDROGEL_PACK,wide,6,2.0833333333333335
Mark 38|Mark 14,VEV_4000,tight,194,0.14432989690721648
Mark 38|Mark 14,VEV_4000,wide,11,1.4545454545454546
Mark 38|Mark 22,HYDROGEL_PACK,tight,8,1.3125
Mark 38|Mark 22,VEV_4000,tight,2,5.0
Mark 38|Mark 22,VEV_4500,tight,2,3.75
Mark 38|Mark 22,VEV_5000,tight,2,1.5
Mark 38|Mark 22,VEV_5100,tight,2,1.0
Mark 38|Mark 22,VEV_5200,tight,2,0.25
Mark 38|Mark 22,VEV_5300,tight,1,2.5
Mark 49|Mark 22,VELVETFRUIT_EXTRACT,tight,12,-2.7083333333333335
Mark 49|Mark 55,VELVETFRUIT_EXTRACT,tight,5,-1.3
Mark 55|Mark 01,VELVETFRUIT_EXTRACT,tight,139,-0.6438848920863309
Mark 55|Mark 01,VELVETFRUIT_EXTRACT,wide,105,0.8666666666666667
Mark 55|Mark 14,VELVETFRUIT_EXTRACT,tight,331,0.5755287009063444
Mark 55|Mark 22,VELVETFRUIT_EXTRACT,tight,14,2.0357142857142856
Mark 55|Mark 49,VELVETFRUIT_EXTRACT,tight,9,2.6666666666666665
Mark 67|Mark 22,VELVETFRUIT_EXTRACT,tight,75,2.026666666666667
Mark 67|Mark 49,VELVETFRUIT_EXTRACT,tight,89,1.6348314606741574
Mark 67|Mark 55,VELVETFRUIT_EXTRACT,tight,1,7.0
