day,timestamp,vega_w_mispr,mean_spread_vev
0,0,0.188369276545262,5.7
0,20000,0.49409988098020396,5.6
0,40000,0.18081914532982152,5.7
0,60000,-0.80860694691717,5.8
0,80000,-0.4102771053614722,5.8
0,100000,-0.3040976337367592,5.8
0,120000,-0.38543757937733325,5.4
0,140000,-0.7619656711343417,5.5
0,160000,-0.39678874106461537,5.7
0,180000,-0.7046345434052984,5.6
0,200000,-0.535734985727142,5.5
0,220000,-0.4089972547534036,5.4
0,240000,-0.19321783246015345,5.6
0,260000,-0.02901889012959659,5.4
0,280000,-0.293193148178606,5.6
0,300000,-0.4686269007542846,5.8
0,320000,-0.19418708939429732,6.0
0,340000,-0.6670978004748254,5.9
0,360000,-1.369912388051703,2.8
0,380000,-0.3482391846382816,6.1
0,400000,-0.3162792641870165,5.7
0,420000,-0.021812820639303676,6.0
0,440000,-0.20284506817458958,5.6
0,460000,0.000540595869871318,5.7
0,480000,-0.19918353399061273,5.8
0,500000,0.03525088159895065,5.7
0,520000,-0.058165418333098566,5.6
0,540000,0.19528969024805842,5.7
0,560000,-0.1977605145902338,5.6
0,580000,0.16991375806317802,5.7
0,600000,-0.09580410268692521,5.6
0,620000,0.1351510971439579,5.5
0,640000,0.4089063931353186,5.3
0,660000,0.35157074621690315,5.5
0,680000,0.9539574311768783,5.6
0,700000,-0.12190146332058241,5.7
0,720000,-0.19009241468945257,5.6
0,740000,-0.5328811771131128,5.9
0,760000,0.04958012257893036,6.2
0,780000,-0.35254293051811725,5.7
0,800000,-0.26881518468185306,5.7
0,820000,0.09166155778669025,6.0
0,840000,-0.09486288135726932,6.1
0,860000,0.06880565996608179,5.8
0,880000,0.18856961242107545,5.8
0,900000,-0.21927661851088248,5.8
0,920000,0.5941316529141483,5.8
0,940000,0.8646945962482238,3.4
0,960000,1.3071154987672644,5.5
0,980000,0.788821878931253,5.7
1,0,0.6209433230599122,5.5
1,20000,0.7196990149407164,5.4
1,40000,0.5563147712567573,5.4
1,60000,0.5251947247336323,5.6
1,80000,0.8007552516263172,5.7
1,100000,0.18800905524324665,5.7
1,120000,0.4405873476601295,5.7
1,140000,0.17142879666141964,5.9
1,160000,-0.007325480679830762,5.8
1,180000,-0.019959736469910977,5.6
1,200000,0.2008869276889536,5.6
1,220000,0.2341615015494696,5.6
1,240000,0.43429794294346546,5.8
1,260000,0.5188910822203914,5.6
1,280000,0.3680876659192938,5.9
1,300000,0.6306608940416203,5.8
1,320000,0.5745707076738219,5.5
1,340000,0.8313031495199164,5.8
1,360000,0.6792315375843222,5.8
1,380000,0.9119243814168532,5.9
1,400000,1.2806335283046808,3.3
1,420000,0.6329597059517618,5.5
1,440000,0.5903624025963926,5.6
1,460000,0.13144788998607504,5.9
1,480000,0.3461033957927744,5.6
1,500000,0.2567689055966274,5.7
1,520000,-0.34850475490451754,5.7
1,540000,0.5649438345072038,5.5
1,560000,0.2986883972003493,5.5
1,580000,0.4716010672039656,5.6
1,600000,0.5429297647079072,5.7
1,620000,0.391019424670902,5.7
1,640000,0.7205642296638752,5.2
1,660000,0.4591746247641189,5.2
1,680000,0.5217083763315031,5.3
1,700000,0.4817000714146411,5.5
1,720000,0.653233332565726,5.7
1,740000,0.4878731873992787,5.6
1,760000,-0.2793609958411375,3.0
1,780000,0.30183230982832965,5.8
1,800000,0.5041081262895453,5.9
1,820000,0.2229168531523381,5.5
1,840000,0.3786380844911003,5.6
1,860000,0.2689088318859181,5.7
1,880000,0.011443234655425853,5.4
1,900000,0.047427577735706064,5.5
1,920000,0.13074010894722096,5.8
1,940000,0.6546238960855638,5.8
1,960000,0.5229319401634396,5.9
1,980000,0.8118699833051345,5.8
2,0,0.3553229499903159,5.8
2,20000,0.6233561584159999,6.1
2,40000,0.6236438755415183,5.8
2,60000,0.4510631339010641,5.6
2,80000,0.6218631901698471,5.8
2,100000,0.736865131869132,5.9
2,120000,0.39871449900345274,5.7
2,140000,0.4622135025071295,5.8
2,160000,0.5151656135473147,5.9
2,180000,0.34495830335398503,5.9
2,200000,0.7025669128957784,5.7
2,220000,0.46664859099146344,6.0
2,240000,0.31369841037520313,5.9
2,260000,0.5214663645720721,6.1
2,280000,0.28987790669146435,5.8
2,300000,0.4025423460373889,5.8
2,320000,0.19699436931514885,5.9
2,340000,0.32190088033440883,6.0
2,360000,0.2624736202956763,5.7
2,380000,0.4832254852845335,5.6
2,400000,0.05967743254487029,5.5
2,420000,0.3909730860973065,5.6
2,440000,0.3814079140580437,5.5
2,460000,0.12958919413065334,5.5
2,480000,0.5168462390410048,5.5
2,500000,0.12406242492534182,5.5
2,520000,0.07813092719066739,5.5
2,540000,0.007024981198221805,5.5
2,560000,-0.06417376889787559,5.6
2,580000,-0.22570081324638885,5.3
2,600000,-0.02902169073755273,5.6
2,620000,0.07191126950143512,5.5
2,640000,0.02890151978284578,5.5
2,660000,0.2507812612538973,5.8
2,680000,-0.023135923420982744,5.9
2,700000,0.003598085376519228,6.0
2,720000,-0.2038344192551745,5.6
2,740000,0.08613347607578913,5.4
2,760000,0.02595881697260492,5.4
2,780000,0.5304208493638413,5.7
2,800000,0.1245782467335616,5.8
2,820000,0.39627389282130837,5.7
2,840000,0.573487958716816,5.8
2,860000,0.4487999581945324,5.6
2,880000,0.41665789851578217,5.6
2,900000,0.4146823519476504,6.2
2,920000,0.6494913939300168,6.1
2,940000,0.6895199264463436,5.9
2,960000,0.2855093579278781,5.8
2,980000,1.013107281823524,5.9
