day,timestamp,iv_focal,theta_per_year_focal,carry_neg_theta_over_S,rv_extract_ann,iv_minus_rv
0,0,0.23922856527601916,-1623.510128417686,0.30924002446051163,,
0,20000,0.24060946037812125,-1656.1168345938333,0.31608299162016096,0.3421588004168977,-0.10154934003877647
0,40000,0.23789297528586553,-1649.7222454612124,0.31528375450763735,0.35033250715675485,-0.11243953187088931
0,60000,0.23457134566846513,-1606.9667352006295,0.30640990279352265,0.39927164343909566,-0.16470029777063053
0,80000,0.23471091809207528,-1599.1425699924796,0.3046275969125592,0.28317718243477596,-0.04846626434270068
0,100000,0.2357498640874825,-1632.458137488473,0.31168651789756047,0.36431486679744557,-0.12856500270996307
0,120000,0.23561268682156158,-1654.1986522050654,0.31677492382326033,0.3229879607888565,-0.08737527396729491
0,140000,0.23396427121003974,-1638.4171568617899,0.3134226985866647,0.3368299468456203,-0.10286567563558055
0,160000,0.23485897426593655,-1606.6038938914835,0.30601978931266355,0.3023066248756889,-0.06744765060975233
0,180000,0.23329291143086184,-1620.8145081884954,0.30940431577522104,0.4526862720090083,-0.21939336057814646
0,200000,0.23581901209698197,-1653.930496985787,0.3162088704685569,0.33310997964680433,-0.09729096754982236
0,220000,0.23580773878570974,-1663.4375744925699,0.31839172638387786,0.35311207857677257,-0.11730433979106283
0,240000,0.2370508074363324,-1660.976348213246,0.3173132769535287,0.2769813460005446,-0.03993053856421219
0,260000,0.23846954657623312,-1670.0736674198072,0.3189293740895268,0.29384036183756823,-0.05537081526133511
0,280000,0.23817869903662645,-1666.5299231492081,0.318131129741187,0.319224669476866,-0.08104597044023956
0,300000,0.2368143260544371,-1618.226891781185,0.30785254290520025,0.32576493911813853,-0.08895061306370142
0,320000,0.2393198607155731,-1605.7152749423005,0.3048054811963365,0.24125408664693385,-0.0019342259313607502
0,340000,0.23651113293185957,-1614.2926039030558,0.3069872784830381,0.31761436807243365,-0.08110323514057408
0,360000,0.2362361665018871,-1533.1686555178696,0.2902079605371701,0.3248661909865299,-0.0886300244846428
0,380000,0.23798193128876127,-1592.7606877315013,0.30220295754321247,0.31163302910495777,-0.0736510978161965
0,400000,0.2387221260931769,-1633.9313069436557,0.31066285900630397,0.3421738780489002,-0.10345175195572331
0,420000,0.2410948369898909,-1645.2578921988998,0.31263807927770065,0.35874982423599433,-0.11765498724610343
0,440000,0.24143101522335833,-1696.5105923626586,0.323514605713703,0.34484439942419715,-0.10341338420083881
