voucher,lag,mean_corr_du_do,n_day_estimates
VEV_4000,0,0.5946568351242018,3
VEV_4000,1,-0.024111047631117665,3
VEV_4000,2,-0.0004033325718082654,3
VEV_4000,3,-0.0011350285804733594,3
VEV_4500,0,0.5976669969469195,3
VEV_4500,1,0.009581615882961273,3
VEV_4500,2,-0.0012198670487261667,3
VEV_4500,3,-0.0018074375356479878,3
VEV_5000,0,0.7524482225055649,3
VEV_5000,1,-0.006375547124852949,3
VEV_5000,2,-0.003733291960371259,3
VEV_5000,3,-0.0034996032334948875,3
VEV_5100,0,0.762776684094676,3
VEV_5100,1,-0.012033495550586982,3
VEV_5100,2,0.003961616798474137,3
VEV_5100,3,-0.005870937192613955,3
VEV_5200,0,0.7190721064888628,3
VEV_5200,1,-0.00939792972497376,3
VEV_5200,2,0.0008822955672222298,3
VEV_5200,3,-0.002486205015797627,3
VEV_5300,0,0.6128618708679209,3
VEV_5300,1,-0.0019309962422862502,3
VEV_5300,2,-0.0038529455524283066,3
VEV_5300,3,-0.000878629496019378,3
VEV_5400,0,0.530050481368893,3
VEV_5400,1,-0.0014496320179226043,3
VEV_5400,2,-0.008349186717706979,3
VEV_5400,3,0.006286325738862839,3
VEV_5500,0,0.34028670782751075,3
VEV_5500,1,0.004804625269144168,3
VEV_5500,2,-0.002681056787390208,3
VEV_5500,3,-0.004050475711113601,3
VEV_6000,0,,0
VEV_6000,1,,0
VEV_6000,2,,0
VEV_6000,3,,0
VEV_6500,0,,0
VEV_6500,1,,0
VEV_6500,2,,0
VEV_6500,3,,0
