day,dte_open_calendar,timestamp,T_years,S,atm_strike,iv_market_atm,iv_model_smile_atm,iv_minus_model,rv_ann_short_horizon,iv_minus_rv,mean_vev_spread
0,8,0,0.021917808219178082,5250.0,5200,0.23922856527601916,0.23646252818892294,0.002766037087096218,,,5.7
0,8,20000,0.021863013698630137,5239.5,5200,0.24060946037812125,0.23621901223201186,0.004390448146109394,,,5.6
0,8,40000,0.02180821917808219,5232.5,5200,0.237892975082484,0.23608505836636787,0.0018079167161161314,,,5.7
0,8,60000,0.021753424657534246,5244.5,5200,0.23457134566846513,0.23633191931980987,-0.0017605736513447434,,,5.8
0,8,80000,0.0216986301369863,5249.5,5200,0.23471091809207528,0.23645612199596858,-0.0017452039038932943,,,5.8
0,8,100000,0.02164383561643836,5237.5,5200,0.2357498653564265,0.23618198102618917,-0.0004321156697626727,3.1800368642487564,-2.9442869988923297,5.8
0,8,120000,0.02158904109589041,5222.0,5200,0.23561268682156158,0.23592744844739663,-0.0003147616258350472,3.269250219717373,-3.0336375328958116,5.4
0,8,140000,0.021534246575342468,5227.5,5200,0.23396427120885313,0.23600548824628365,-0.002041217037430515,3.2042288953285007,-2.9702646241196478,5.5
0,8,160000,0.02147945205479452,5250.0,5200,0.23485897426693667,0.23647571859971053,-0.0016167443327738673,4.048422192083965,-3.8135632178170287,5.7
0,8,180000,0.021424657534246577,5238.5,5200,0.23329291143086184,0.236206428157808,-0.002913516726946175,3.960738294368761,-3.727445382937899,5.6
0,8,200000,0.02136986301369863,5230.5,5200,0.23581901201111996,0.236055971282151,-0.00023695927103103975,3.7894976332798103,-3.5536786212686904,5.5
0,8,220000,0.021315068493150686,5224.5,5200,0.23580773878570974,0.2359630803236932,-0.00015534153798346662,3.6141518961458856,-3.378344157360176,5.4
0,8,240000,0.021260273972602738,5234.5,5200,0.2370508060830992,0.23612954891804872,0.0009212571650504819,3.610977866608723,-3.3739270605256237,5.6
