day,timestamp,vega_weighted_iv,rv_ann,ivw_minus_rv,n_ivs
0,0,0.24332541780360564,,,8
0,20000,0.2461542573727474,0.33311606423285195,-0.08696180686010455,9
0,40000,0.24495669132148526,0.37358671352292655,-0.1286300222014413,9
0,60000,0.23944691366820467,0.40501283488633055,-0.16556592121812588,8
0,80000,0.24116001800121084,0.32373645158241454,-0.0825764335812037,8
0,100000,0.24354955639767545,0.4158708383194545,-0.17232128192177903,9
0,120000,0.24174558713639602,0.28014741769221235,-0.038401830555816335,8
0,140000,0.24008109783610804,0.3620311619468763,-0.12195006411076825,8
0,160000,0.24402718470073806,0.24283479118053722,0.0011923935202008407,9
0,180000,0.24038812378812102,0.4448526048442361,-0.2044644810561151,8
0,200000,0.2409423847023868,0.2768646074223273,-0.03592222271994053,8
0,220000,0.24171810243346817,0.39008660767989567,-0.1483685052464275,8
0,240000,0.24407369719122246,0.2669566167380763,-0.02288291954685384,9
0,260000,0.24452212514079003,0.3284343860735652,-0.08391226093277515,9
0,280000,0.24338846424186622,0.3312368613765906,-0.08784839713472437,9
0,300000,0.2410721831657763,0.29855711374597116,-0.057484930580194854,8
0,320000,0.24225373714901483,0.210185939424609,0.03206779772440582,8
0,340000,0.24034679828311528,0.3132103773384729,-0.07286357905535762,8
0,360000,0.23695668613775756,0.30214726865096264,-0.06519058251320509,8
0,380000,0.24198741385568942,0.35411216150880165,-0.11212474765311223,8
0,400000,0.2419880827239337,0.24699598197737244,-0.0050078992534387246,8
0,420000,0.2446189915426075,0.3663453611652942,-0.12172636962268671,9
0,440000,0.2422905131165211,0.2957195179259654,-0.05342900480944429,8
0,460000,0.24428860989913767,0.27548967020564064,-0.031201060306502965,9
0,480000,0.24214815178977986,0.27768146541316924,-0.03553331362338938,8
0,500000,0.24505778926028265,0.3552699550200285,-0.11021216575974585,9
0,520000,0.2427906542436624,0.4215361331949862,-0.17874547895132378,8
0,540000,0.24581973700863383,0.43423898392612853,-0.1884192469174947,9
0,560000,0.242074715489288,0.30674332052956715,-0.06466860504027916,8
0,580000,0.24573295998469322,0.2713119316892244,-0.02557897170453119,9
0,600000,0.2429420472685133,0.3227998882599837,-0.07985784099147039,8
0,620000,0.24383103021688618,0.3628611494866509,-0.1190301192697647,8
0,640000,0.24905466530896567,0.3957340213677267,-0.146679356058761,10
0,660000,0.24508408093746017,0.29257369849268355,-0.04748961755522338,8
0,680000,0.26023865332676527,0.48975236128087274,-0.22951370795410747,10
0,700000,0.24284210659307665,0.3721832543444462,-0.12934114775136957,8
0,720000,0.24267836194303657,0.3306902567366167,-0.0880118947935801,8
0,740000,0.2412837587208677,0.3246012881266444,-0.08331752940577669,8
0,760000,0.2440247173008832,0.3652940294180193,-0.1212693121171361,8
0,780000,0.24254965689646987,0.32337183609800946,-0.08082217920153958,8
0,800000,0.24301306768859615,0.28422529135631097,-0.04121222366771482,8
0,820000,0.24417409957704922,0.39254494209366353,-0.1483708425166143,8
0,840000,0.24356791314829698,0.31901975604840177,-0.07545184290010479,8
0,860000,0.24413315909642425,0.27992911959612693,-0.035795960499702684,8
0,880000,0.24472217328884052,0.34495557888539574,-0.10023340559655522,8
0,900000,0.24282555157201144,0.2941389843628679,-0.051313432790856456,8
0,920000,0.24807305517934966,0.2371165674834045,0.01095648769594515,9
0,940000,0.2760284811801338,0.3156911510668836,-0.039662669886749824,10
0,960000,0.2612588031174172,0.409162825803045,-0.1479040226856278,10
0,980000,0.24769813822873094,0.30416758776103614,-0.056469449532305205,8
1,0,0.2464591463336719,,,8
