day,timestamp,atm_name,iv_atm,rv,iv_minus_rv,next_opt_ret
0,0,VEV_5200,0.23922856527601916,,,0.009852216748768473
0,20000,VEV_5200,0.24060946037812125,0.3289854699943044,-0.08837600961618314,-0.010471204188481676
0,40000,VEV_5200,0.23789297528586553,0.35168846874039367,-0.11379549345452813,-0.0055248618784530384
0,60000,VEV_5200,0.23457134566846513,0.40527657089600433,-0.1707052252275392,0.010362694300518135
0,80000,VEV_5200,0.23471091809207528,0.2800634924816687,-0.04535257438959339,0.0
0,100000,VEV_5200,0.2357498640874825,0.36665630959315976,-0.13090644550567726,-0.005405405405405406
0,120000,VEV_5200,0.23561268682156158,0.32454259946412567,-0.08892991264256409,-0.005988023952095809
0,140000,VEV_5200,0.23396427121003974,0.34234385463732714,-0.1083795834272874,0.005813953488372093
0,160000,VEV_5200,0.23485897426593655,0.3070765302036258,-0.07221755593768925,0.0
0,180000,VEV_5200,0.23329291143086184,0.4558744023400749,-0.2225814909092131,0.005434782608695652
0,200000,VEV_5200,0.23581901209698197,0.3381944067146805,-0.10237539461769851,0.011363636363636364
0,220000,VEV_5200,0.23580773878570974,0.3545400988362238,-0.11873236005051405,0.005917159763313609
0,240000,VEV_5200,0.2370508074363324,0.2741997268926664,-0.03714891945633403,-0.011049723756906077
0,260000,VEV_5200,0.23846954657623312,0.2987212204023218,-0.060251673826088675,-0.005434782608695652
0,280000,VEV_5200,0.23817869903662645,0.3230688214932988,-0.08489012245667235,-0.005376344086021506
0,300000,VEV_5300,0.23767796560362398,0.331150002976219,-0.09347203737259502,0.0
0,320000,VEV_5300,0.2383707698782068,0.24301852469308854,-0.004647754814881749,0.0
0,340000,VEV_5300,0.23719072348150638,0.30428666414780786,-0.06709594066630148,-0.009345794392523364
0,360000,VEV_5300,0.23470722480497752,0.3255230226062139,-0.09081579780123639,0.015748031496062992
0,380000,VEV_5300,0.23731168498973096,0.31541984597327694,-0.07810816098354598,0.0
