csv_day,timestamp,n_prints,top_buyer,n_distinct_symbols
1,4500,4,Mark 01,4
1,9600,4,Mark 01,4
1,11800,3,Mark 01,3
1,14800,6,Mark 01,6
1,16700,6,Mark 01,6
1,38500,3,Mark 01,3
1,39400,2,Mark 22,1
1,40400,5,Mark 01,5
1,43400,4,Mark 01,4
1,50700,4,Mark 01,4
1,52800,4,Mark 01,4
1,53400,3,Mark 01,3
1,63200,2,Mark 38,2
1,73400,2,Mark 22,1
1,74100,5,Mark 01,5
1,82300,2,Mark 38,2
1,85300,5,Mark 01,5
1,86100,4,Mark 01,4
1,89800,4,Mark 01,4
1,120300,4,Mark 01,4
1,127200,3,Mark 01,3
1,135900,5,Mark 01,5
1,145500,4,Mark 01,4
1,150600,5,Mark 01,5
1,153000,4,Mark 01,4
1,167600,2,Mark 01,2
1,170400,4,Mark 01,4
1,170500,4,Mark 01,4
1,172500,5,Mark 01,5
1,190100,5,Mark 01,5
1,195600,5,Mark 01,5
1,206200,3,Mark 01,3
1,218900,2,Mark 38,2
1,235300,4,Mark 01,4
1,239600,2,Mark 14,2
1,252500,6,Mark 01,6
1,269300,2,Mark 14,2
1,282200,2,Mark 38,2
1,304000,4,Mark 01,4
1,308100,2,Mark 14,2
1,310100,4,Mark 01,4
1,322000,4,Mark 01,4
1,322600,4,Mark 01,4
1,323300,2,Mark 38,2
1,335300,2,Mark 14,2
1,345700,2,Mark 38,2
1,350300,4,Mark 01,4
1,376600,5,Mark 01,5
1,377900,4,Mark 01,4
1,399700,4,Mark 01,4
1,410400,4,Mark 01,4
1,428000,4,Mark 01,4
1,437100,10,Mark 38,10
1,455700,4,Mark 01,4
1,459900,2,Mark 55,2
1,460400,5,Mark 01,5
1,476500,4,Mark 01,4
1,489700,6,Mark 01,6
1,502700,3,Mark 01,3
1,503500,2,Mark 14,2
1,519500,5,Mark 01,5
1,524000,4,Mark 01,4
1,527700,2,Mark 38,2
1,537500,2,Mark 14,2
1,547600,3,Mark 01,3
1,548400,3,Mark 01,3
1,553100,4,Mark 01,4
1,564300,6,Mark 01,6
1,567200,4,Mark 01,4
1,568900,5,Mark 01,5
1,574800,4,Mark 01,4
1,575800,4,Mark 01,4
1,588200,5,Mark 01,5
1,604600,5,Mark 01,5
1,612900,2,Mark 22,1
1,617900,5,Mark 01,5
1,618300,5,Mark 01,5
1,624400,6,Mark 01,6
1,631700,3,Mark 01,3
1,634800,2,Mark 01,1
1,636100,5,Mark 01,5
1,642100,6,Mark 01,6
1,654200,4,Mark 01,4
1,674000,5,Mark 01,5
1,684000,4,Mark 01,4
1,701200,5,Mark 01,5
1,703200,4,Mark 01,4
1,710500,5,Mark 01,5
1,715000,4,Mark 01,4
1,720500,6,Mark 01,6
1,725000,5,Mark 01,5
1,725800,2,Mark 14,2
1,735100,4,Mark 01,4
1,741900,4,Mark 01,4
1,746300,4,Mark 01,4
1,754200,4,Mark 01,4
1,760000,4,Mark 01,4
1,772000,2,Mark 38,2
1,785800,5,Mark 01,5
1,792200,2,Mark 38,2
1,798100,4,Mark 01,4
1,800400,4,Mark 01,4
1,801800,4,Mark 01,4
1,807800,5,Mark 01,5
1,812600,5,Mark 01,5
1,813000,3,Mark 01,3
1,815000,2,Mark 38,2
1,824800,3,Mark 01,3
1,848900,4,Mark 14,4
1,851200,4,Mark 01,4
1,865400,4,Mark 01,4
1,868800,3,Mark 01,3
1,901100,4,Mark 01,4
1,921000,4,Mark 01,4
1,928400,3,Mark 01,3
1,937300,4,Mark 01,4
1,943100,4,Mark 01,4
1,948500,5,Mark 01,5
1,950300,5,Mark 01,5
1,988000,2,Mark 14,2
1,988100,6,Mark 01,6
1,990300,3,Mark 01,3
2,13100,4,Mark 01,4
2,20900,5,Mark 01,5
2,23500,4,Mark 01,4
2,29500,4,Mark 01,4
2,41900,4,Mark 01,4
2,42900,4,Mark 01,4
2,45100,5,Mark 01,5
2,52900,3,Mark 01,3
2,75200,5,Mark 01,5
2,79300,5,Mark 01,5
2,85500,2,Mark 38,2
2,91700,2,Mark 38,2
2,102600,4,Mark 01,4
2,105500,4,Mark 01,4
2,129300,2,Mark 22,1
2,129700,5,Mark 01,5
2,169000,6,Mark 01,6
2,169200,2,Mark 38,2
2,171800,4,Mark 01,4
2,189100,5,Mark 01,5
2,204400,5,Mark 01,5
2,212100,2,Mark 55,2
2,225500,5,Mark 01,5
2,239400,5,Mark 01,5
2,253000,4,Mark 01,4
2,268900,4,Mark 01,4
2,272000,3,Mark 01,3
2,272900,2,Mark 38,2
2,275200,4,Mark 01,4
2,278800,2,Mark 14,2
2,282600,2,Mark 49,1
2,287100,4,Mark 01,4
2,287600,4,Mark 01,4
2,288000,2,Mark 38,2
2,289300,5,Mark 01,5
2,294600,4,Mark 01,4
2,316700,4,Mark 01,4
2,317500,4,Mark 01,4
2,320800,5,Mark 01,5
2,321600,5,Mark 01,5
2,328700,2,Mark 55,2
2,341400,4,Mark 01,4
2,344600,2,Mark 38,2
2,347800,4,Mark 01,4
2,350700,5,Mark 01,5
2,358500,5,Mark 01,5
2,362600,4,Mark 01,4
2,365600,5,Mark 01,5
2,372300,2,Mark 01,2
2,373800,3,Mark 01,3
2,376300,4,Mark 01,4
2,389000,5,Mark 01,5
2,389600,2,Mark 49,2
2,390300,5,Mark 01,5
2,398200,4,Mark 01,4
2,410200,4,Mark 01,4
2,414900,6,Mark 01,6
2,415500,4,Mark 01,4
2,423800,7,Mark 01,7
2,433100,6,Mark 01,6
2,443600,5,Mark 01,5
2,456200,5,Mark 01,5
2,461200,5,Mark 01,5
2,483400,6,Mark 01,6
2,495700,5,Mark 01,5
2,501900,5,Mark 01,5
2,508800,4,Mark 01,4
2,519600,6,Mark 01,6
2,519800,2,Mark 38,2
2,548600,3,Mark 01,3
2,554600,6,Mark 01,6
2,555700,5,Mark 01,5
2,566700,4,Mark 01,4
2,573500,2,Mark 01,2
2,575100,4,Mark 01,4
2,578300,2,Mark 38,2
2,587100,5,Mark 01,5
2,588400,2,Mark 38,2
2,588500,5,Mark 01,5
2,593000,4,Mark 01,4
2,604100,5,Mark 01,5
2,610900,2,Mark 14,2
2,622600,4,Mark 01,4
2,642400,4,Mark 01,4
2,644500,4,Mark 01,4
2,666500,6,Mark 01,6
2,675600,2,Mark 38,2
2,687700,2,Mark 01,1
2,688600,4,Mark 01,4
2,691100,4,Mark 01,4
2,695800,3,Mark 01,3
2,711900,5,Mark 01,5
2,726600,4,Mark 01,4
2,733200,4,Mark 01,4
2,748500,4,Mark 01,4
2,763500,4,Mark 01,4
2,764000,5,Mark 01,5
2,779200,5,Mark 01,5
2,793900,5,Mark 01,5
2,808800,5,Mark 01,5
2,825900,4,Mark 01,4
2,826400,5,Mark 01,5
2,836300,5,Mark 01,5
2,840900,2,Mark 14,1
2,872600,5,Mark 01,5
2,876500,5,Mark 01,5
2,898600,4,Mark 01,4
2,910900,3,Mark 01,3
2,924200,3,Mark 01,3
2,934900,4,Mark 01,4
2,947900,2,Mark 14,2
2,948000,3,Mark 01,3
2,948500,5,Mark 01,5
2,961700,2,Mark 14,2
2,972800,4,Mark 01,4
2,977300,4,Mark 01,4
2,977500,4,Mark 01,4
2,978600,2,Mark 38,2
2,993800,5,Mark 01,5
2,996500,2,Mark 14,2
3,32900,5,Mark 01,5
3,33600,5,Mark 01,5
3,37000,4,Mark 01,4
3,40200,4,Mark 01,4
3,45600,4,Mark 01,4
3,47200,4,Mark 01,4
3,54400,4,Mark 01,4
3,69900,4,Mark 01,4
3,70100,4,Mark 01,4
3,70300,4,Mark 01,4
3,74300,4,Mark 01,4
3,77300,2,Mark 55,1
3,87300,4,Mark 01,4
3,92200,5,Mark 01,5
3,98900,6,Mark 01,6
3,118700,4,Mark 01,4
3,126600,5,Mark 01,5
3,128700,6,Mark 01,6
3,132100,4,Mark 01,4
3,137700,5,Mark 01,5
3,142700,5,Mark 01,5
3,144800,4,Mark 01,4
3,155400,10,Mark 38,10
3,166000,4,Mark 01,4
3,172300,3,Mark 01,3
3,182100,2,Mark 38,2
3,218300,5,Mark 01,5
3,220800,5,Mark 01,5
3,222400,6,Mark 01,6
3,229500,2,Mark 14,2
3,231300,2,Mark 14,2
3,243700,5,Mark 01,5
3,250200,4,Mark 01,4
3,253400,4,Mark 01,4
3,269000,6,Mark 01,6
3,273400,3,Mark 01,3
3,289400,5,Mark 01,5
3,290900,5,Mark 01,5
3,315800,5,Mark 01,5
3,317200,5,Mark 01,5
3,319700,5,Mark 01,5
3,320200,6,Mark 01,6
3,323600,2,Mark 14,2
3,328700,6,Mark 01,6
3,329200,5,Mark 01,5
3,332600,5,Mark 01,5
3,334800,2,Mark 38,2
3,346200,5,Mark 01,5
3,350300,5,Mark 01,5
3,358100,2,Mark 38,2
3,363100,6,Mark 01,6
3,364700,5,Mark 01,5
3,369800,6,Mark 01,6
3,370100,6,Mark 22,6
3,380200,2,Mark 38,2
3,385400,5,Mark 01,5
3,389100,5,Mark 01,5
3,391400,5,Mark 01,5
3,396000,5,Mark 01,5
3,399000,2,Mark 14,2
3,428900,6,Mark 01,6
3,431900,6,Mark 01,6
3,442200,5,Mark 01,5
3,451300,6,Mark 01,6
3,456600,5,Mark 01,5
3,459800,5,Mark 01,5
3,483900,4,Mark 01,4
3,485500,4,Mark 01,4
3,498100,6,Mark 01,6
3,511800,6,Mark 01,6
3,516400,6,Mark 01,6
3,519700,2,Mark 14,2
3,524000,6,Mark 01,6
3,529600,5,Mark 01,5
3,531500,5,Mark 01,5
3,534000,2,Mark 55,2
3,535400,5,Mark 01,5
3,535900,6,Mark 01,6
3,547600,5,Mark 01,5
3,551600,4,Mark 01,4
3,555100,6,Mark 01,6
3,556400,4,Mark 01,4
3,565600,4,Mark 01,4
3,578300,2,Mark 38,2
3,580600,5,Mark 01,5
3,583100,4,Mark 01,4
3,584300,5,Mark 01,5
3,612700,5,Mark 01,5
3,614800,4,Mark 01,4
3,621000,4,Mark 01,4
3,622500,6,Mark 01,6
3,624200,5,Mark 01,5
3,627700,5,Mark 01,5
3,631300,5,Mark 01,5
3,631500,5,Mark 01,5
3,634500,5,Mark 01,5
3,642500,5,Mark 01,5
3,666500,4,Mark 01,4
3,666700,3,Mark 01,3
3,671800,5,Mark 01,5
3,671900,5,Mark 01,5
3,678700,4,Mark 01,4
3,689900,5,Mark 01,5
3,699400,7,Mark 01,7
3,700300,5,Mark 01,5
3,705400,6,Mark 01,6
3,708800,5,Mark 01,5
3,728500,5,Mark 01,5
3,730000,5,Mark 01,5
3,741100,5,Mark 01,5
3,753700,5,Mark 01,5
3,759800,2,Mark 38,2
3,766900,4,Mark 01,4
3,776400,2,Mark 14,2
3,777600,5,Mark 01,5
3,784100,4,Mark 01,4
3,785100,5,Mark 01,5
3,788300,4,Mark 01,4
3,793100,4,Mark 01,4
3,807400,5,Mark 01,5
3,810500,2,Mark 22,1
3,820200,5,Mark 01,5
3,826200,5,Mark 01,5
3,834400,6,Mark 01,6
3,837500,4,Mark 01,4
3,839800,5,Mark 01,5
3,842200,4,Mark 01,4
3,852100,2,Mark 55,2
3,864100,5,Mark 01,5
3,868300,5,Mark 01,5
3,877600,7,Mark 01,7
3,878300,5,Mark 01,5
3,890900,6,Mark 01,6
3,894300,5,Mark 01,5
3,896800,2,Mark 22,1
3,903300,2,Mark 14,2
3,918500,5,Mark 01,5
3,922400,2,Mark 38,2
3,937000,4,Mark 01,4
3,937400,4,Mark 01,4
3,943900,6,Mark 01,6
3,977300,5,Mark 01,5
3,983300,5,Mark 01,5
3,993700,2,Mark 55,2
3,997100,4,Mark 01,4
