mark,role,symbol,K,n,mean_fwd,t_stat,frac_pos
Mark 49,as_buyer,VELVETFRUIT_EXTRACT,100,16,-3.8125,-3.148347783623802,0.1875
Mark 49,as_buyer,VELVETFRUIT_EXTRACT,20,17,-2.2941176470588234,-1.8384776310850233,0.47058823529411764
Mark 22,as_buyer,VELVETFRUIT_EXTRACT,100,25,2.2,1.0753051227015626,0.52
Mark 67,buyer_aggr,VELVETFRUIT_EXTRACT,5,164,1.9603658536585367,13.025623326344341,0.8353658536585366
Mark 67,as_buyer,VELVETFRUIT_EXTRACT,5,165,1.9454545454545455,12.941467482109264,0.8303030303030303
Mark 67,as_buyer,VELVETFRUIT_EXTRACT,20,165,1.8454545454545455,5.967043172323755,0.6484848484848484
Mark 49,as_buyer,VELVETFRUIT_EXTRACT,5,17,-1.8235294117647058,-2.6229071768107897,0.17647058823529413
Mark 49,as_seller,VELVETFRUIT_EXTRACT,5,105,1.819047619047619,9.63090606602775,0.780952380952381
Mark 67,buyer_aggr,VELVETFRUIT_EXTRACT,20,164,1.8140243902439024,5.86010068131766,0.6463414634146342
Mark 49,as_seller,VELVETFRUIT_EXTRACT,20,105,1.7952380952380953,4.876686926034512,0.6761904761904762
Mark 49,as_seller,VELVETFRUIT_EXTRACT,100,104,1.7836538461538463,1.9798235804630602,0.5288461538461539
Mark 22,as_seller,VELVETFRUIT_EXTRACT,5,101,1.5445544554455446,6.414784961470638,0.7920792079207921
Mark 67,as_buyer,VELVETFRUIT_EXTRACT,100,164,1.478658536585366,2.0114056473363218,0.5426829268292683
Mark 22,as_seller,VELVETFRUIT_EXTRACT,20,101,1.4653465346534653,3.263611196378688,0.6237623762376238
Mark 67,buyer_aggr,VELVETFRUIT_EXTRACT,100,163,1.3711656441717792,1.873917213276957,0.5398773006134969
Mark 14,as_buyer,VELVETFRUIT_EXTRACT,100,311,-1.2620578778135048,-2.572083362790216,0.4115755627009646
Mark 22,as_buyer,VELVETFRUIT_EXTRACT,20,25,1.14,1.343098771807734,0.6
Mark 14,as_seller,VELVETFRUIT_EXTRACT,100,328,1.0975609756097562,2.2196620491830568,0.524390243902439
Mark 55,as_seller,VELVETFRUIT_EXTRACT,100,595,-0.9184873949579831,-2.504567788249763,0.4369747899159664
Mark 55,seller_aggr,VELVETFRUIT_EXTRACT,100,595,-0.9184873949579831,-2.504567788249763,0.4369747899159664
Mark 14,as_buyer,HYDROGEL_PACK,100,494,0.8927125506072875,1.0968620899695485,0.49190283400809715
Mark 22,as_seller,VEV_5200,100,46,0.8804347826086957,0.9410055737562313,0.5869565217391305
Mark 14,as_buyer,VEV_5300,100,30,0.65,1.1549231186364703,0.5333333333333333
Mark 01,as_buyer,VELVETFRUIT_EXTRACT,100,260,-0.6346153846153846,-1.1125083621188172,0.4653846153846154
Mark 22,seller_aggr,VEV_5200,100,44,0.625,0.6621679449607971,0.5681818181818182
Mark 38,as_seller,HYDROGEL_PACK,100,505,0.5881188118811881,0.7280135711120933,0.48514851485148514
Mark 38,seller_aggr,HYDROGEL_PACK,100,505,0.5881188118811881,0.7280135711120933,0.48514851485148514
Mark 14,as_seller,VELVETFRUIT_EXTRACT,20,331,0.5755287009063444,2.713686226945129,0.5196374622356495
Mark 38,as_buyer,HYDROGEL_PACK,100,512,-0.548828125,-0.6767017673724867,0.486328125
Mark 38,buyer_aggr,HYDROGEL_PACK,100,512,-0.548828125,-0.6767017673724867,0.486328125
Mark 55,as_buyer,VELVETFRUIT_EXTRACT,100,595,0.5310924369747899,1.4038715282649978,0.4991596638655462
Mark 55,buyer_aggr,VELVETFRUIT_EXTRACT,100,595,0.5310924369747899,1.4038715282649978,0.4991596638655462
Mark 14,as_seller,HYDROGEL_PACK,100,505,-0.49504950495049505,-0.6070194537656002,0.48514851485148514
Mark 14,as_buyer,VEV_5300,5,30,-0.4166666666666667,-2.532968456878179,0.2
Mark 55,as_buyer,VELVETFRUIT_EXTRACT,20,598,0.4088628762541806,2.4788758254472882,0.5100334448160535
Mark 55,buyer_aggr,VELVETFRUIT_EXTRACT,20,598,0.4088628762541806,2.4788758254472882,0.5100334448160535
Mark 14,as_seller,VEV_4000,100,203,-0.4064039408866995,-0.659836798771061,0.4827586206896552
Mark 22,as_buyer,VELVETFRUIT_EXTRACT,5,25,-0.4,-0.6531972647421809,0.4
Mark 22,as_seller,VELVETFRUIT_EXTRACT,100,100,0.385,0.4050891516752543,0.48
Mark 14,as_seller,HYDROGEL_PACK,20,507,-0.3530571992110454,-0.9265111759629896,0.4930966469428008
Mark 38,as_buyer,HYDROGEL_PACK,20,515,-0.3271844660194175,-0.8696490053528438,0.49514563106796117
Mark 38,buyer_aggr,HYDROGEL_PACK,20,515,-0.3271844660194175,-0.8696490053528438,0.49514563106796117
Mark 01,as_buyer,VELVETFRUIT_EXTRACT,5,260,0.2903846153846154,2.112984526639036,0.5
Mark 14,as_seller,VELVETFRUIT_EXTRACT,5,331,0.26132930513595165,2.1520837296133988,0.48036253776435045
Mark 38,as_buyer,VEV_4000,20,207,0.2608695652173913,0.9095315900201543,0.48792270531400966
Mark 38,buyer_aggr,VEV_4000,20,207,0.2608695652173913,0.9095315900201543,0.48792270531400966
Mark 38,as_buyer,VEV_4000,100,205,-0.25121951219512195,-0.40339996830519054,0.4878048780487805
