mark,role,burst_iso,out_symbol,K,n,mean,median,frac_pos,t_stat,boot_mean_lo,boot_mean_hi
Mark 67,as_buyer,isolated,VELVETFRUIT_EXTRACT,5,154,1.9772727272727273,2.0,0.8441558441558441,12.660860313427937,1.6363636363636365,2.2987012987012987
Mark 67,as_buyer,isolated,x,5,154,1.9772727272727273,2.0,0.8441558441558441,12.660860313427937,1.6363636363636365,2.2987012987012987
Mark 49,as_seller,isolated,VELVETFRUIT_EXTRACT,5,93,1.7795698924731183,2.0,0.7956989247311828,8.878528053316655,1.3870967741935485,2.129032258064516
Mark 49,as_seller,isolated,x,5,93,1.7795698924731183,2.0,0.7956989247311828,8.878528053316655,1.3870967741935485,2.129032258064516
Mark 22,as_seller,isolated,VELVETFRUIT_EXTRACT,5,94,1.5851063829787233,1.75,0.7978723404255319,6.178874883219859,1.047872340425532,2.101063829787234
Mark 55,as_seller,burst_single_sym,VELVETFRUIT_EXTRACT,20,6,5.916666666666667,6.25,1.0,5.84803020333845,4.25,7.75
Mark 55,as_seller,burst_single_sym,x,20,6,5.916666666666667,6.25,1.0,5.84803020333845,4.25,7.75
Mark 22,as_seller,isolated,x,5,102,1.4019607843137254,1.5,0.7647058823529411,5.6512600695957635,0.9411764705882353,1.8725490196078431
Mark 67,as_buyer,isolated,VELVETFRUIT_EXTRACT,20,154,1.7857142857142858,1.5,0.6428571428571429,5.552603326281797,1.1266233766233766,2.3701298701298703
Mark 67,as_buyer,isolated,x,20,154,1.7857142857142858,1.5,0.6428571428571429,5.552603326281797,1.1266233766233766,2.3701298701298703
Mark 49,as_seller,isolated,VELVETFRUIT_EXTRACT,20,93,1.60752688172043,1.5,0.6559139784946236,4.224459694665766,0.8548387096774194,2.28494623655914
Mark 49,as_seller,isolated,x,20,93,1.60752688172043,1.5,0.6559139784946236,4.224459694665766,0.8548387096774194,2.28494623655914
Mark 49,as_seller,burst_single_sym,VELVETFRUIT_EXTRACT,5,12,2.125,1.75,0.6666666666666666,3.6573045508735125,1.125,3.25
Mark 49,as_seller,burst_single_sym,x,5,12,2.125,1.75,0.6666666666666666,3.6573045508735125,1.125,3.25
Mark 49,as_buyer,isolated,VELVETFRUIT_EXTRACT,100,14,-4.357142857142857,-5.25,0.14285714285714285,-3.3347008689022575,-6.714285714285714,-1.3928571428571428
Mark 49,as_buyer,isolated,x,100,14,-4.357142857142857,-5.25,0.14285714285714285,-3.3347008689022575,-6.714285714285714,-1.3928571428571428
Mark 14,as_buyer,burst_multi_sym,VEV_5400,5,13,-0.38461538461538464,-0.5,0.0,-3.3333333333333335,-0.6153846153846154,-0.15384615384615385
Mark 22,as_seller,burst_multi_sym,VEV_5300,5,163,-0.19325153374233128,0.0,0.24539877300613497,-3.1776800666829024,-0.31901840490797545,-0.07975460122699386
Mark 67,as_buyer,burst_single_sym,VELVETFRUIT_EXTRACT,5,8,1.9375,1.75,0.75,2.916234691989152,0.6875,3.0625
Mark 67,as_buyer,burst_single_sym,x,5,8,1.9375,1.75,0.75,2.916234691989152,0.6875,3.0625
Mark 22,as_seller,isolated,VELVETFRUIT_EXTRACT,20,94,1.351063829787234,1.5,0.6170212765957447,2.850855650517025,0.4734042553191489,2.2819148936170213
Mark 49,as_buyer,isolated,VELVETFRUIT_EXTRACT,5,15,-2.1333333333333333,-2.5,0.13333333333333333,-2.837148294250942,-3.4,-0.6666666666666666
Mark 49,as_buyer,isolated,x,5,15,-2.1333333333333333,-2.5,0.13333333333333333,-2.837148294250942,-3.4,-0.6666666666666666
Mark 14,as_seller,isolated,VELVETFRUIT_EXTRACT,20,316,0.6044303797468354,1.0,0.5221518987341772,2.775253324869208,0.2199367088607595,1.0363924050632911
Mark 22,as_buyer,isolated,HYDROGEL_PACK,5,11,-2.6818181818181817,-2.0,0.2727272727272727,-2.762928144165997,-4.545454545454546,-0.9090909090909091
Mark 22,as_buyer,burst_multi_sym,x,100,7,12.357142857142858,17.0,0.8571428571428571,2.661538461538462,3.0714285714285716,17.0
Mark 49,as_buyer,isolated,VELVETFRUIT_EXTRACT,20,15,-3.2333333333333334,-2.5,0.4,-2.6572137163077025,-5.3,-1.1
Mark 49,as_buyer,isolated,x,20,15,-3.2333333333333334,-2.5,0.4,-2.6572137163077025,-5.3,-1.1
Mark 22,as_buyer,isolated,HYDROGEL_PACK,100,11,-13.090909090909092,-13.0,0.18181818181818182,-2.654428614083611,-22.59090909090909,-3.6363636363636362
Mark 22,as_buyer,burst_multi_sym,x,20,7,4.357142857142857,6.0,0.8571428571428571,2.652173913043478,1.0714285714285714,6.0
Mark 67,as_buyer,burst_single_sym,VELVETFRUIT_EXTRACT,20,8,3.5625,4.5,0.875,2.598976289749053,0.625,5.6875
Mark 67,as_buyer,burst_single_sym,x,20,8,3.5625,4.5,0.875,2.598976289749053,0.625,5.6875
Mark 49,as_seller,burst_single_sym,VELVETFRUIT_EXTRACT,20,12,3.25,4.0,0.8333333333333334,2.562987435326123,0.875,5.541666666666667
Mark 49,as_seller,burst_single_sym,x,20,12,3.25,4.0,0.8333333333333334,2.562987435326123,0.875,5.541666666666667
Mark 14,as_buyer,burst_multi_sym,VEV_5300,5,30,-0.4166666666666667,0.0,0.2,-2.532968456878179,-0.75,-0.15
Mark 22,as_seller,isolated,x,20,102,1.1274509803921569,1.5,0.5882352941176471,2.4966727903685406,0.17647058823529413,1.9754901960784315
Mark 22,as_buyer,isolated,HYDROGEL_PACK,20,11,-5.863636363636363,-3.0,0.2727272727272727,-2.425171945773196,-10.0,-1.6818181818181819
Mark 22,as_seller,burst_multi_sym,x,20,1437,0.2929714683368128,0.0,0.4662491301322199,2.403556603216582,0.04488517745302714,0.535490605427975
Mark 14,as_buyer,isolated,VELVETFRUIT_EXTRACT,100,296,-1.2043918918918919,-1.5,0.4155405405405405,-2.3894129256981733,-2.1570945945945947,-0.3260135135135135
Mark 55,as_seller,isolated,VELVETFRUIT_EXTRACT,100,561,-0.8983957219251337,-1.0,0.44028520499108736,-2.3835874708645632,-1.5427807486631016,-0.14705882352941177
Mark 55,as_seller,isolated,x,100,561,-0.8983957219251337,-1.0,0.44028520499108736,-2.3835874708645632,-1.5427807486631016,-0.14705882352941177
Mark 01,as_buyer,burst_multi_sym,VEV_5300,5,132,-0.14772727272727273,0.0,0.25,-2.2914560462557185,-0.26515151515151514,0.0
Mark 01,as_buyer,burst_multi_sym,x,20,1351,0.2849740932642487,0.0,0.46484085862324204,2.2819706953180265,0.026276831976313843,0.5125832716506291
Mark 14,as_buyer,burst_multi_sym,HYDROGEL_PACK,20,27,-3.7037037037037037,-2.0,0.2962962962962963,-2.270090527340042,-6.87037037037037,-0.7037037037037037
Mark 38,as_seller,burst_multi_sym,HYDROGEL_PACK,20,27,-3.7037037037037037,-2.0,0.2962962962962963,-2.270090527340042,-6.87037037037037,-0.7037037037037037
Mark 22,as_buyer,burst_single_sym,VELVETFRUIT_EXTRACT,5,6,2.0833333333333335,1.75,0.6666666666666666,2.250517678605967,0.5,3.6666666666666665
Mark 22,as_buyer,burst_single_sym,x,5,6,2.0833333333333335,1.75,0.6666666666666666,2.250517678605967,0.5,3.6666666666666665
Mark 14,as_buyer,burst_multi_sym,VEV_5500,100,7,-0.5714285714285714,-0.5,0.0,-2.2478059477960657,-1.1428571428571428,-0.14285714285714285
Mark 55,as_seller,burst_multi_sym,VELVETFRUIT_EXTRACT,100,28,-3.2857142857142856,-4.0,0.2857142857142857,-2.209249315519438,-5.803571428571429,-0.4107142857142857
Mark 55,as_seller,burst_multi_sym,x,100,28,-3.2857142857142856,-4.0,0.2857142857142857,-2.209249315519438,-5.803571428571429,-0.4107142857142857
Mark 14,as_buyer,burst_multi_sym,VEV_5500,20,7,-0.42857142857142855,0.0,0.0,-2.1213203435596424,-0.7142857142857143,-0.14285714285714285
Mark 55,as_buyer,isolated,VELVETFRUIT_EXTRACT,20,567,0.35978835978835977,0.5,0.5026455026455027,2.112878817946035,0.0,0.6507936507936508
Mark 55,as_buyer,isolated,x,20,567,0.35978835978835977,0.5,0.5026455026455027,2.112878817946035,0.0,0.6507936507936508
Mark 14,as_buyer,isolated,x,100,980,-0.613265306122449,-1.0,0.43979591836734694,-2.0697334114743615,-1.1811224489795917,-0.06785714285714285
