buyer,seller,symbol,K,n_baseline,mean_baseline,n_burst_window,mean_burst_window
Mark 55,Mark 22,VELVETFRUIT_EXTRACT,5,14,1.7142857142857142,1,-1.5
Mark 49,Mark 55,VELVETFRUIT_EXTRACT,5,5,-1.7,0,
Mark 22,Mark 55,VELVETFRUIT_EXTRACT,5,18,-1.3888888888888888,0,
Mark 38,Mark 22,HYDROGEL_PACK,5,8,3.1875,1,4.5
Mark 38,Mark 14,HYDROGEL_PACK,5,507,-0.17159763313609466,60,-1.0
Mark 14,Mark 38,HYDROGEL_PACK,5,496,0.0715725806451613,66,0.8863636363636364
Mark 55,Mark 49,VELVETFRUIT_EXTRACT,5,9,1.0,2,1.75
Mark 22,Mark 38,HYDROGEL_PACK,5,11,-2.6818181818181817,1,-2.0
Mark 22,Mark 49,VELVETFRUIT_EXTRACT,5,7,2.142857142857143,1,1.5
Mark 38,Mark 14,VEV_4000,5,207,0.13043478260869565,19,-0.5
Mark 49,Mark 22,VELVETFRUIT_EXTRACT,5,12,-1.875,2,-2.5
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,5,89,1.8764044943820224,8,1.3125
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,5,244,-0.0020491803278688526,33,-0.5303030303030303
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,5,331,0.26132930513595165,40,-0.225
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,5,75,2.06,8,1.625
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,5,260,0.2903846153846154,24,0.4583333333333333
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,5,316,-0.03322784810126582,48,-0.19791666666666666
Mark 14,Mark 38,VEV_4000,5,232,-0.16379310344827586,24,-0.2916666666666667
Mark 01,Mark 22,VEV_5200,5,11,-0.18181818181818182,11,-0.18181818181818182
Mark 01,Mark 22,VEV_5300,5,132,-0.14772727272727273,132,-0.14772727272727273
Mark 01,Mark 22,VEV_5400,5,263,-0.013307984790874524,263,-0.013307984790874524
Mark 01,Mark 22,VEV_5500,5,299,-0.020066889632107024,299,-0.020066889632107024
Mark 01,Mark 22,VEV_6000,5,317,0.0,317,0.0
Mark 01,Mark 22,VEV_6500,5,317,0.0,317,0.0
Mark 14,Mark 22,VEV_5200,5,33,-0.24242424242424243,33,-0.24242424242424243
Mark 14,Mark 22,VEV_5300,5,30,-0.4166666666666667,30,-0.4166666666666667
Mark 14,Mark 22,VEV_5400,5,13,-0.38461538461538464,13,-0.38461538461538464
Mark 14,Mark 22,VEV_5500,5,7,-0.2857142857142857,7,-0.2857142857142857
