buyer,seller,symbol,K,n_tight,mean_tight,n_wide,mean_wide,diff_tight_minus_wide,t_tight,t_wide
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,100,70,2.7285714285714286,190,-1.8736842105263158,4.602255639097745,2.46194003065481,-2.9091742048978784
Mark 14,Mark 38,VEV_4000,100,55,2.7181818181818183,176,-0.9886363636363636,3.706818181818182,2.2647327365980914,-1.472498942882847
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,100,71,2.2746478873239435,173,-1.1791907514450868,3.4538386387690303,1.9339425349695916,-1.6964676574994437
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,100,15,3.1666666666666665,60,0.11666666666666667,3.05,1.2985532299929217,0.09412425120458544
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,100,83,0.9397590361445783,228,-2.06359649122807,3.0033555273726487,0.9325118786467244,-3.7407048299349195
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,100,12,-0.125,76,2.2434210526315788,-2.3684210526315788,-0.04048177856013206,2.1931605183160965
Mark 38,Mark 14,HYDROGEL_PACK,100,128,0.85546875,377,-0.9535809018567639,1.809049651856764,0.5069631928856752,-1.0250167060663324
Mark 14,Mark 38,VEV_4000,20,55,1.1,177,-0.576271186440678,1.676271186440678,2.1047811169563113,-1.6734335624579122
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,20,15,2.8333333333333335,60,1.825,1.0083333333333335,2.295860288838944,3.4581618336969853
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,100,85,1.8411764705882352,243,0.8374485596707819,1.0037279109174533,2.1757156164739206,1.3997977920080367
Mark 14,Mark 38,HYDROGEL_PACK,20,126,-0.4603174603174603,370,0.4702702702702703,-0.9305877305877306,-0.560529708124144,1.063937429663894
Mark 38,Mark 14,VEV_4000,100,59,-1.0508474576271187,144,-0.1423611111111111,-0.9084863465160076,-0.7797976363970106,-0.21175794120342287
Mark 14,Mark 38,VEV_4000,5,55,0.4727272727272727,177,-0.3615819209039548,0.8343091936312275,1.5109829947279751,-2.2193919659012113
Mark 14,Mark 38,HYDROGEL_PACK,100,126,0.27380952380952384,368,1.1046195652173914,-0.8308100414078675,0.17104442635628397,1.1675172548302202
Mark 38,Mark 14,VEV_4000,20,60,-0.26666666666666666,145,0.41379310344827586,-0.6804597701149425,-0.4740412314539089,1.2571457870022877
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,20,12,1.0833333333333333,77,1.7207792207792207,-0.6374458874458875,1.3125896412302893,3.893205457381661
Mark 38,Mark 14,HYDROGEL_PACK,20,129,0.09689922480620156,378,-0.5066137566137566,0.6035129814199582,0.12679822862691773,-1.1517169722376097
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,20,84,0.17857142857142858,232,-0.3879310344827586,0.5665024630541872,0.3735415905683578,-1.5046026274226936
Mark 14,Mark 38,HYDROGEL_PACK,5,126,-0.25793650793650796,370,0.1837837837837838,-0.44172029172029176,-0.6369451980640338,0.7843959395391885
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,5,12,1.5,77,1.9350649350649352,-0.43506493506493515,2.628112772349399,8.73522591857257
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,5,71,-0.2746478873239437,173,0.10982658959537572,-0.3844744769193194,-1.0351087555691396,0.7019494545969559
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,20,70,0.24285714285714285,190,-0.08157894736842106,0.3244360902255639,0.46361304197146946,-0.258425977269256
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,5,70,0.4785714285714286,190,0.22105263157894736,0.25751879699248126,1.7068282476071501,1.4051475934297977
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,20,86,0.4418604651162791,245,0.6224489795918368,-0.18058851447555768,1.1607880826862895,2.4521574631552174
Mark 38,Mark 14,VEV_4000,5,60,0.008333333333333333,147,0.18027210884353742,-0.1719387755102041,0.023301997637525905,1.1190426660988482
Mark 38,Mark 14,HYDROGEL_PACK,5,129,-0.10077519379844961,378,-0.19576719576719576,0.09499200196874615,-0.28979985842974926,-0.8916806012885768
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,5,86,0.19186046511627908,245,0.2857142857142857,-0.09385382059800662,0.9084044128017661,1.9495186721238402
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,20,71,-0.056338028169014086,173,0.031791907514450865,-0.08812993568346494,-0.11355802989457052,0.09719553367885546
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,5,84,0.023809523809523808,232,-0.05387931034482758,0.07768883415435139,0.10232890201933018,-0.3913953729928636
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,5,15,2.0,60,2.075,-0.07500000000000018,3.038218101251,9.178790225785871
