mark,role,spread_tertile_trade_symbol,out_symbol,K,n,mean,median,frac_pos,t_stat,boot_mean_lo,boot_mean_hi
Mark 67,as_buyer,T1_tightest_third,VELVETFRUIT_EXTRACT,5,165,1.9454545454545455,2.0,0.8303030303030303,12.941467482109264,1.621212121212121,2.2454545454545456
Mark 67,as_buyer,T1_tightest_third,x,5,165,1.9454545454545455,2.0,0.8303030303030303,12.941467482109264,1.621212121212121,2.2454545454545456
Mark 49,as_seller,T1_tightest_third,VELVETFRUIT_EXTRACT,5,105,1.819047619047619,2.0,0.780952380952381,9.63090606602775,1.4714285714285715,2.1857142857142855
Mark 49,as_seller,T1_tightest_third,x,5,105,1.819047619047619,2.0,0.780952380952381,9.63090606602775,1.4714285714285715,2.1857142857142855
Mark 22,as_seller,T1_tightest_third,VELVETFRUIT_EXTRACT,5,101,1.5445544554455446,1.5,0.7920792079207921,6.414784961470638,1.0643564356435644,1.9752475247524752
Mark 67,as_buyer,T1_tightest_third,VELVETFRUIT_EXTRACT,20,165,1.8454545454545455,1.5,0.6484848484848484,5.967043172323755,1.2606060606060605,2.463636363636364
Mark 67,as_buyer,T1_tightest_third,x,20,165,1.8454545454545455,1.5,0.6484848484848484,5.967043172323755,1.2606060606060605,2.463636363636364
Mark 49,as_seller,T1_tightest_third,VELVETFRUIT_EXTRACT,20,105,1.7952380952380953,2.0,0.6761904761904762,4.876686926034512,1.0809523809523809,2.5761904761904764
Mark 49,as_seller,T1_tightest_third,x,20,105,1.7952380952380953,2.0,0.6761904761904762,4.876686926034512,1.0809523809523809,2.5761904761904764
Mark 14,as_buyer,T1_tightest_third,VEV_5400,5,12,-0.4166666666666667,-0.5,0.0,-3.457820374040623,-0.625,-0.20833333333333334
Mark 22,as_seller,T1_tightest_third,VELVETFRUIT_EXTRACT,20,101,1.4653465346534653,1.5,0.6237623762376238,3.263611196378688,0.599009900990099,2.3514851485148514
Mark 22,as_seller,T1_tightest_third,x,20,1474,0.3877204884667571,0.0,0.4789687924016282,3.2175325112798916,0.14959294436906379,0.621438263229308
Mark 49,as_buyer,T1_tightest_third,VELVETFRUIT_EXTRACT,100,16,-3.8125,-4.25,0.1875,-3.148347783623802,-5.875,-1.46875
Mark 49,as_buyer,T1_tightest_third,x,100,16,-3.8125,-4.25,0.1875,-3.148347783623802,-5.875,-1.46875
Mark 22,as_seller,T1_tightest_third,VEV_5300,5,162,-0.19135802469135801,0.0,0.24691358024691357,-3.1286979891281437,-0.3117283950617284,-0.07716049382716049
