buyer,seller,symbol,count,mean
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,75,2.026666666666667
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,89,1.6348314606741574
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,331,0.5755287009063444
Mark 14,Mark 38,HYDROGEL_PACK,496,0.23387096774193547
Mark 38,Mark 14,VEV_4000,205,0.2146341463414634
Mark 01,Mark 22,VEV_5400,263,0.039923954372623575
Mark 01,Mark 22,VEV_5500,299,0.02508361204013378
Mark 14,Mark 22,VEV_5200,33,0.015151515151515152
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,244,0.006147540983606557
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,260,0.0057692307692307696
Mark 01,Mark 22,VEV_6000,317,0.0
Mark 01,Mark 22,VEV_6500,317,0.0
Mark 01,Mark 22,VEV_5300,132,-0.12121212121212122
Mark 14,Mark 38,VEV_4000,232,-0.1788793103448276
Mark 14,Mark 22,VEV_5300,30,-0.21666666666666667
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,316,-0.23734177215189872
Mark 38,Mark 14,HYDROGEL_PACK,507,-0.3530571992110454
