mark,symbol,spread_q,burst,session_tert,n,mean_fwd20,median_fwd20,t_fwd20_mean0,ci_fwd20_lo,ci_fwd20_hi,frac_pos
Mark 67,VELVETFRUIT_EXTRACT,tight,False,late,58,3.0,2.25,5.769044911823003,1.9571120689655173,4.020905172413793,0.7241379310344828
Mark 22,VELVETFRUIT_EXTRACT,tight,False,late,31,2.838709677419355,2.5,3.326641849000428,1.1794354838709677,4.302822580645161,0.6774193548387096
Mark 49,VELVETFRUIT_EXTRACT,tight,False,late,46,1.75,2.0,2.8621198316185743,0.535054347826087,2.908152173913044,0.6739130434782609
Mark 14,HYDROGEL_PACK,tight,False,mid,107,1.4018691588785046,3.0,1.7729310035494372,-0.14275700934579438,2.93142523364486,0.616822429906542
Mark 38,HYDROGEL_PACK,tight,False,mid,112,1.2098214285714286,2.5,1.563170564705674,-0.2749999999999999,2.8396205357142863,0.5982142857142857
Mark 67,VELVETFRUIT_EXTRACT,tight,False,early,54,1.2037037037037037,1.25,2.545928023468109,0.36736111111111114,2.0719907407407407,0.6296296296296297
Mark 14,VELVETFRUIT_EXTRACT,tight,False,early,70,1.1357142857142857,1.0,2.372873874352272,0.18589285714285717,2.016428571428572,0.6
Mark 14,VELVETFRUIT_EXTRACT,mid,False,late,135,1.025925925925926,1.0,2.873363962247441,0.3975925925925926,1.644814814814815,0.5185185185185185
Mark 38,VEV_4000,wide,False,mid,28,0.9285714285714286,0.25,1.2856754722839674,-0.4026785714285714,2.125,0.5
Mark 14,VEV_4000,wide,False,mid,28,0.9285714285714286,0.25,1.2856754722839674,-0.4602678571428572,2.1924107142857143,0.5
Mark 38,HYDROGEL_PACK,wide,False,late,109,0.9220183486238532,1.0,1.0882957809837952,-0.6243119266055046,2.7990825688073397,0.5596330275229358
Mark 14,HYDROGEL_PACK,wide,False,late,109,0.9220183486238532,1.0,1.0882957809837952,-0.491743119266055,2.6824541284403667,0.5596330275229358
Mark 22,VELVETFRUIT_EXTRACT,tight,False,mid,36,0.875,1.5,1.158169864313963,-0.49374999999999997,2.2020833333333334,0.6111111111111112
Mark 67,VELVETFRUIT_EXTRACT,tight,False,mid,42,0.8571428571428571,0.75,1.2875581793240027,-0.4166666666666667,2.1440476190476194,0.5476190476190477
Mark 49,VELVETFRUIT_EXTRACT,tight,False,early,35,0.7285714285714285,1.0,1.0671555292384067,-0.6189285714285714,2.0507142857142857,0.6
Mark 14,VEV_4000,mid,False,mid,39,0.6794871794871795,1.5,1.0390790269013717,-0.801923076923077,1.8916666666666668,0.6153846153846154
