day,voucher,mean,std,mean_abs_res
39,VEV_4000,0.016490844643438536,0.002743001967509904,0.016659648936938543
39,VEV_4500,-0.031720706931098415,0.016973124910212817,0.032514575436439735
39,VEV_5000,-0.0015445121697990865,0.0023888924190401343,0.0016551618548541409
39,VEV_5100,-0.002211764189978039,0.00220415935749489,0.0025603816249058506
39,VEV_5200,0.007342191585232713,0.00399248361943762,0.007355885308328672
39,VEV_5300,0.012784194345116141,0.0052999124515825,0.012784194345116141
39,VEV_5400,-0.011093211911163584,0.005499257728232638,0.011093211911163586
39,VEV_5500,0.01008057004343513,0.004931269376715582,0.010087098369315135
39,VEV_6000,-0.006845415945643968,0.008862682908037963,0.007024355888657071
39,VEV_6500,-0.013214136457552428,,0.013214136457552428
