day,other,lag_ticks,mean_cross,n
1,HYDROGEL_PACK,0,0.029275,10000
1,HYDROGEL_PACK,1,-0.0088008800880088,9999
1,HYDROGEL_PACK,2,0.017078415683136627,9998
1,HYDROGEL_PACK,3,-0.012553766129838951,9997
1,HYDROGEL_PACK,4,0.026885754301720688,9996
1,HYDROGEL_PACK,5,0.00727863931965983,9995
1,HYDROGEL_PACK,6,0.000825495297178307,9994
1,HYDROGEL_PACK,7,0.01766236365455819,9993
1,HYDROGEL_PACK,8,0.026846477181745397,9992
1,HYDROGEL_PACK,9,-0.03165348813932539,9991
1,HYDROGEL_PACK,10,-0.007257257257257258,9990
1,VEV_5300,0,0.349,10000
1,VEV_5300,1,-0.003825382538253825,9999
1,VEV_5300,2,-0.008976795359071815,9998
1,VEV_5300,3,0.00740222066619986,9997
1,VEV_5300,4,-0.003251300520208083,9996
1,VEV_5300,5,-0.002801400700350175,9995
1,VEV_5300,6,0.0012757654592755654,9994
1,VEV_5300,7,-0.0011257880516361454,9993
1,VEV_5300,8,0.0019765812650120096,9992
1,VEV_5300,9,0.0039785807226503855,9991
1,VEV_5300,10,0.0,9990
1,VEV_5200,0,0.55635,10000
1,VEV_5200,1,-0.011001100110011002,9999
1,VEV_5200,2,-0.009701940388077616,9998
1,VEV_5200,3,0.0037511253376012804,9997
1,VEV_5200,4,0.006602641056422569,9996
1,VEV_5200,5,-0.007178589294647324,9995
1,VEV_5200,6,-0.00045027016209725837,9994
1,VEV_5200,7,-0.0028019613729610726,9993
1,VEV_5200,8,0.0055044035228182546,9992
1,VEV_5200,9,-0.0026023421078971076,9991
1,VEV_5200,10,0.0013513513513513514,9990
2,HYDROGEL_PACK,0,-0.0123,10000
2,HYDROGEL_PACK,1,-0.0006250625062506251,9999
2,HYDROGEL_PACK,2,-0.040333066613322664,9998
2,HYDROGEL_PACK,3,0.028708612583775134,9997
2,HYDROGEL_PACK,4,-0.005152060824329732,9996
2,HYDROGEL_PACK,5,-0.00655327663831916,9995
2,HYDROGEL_PACK,6,-0.007504502701620973,9994
2,HYDROGEL_PACK,7,-0.014785349744821374,9993
2,HYDROGEL_PACK,8,0.0173388710968775,9992
2,HYDROGEL_PACK,9,0.03911019917926133,9991
2,HYDROGEL_PACK,10,0.00508008008008008,9990
2,VEV_5300,0,0.354075,10000
2,VEV_5300,1,0.0029502950295029503,9999
2,VEV_5300,2,-0.006851370274054811,9998
2,VEV_5300,3,0.003976192857857357,9997
2,VEV_5300,4,-0.004951980792316926,9996
2,VEV_5300,5,-0.006903451725862931,9995
2,VEV_5300,6,0.010681408845307183,9994
2,VEV_5300,7,-0.010882617832482738,9993
2,VEV_5300,8,0.007130704563650921,9992
2,VEV_5300,9,-0.005955359823841457,9991
2,VEV_5300,10,0.0012762762762762762,9990
2,VEV_5200,0,0.5798,10000
2,VEV_5200,1,0.0006500650065006501,9999
2,VEV_5200,2,-0.0034756951390278058,9998
2,VEV_5200,3,0.0038761628488546565,9997
2,VEV_5200,4,-0.015681272509003603,9996
2,VEV_5200,5,0.0010005002501250625,9995
2,VEV_5200,6,0.00995597358415049,9994
2,VEV_5200,7,-0.016761733213249273,9993
2,VEV_5200,8,0.016663330664531625,9992
2,VEV_5200,9,-0.012511260134120709,9991
2,VEV_5200,10,-0.0002752752752752753,9990
3,HYDROGEL_PACK,0,-0.007575,10000
3,HYDROGEL_PACK,1,-0.0076757675767576755,9999
3,HYDROGEL_PACK,2,-0.009276855371074215,9998
3,HYDROGEL_PACK,3,-0.02503250975292588,9997
3,HYDROGEL_PACK,4,-0.00860344137655062,9996
3,HYDROGEL_PACK,5,-0.014957478739369685,9995
3,HYDROGEL_PACK,6,0.007679607764658795,9994
3,HYDROGEL_PACK,7,0.025642950065045533,9993
3,HYDROGEL_PACK,8,-0.028898118494795837,9992
3,HYDROGEL_PACK,9,-0.014788309478530678,9991
3,HYDROGEL_PACK,10,-0.027502502502502503,9990
3,VEV_5300,0,0.309025,10000
3,VEV_5300,1,-0.004800480048004801,9999
3,VEV_5300,2,-0.010952190438087617,9998
3,VEV_5300,3,0.0015254576372911873,9997
3,VEV_5300,4,0.013605442176870748,9996
3,VEV_5300,5,-0.006228114057028515,9995
3,VEV_5300,6,-0.0051030618371022615,9994
3,VEV_5300,7,0.014460122085459822,9993
3,VEV_5300,8,0.002126701361088871,9992
3,VEV_5300,9,-0.00440396356721049,9991
3,VEV_5300,10,0.006706706706706707,9990
3,VEV_5200,0,0.56025,10000
3,VEV_5200,1,-0.006925692569256926,9999
3,VEV_5200,2,-0.02690538107621524,9998
3,VEV_5200,3,0.00922776833049915,9997
3,VEV_5200,4,0.01603141256502601,9996
3,VEV_5200,5,-0.008404202101050525,9995
3,VEV_5200,6,0.0034770862517510505,9994
3,VEV_5200,7,0.010357250075052537,9993
3,VEV_5200,8,0.0035778622898318653,9992
3,VEV_5200,9,-0.002502252026824142,9991
3,VEV_5200,10,-0.0002002002002002002,9990
