buyer,seller,n_ab,n_ba,reciprocity_R
Mark 01,Mark 22,1339,0,0.0
Mark 14,Mark 38,728,714,0.9902912621359223
Mark 38,Mark 14,714,728,0.9902912621359223
Mark 55,Mark 14,331,316,0.9768160741885626
Mark 14,Mark 55,316,331,0.9768160741885626
Mark 01,Mark 55,260,244,0.9682539682539683
Mark 55,Mark 01,244,260,0.9682539682539683
Mark 67,Mark 49,89,0,0.0
Mark 14,Mark 22,83,0,0.0
Mark 67,Mark 22,75,0,0.0
Mark 38,Mark 22,19,17,0.9444444444444444
Mark 22,Mark 55,18,14,0.875
Mark 22,Mark 38,17,19,0.9444444444444444
Mark 55,Mark 22,14,18,0.875
Mark 49,Mark 22,12,7,0.7368421052631579
Mark 55,Mark 49,9,5,0.7142857142857143
Mark 22,Mark 49,7,12,0.7368421052631579
Mark 49,Mark 55,5,9,0.7142857142857143
Mark 67,Mark 55,1,0,0.0
Mark 14,Mark 01,0,0,
Mark 14,Mark 49,0,0,
Mark 01,Mark 67,0,0,
Mark 01,Mark 38,0,0,
Mark 01,Mark 14,0,0,
Mark 01,Mark 49,0,0,
Mark 22,Mark 14,0,83,0.0
Mark 49,Mark 14,0,0,
Mark 49,Mark 01,0,0,
Mark 38,Mark 67,0,0,
Mark 38,Mark 55,0,0,
Mark 38,Mark 49,0,0,
Mark 38,Mark 01,0,0,
Mark 14,Mark 67,0,0,
Mark 22,Mark 67,0,75,0.0
Mark 22,Mark 01,0,1339,0.0
Mark 55,Mark 38,0,0,
Mark 49,Mark 38,0,0,
Mark 49,Mark 67,0,89,0.0
Mark 67,Mark 14,0,0,
Mark 67,Mark 01,0,0,
Mark 55,Mark 67,0,1,0.0
Mark 67,Mark 38,0,0,
