mark,side,symbol,K,n,mean_fwd_same,ci95_lo,ci95_hi,day1_mean,day2_mean,day3_mean,sign_strict_same_sign_3d
Mark 22,aggr_sell,VEV_5400,5,275,-0.03090909090909091,-0.07636363636363637,0.014545454545454545,-0.012345679012345678,-0.04375,-0.03508771929824561,1
Mark 22,aggr_sell,VEV_5400,20,275,0.02,-0.07095454545454545,0.11636363636363636,0.018518518518518517,0.0125,0.02631578947368421,1
Mark 22,aggr_sell,VEV_5400,100,272,-0.04044117647058824,-0.21507352941176472,0.15078124999999973,-0.2125,-0.12025316455696203,0.13716814159292035,0
Mark 22,aggr_sell,VEV_5500,5,306,-0.026143790849673203,-0.05065359477124183,0.0016339869281045752,-0.021739130434782608,-0.047872340425531915,-0.0125,1
Mark 22,aggr_sell,VEV_5500,20,306,0.014705882352941176,-0.03594771241830065,0.06045751633986928,-0.02717391304347826,0.015957446808510637,0.04583333333333333,0
Mark 22,aggr_sell,VEV_5500,100,304,-0.03618421052631579,-0.1118421052631579,0.044407894736842105,-0.11413043478260869,-0.03763440860215054,0.025210084033613446,0
Mark 22,aggr_sell,VEV_6000,5,317,0.0,0.0,0.0,0.0,0.0,0.0,1
Mark 22,aggr_sell,VEV_6000,20,317,0.0,0.0,0.0,0.0,0.0,0.0,1
Mark 22,aggr_sell,VEV_6000,100,314,0.0,0.0,0.0,0.0,0.0,0.0,1
Mark 22,aggr_sell,VEV_6500,5,317,0.0,0.0,0.0,0.0,0.0,0.0,1
Mark 22,aggr_sell,VEV_6500,20,317,0.0,0.0,0.0,0.0,0.0,0.0,1
Mark 22,aggr_sell,VEV_6500,100,314,0.0,0.0,0.0,0.0,0.0,0.0,1
Mark 22,aggr_sell,VEV_5300,5,160,-0.203125,-0.321953125,-0.078125,-0.2631578947368421,-0.3068181818181818,-0.11538461538461539,1
Mark 22,aggr_sell,VEV_5300,20,160,-0.14375,-0.393828125,0.109375,-0.5526315789473685,-0.06818181818181818,0.01282051282051282,0
Mark 22,aggr_sell,VEV_5300,100,159,0.14779874213836477,-0.3710691823899371,0.6764150943396209,-0.3157894736842105,0.10465116279069768,0.3974358974358974,0
Mark 38,aggr_buy,HYDROGEL_PACK,5,515,-0.11941747572815534,-0.5048543689320388,0.2476213592233007,-0.31746031746031744,-0.01818181818181818,0.009316770186335404,0
Mark 38,aggr_buy,HYDROGEL_PACK,20,515,-0.3271844660194175,-1.0505339805825242,0.40012135922330033,-0.38095238095238093,-0.6333333333333333,0.049689440993788817,0
Mark 38,aggr_buy,HYDROGEL_PACK,100,512,-0.548828125,-2.181787109375,1.0078857421874996,-1.5793650793650793,2.058282208588957,-1.9875,0
Mark 38,aggr_buy,VEV_4000,5,209,0.17464114832535885,-0.145933014354067,0.4688995215311005,-0.21232876712328766,0.234375,0.5138888888888888,0
Mark 38,aggr_buy,VEV_4000,20,207,0.2608695652173913,-0.29474637681159416,0.8406400966183571,-0.19444444444444445,0.8095238095238095,0.2361111111111111,0
Mark 38,aggr_buy,VEV_4000,100,205,-0.25121951219512195,-1.4464024390243901,0.9805487804878046,-0.375,1.9206349206349207,-2.0785714285714287,0
Mark 38,aggr_sell,VEV_4000,5,233,-0.16952789699570817,-0.45493562231759654,0.12446351931330472,-0.1813186813186813,-0.53125,0.14102564102564102,0
Mark 38,aggr_sell,VEV_4000,20,233,-0.17381974248927037,-0.7532188841201717,0.38851931330472045,0.10989010989010989,-1.109375,0.26282051282051283,0
Mark 38,aggr_sell,VEV_4000,100,232,-0.05387931034482758,-1.1810344827586208,1.0991918103448273,-0.6444444444444445,-0.3125,0.8397435897435898,0
Mark 38,aggr_sell,HYDROGEL_PACK,5,507,0.011834319526627219,-0.36494082840236686,0.4162228796844179,0.3172043010752688,0.06506849315068493,-0.35714285714285715,0
Mark 38,aggr_sell,HYDROGEL_PACK,20,507,0.10157790927021697,-0.6322731755424064,0.7909270216962525,1.0806451612903225,-0.2226027397260274,-0.6685714285714286,0
