symbol,spread_bin,session_tertile,side,K,n,mean,median,frac_pos
HYDROGEL_PACK,wide,early,aggr_buy,5,165,0.0,0.0,0.46060606060606063
HYDROGEL_PACK,wide,early,aggr_buy,20,165,-0.6696969696969697,0.0,0.47878787878787876
HYDROGEL_PACK,wide,early,aggr_buy,100,165,-0.8878787878787879,0.0,0.47878787878787876
HYDROGEL_PACK,wide,early,aggr_sell,5,172,0.18604651162790697,0.0,0.45348837209302323
HYDROGEL_PACK,wide,early,aggr_sell,20,172,-0.6424418604651163,-1.0,0.4476744186046512
HYDROGEL_PACK,wide,early,aggr_sell,100,172,2.3575581395348837,1.0,0.5174418604651163
HYDROGEL_PACK,wide,late,aggr_buy,5,172,-0.3953488372093023,0.0,0.4476744186046512
HYDROGEL_PACK,wide,late,aggr_buy,20,172,-0.4883720930232558,0.0,0.4883720930232558
HYDROGEL_PACK,wide,late,aggr_buy,100,170,-0.9088235294117647,-0.5,0.4823529411764706
HYDROGEL_PACK,wide,late,aggr_sell,5,163,-0.22392638036809817,0.0,0.4601226993865031
HYDROGEL_PACK,wide,late,aggr_sell,20,163,0.8404907975460123,1.0,0.5460122699386503
HYDROGEL_PACK,wide,late,aggr_sell,100,161,0.45652173913043476,0.0,0.4906832298136646
HYDROGEL_PACK,wide,mid,aggr_buy,5,167,-0.09580838323353294,0.0,0.4550898203592814
HYDROGEL_PACK,wide,mid,aggr_buy,20,167,0.05089820359281437,0.5,0.5089820359281437
HYDROGEL_PACK,wide,mid,aggr_buy,100,167,0.023952095808383235,0.0,0.48502994011976047
HYDROGEL_PACK,wide,mid,aggr_sell,5,161,0.12732919254658384,0.0,0.4782608695652174
HYDROGEL_PACK,wide,mid,aggr_sell,20,161,0.32608695652173914,1.0,0.5093167701863354
HYDROGEL_PACK,wide,mid,aggr_sell,100,161,-0.3136645962732919,-2.0,0.4658385093167702
VELVETFRUIT_EXTRACT,mid,early,aggr_buy,5,193,0.25647668393782386,0.0,0.49222797927461137
VELVETFRUIT_EXTRACT,mid,early,aggr_buy,20,193,0.37823834196891193,0.5,0.5129533678756477
VELVETFRUIT_EXTRACT,mid,early,aggr_buy,100,193,-0.23316062176165803,-0.5,0.46632124352331605
VELVETFRUIT_EXTRACT,mid,early,aggr_sell,5,198,-0.1590909090909091,0.0,0.40404040404040403
VELVETFRUIT_EXTRACT,mid,early,aggr_sell,20,198,-0.6893939393939394,-0.5,0.398989898989899
VELVETFRUIT_EXTRACT,mid,early,aggr_sell,100,198,-2.025252525252525,-1.75,0.4090909090909091
VELVETFRUIT_EXTRACT,mid,late,aggr_buy,5,200,0.265,0.0,0.445
