day,mark,corr_roll5_signed_qty_ext_fwd20
1,Mark 01,0.024280782233835094
1,Mark 14,0.029998457527056977
1,Mark 22,0.06153642422614721
1,Mark 38,-0.014108639563080314
1,Mark 49,0.04127311519960254
1,Mark 55,0.1005827850413405
1,Mark 67,0.05135065917159434
2,Mark 01,-0.021617566341094685
2,Mark 14,0.058158967220933104
2,Mark 22,0.03829935847573396
2,Mark 38,-0.057338347733973165
2,Mark 49,-0.10747216264990087
2,Mark 55,-0.016907247010281897
2,Mark 67,0.0542064408378529
3,Mark 01,-0.0880822985604287
3,Mark 14,0.13569037632426276
3,Mark 22,-0.05162443275217385
3,Mark 38,-0.02548488209454695
3,Mark 49,0.016395052896571803
3,Mark 55,0.05575518495532384
3,Mark 67,0.00011200074665033307
