half	size	total_profit	hydro_profit
1.6	8	3639	274
1.6	12	3639	274
1.6	16	3639	274
1.6	20	3639	274
1.8	8	3647	282
1.8	12	3647	282
1.8	16	3647	282
1.8	20	3647	282
2.0	8	3670	290
2.0	12	3670	290
2.0	16	3670	290
2.0	20	3670	290
2.2	8	3685	303
2.2	12	3685	303
2.2	16	3685	303
2.2	20	3685	303
2.4	8	3715	333
2.4	12	3715	333
2.4	16	3715	333
2.4	20	3715	333
2.6	8	4678	1296
2.6	12	4678	1296
2.6	16	4678	1296
2.6	20	4678	1296
2.8	8	4686	1304
2.8	12	4686	1304
2.8	16	4686	1304
2.8	20	4686	1304
3.0	8	4709	1327
3.0	12	4709	1327
3.0	16	4709	1327
3.0	20	4709	1327
