passive_party,symbol,n,mean_adverse,median_adverse,frac_adverse_pos,mean_d1,mean_d2,mean_d3
Mark 49,VELVETFRUIT_EXTRACT,120,1.925,2.0,0.6666666666666666,1.9230769230769231,1.3928571428571428,2.5
Mark 22,VELVETFRUIT_EXTRACT,109,1.6009174311926606,1.5,0.5963302752293578,2.36046511627907,0.9404761904761905,1.3958333333333333
Mark 14,VELVETFRUIT_EXTRACT,647,0.41035548686244205,0.5,0.500772797527048,0.6421800947867299,0.37857142857142856,0.2234513274336283
Mark 14,VEV_5300,28,0.25,0.5,0.5357142857142857,-0.25,0.6538461538461539,0.0
Mark 14,VEV_4000,437,0.1956521739130435,0.0,0.4919908466819222,-0.21296296296296297,0.9606299212598425,-0.013513513513513514
Mark 01,VEV_5300,132,0.12121212121212122,0.0,0.48484848484848486,0.703125,-0.1774193548387097,-0.014492753623188406
Mark 01,VEV_6500,317,0.0,0.0,0.0,0.0,0.0,0.0
Mark 01,VEV_6000,317,0.0,0.0,0.0,0.0,0.0,0.0
Mark 01,VELVETFRUIT_EXTRACT,504,0.0,0.0,0.49206349206349204,-0.6592356687898089,0.4781420765027322,0.0975609756097561
Mark 14,VEV_5200,33,-0.015151515151515152,0.5,0.5757575757575758,1.5833333333333333,-2.625,0.5789473684210527
Mark 01,VEV_5500,299,-0.02508361204013378,0.0,0.12040133779264214,0.0056179775280898875,-0.016483516483516484,-0.0546218487394958
Mark 01,VEV_5400,263,-0.039923954372623575,0.0,0.3193916349809886,-0.05263157894736842,-0.02564102564102564,-0.04128440366972477
Mark 14,HYDROGEL_PACK,1003,-0.29411764705882354,0.0,0.4715852442671984,-0.7608108108108108,-0.3580858085808581,0.2878787878787879
