day,timestamp,n_prints,n_sym,buyer0,seller0,bu_n,se_n,burst_ge4,type_01_22_multi_vev
1,4500,4,4,Mark 01,Mark 22,1,1,True,True
1,5100,1,1,Mark 38,Mark 22,1,1,False,False
1,5300,1,1,Mark 38,Mark 14,1,1,False,False
1,6100,1,1,Mark 55,Mark 01,1,1,False,False
1,6200,1,1,Mark 38,Mark 14,1,1,False,False
1,9400,1,1,Mark 55,Mark 49,1,1,False,False
1,9600,4,4,Mark 01,Mark 22,1,1,True,True
1,10400,1,1,Mark 67,Mark 49,1,1,False,False
1,11800,3,3,Mark 01,Mark 22,1,1,False,False
1,14300,1,1,Mark 55,Mark 01,1,1,False,False
1,14800,6,6,Mark 01,Mark 55,1,2,True,False
1,15000,1,1,Mark 38,Mark 14,1,1,False,False
1,16700,6,6,Mark 14,Mark 38,2,2,True,False
1,17300,1,1,Mark 14,Mark 38,1,1,False,False
1,17400,1,1,Mark 67,Mark 22,1,1,False,False
1,17900,1,1,Mark 38,Mark 14,1,1,False,False
1,19300,1,1,Mark 14,Mark 55,1,1,False,False
1,20200,1,1,Mark 14,Mark 55,1,1,False,False
1,22800,1,1,Mark 14,Mark 38,1,1,False,False
1,25700,1,1,Mark 38,Mark 14,1,1,False,False
1,29300,1,1,Mark 14,Mark 55,1,1,False,False
1,30800,1,1,Mark 14,Mark 38,1,1,False,False
1,31400,1,1,Mark 38,Mark 14,1,1,False,False
1,31700,1,1,Mark 55,Mark 01,1,1,False,False
1,32000,1,1,Mark 14,Mark 38,1,1,False,False
1,32600,1,1,Mark 55,Mark 01,1,1,False,False
1,32800,1,1,Mark 67,Mark 22,1,1,False,False
1,33600,1,1,Mark 14,Mark 38,1,1,False,False
1,36200,1,1,Mark 38,Mark 14,1,1,False,False
1,36500,1,1,Mark 22,Mark 55,1,1,False,False
1,37400,1,1,Mark 14,Mark 38,1,1,False,False
1,38500,3,3,Mark 01,Mark 22,1,1,False,False
1,38700,1,1,Mark 01,Mark 55,1,1,False,False
1,39400,2,1,Mark 22,Mark 49,2,1,False,False
1,39800,1,1,Mark 01,Mark 55,1,1,False,False
1,40400,5,5,Mark 01,Mark 22,1,1,True,True
1,40900,1,1,Mark 38,Mark 14,1,1,False,False
1,41300,1,1,Mark 38,Mark 14,1,1,False,False
1,43400,4,4,Mark 01,Mark 22,1,1,True,True
1,43600,1,1,Mark 01,Mark 55,1,1,False,False
1,43900,1,1,Mark 14,Mark 38,1,1,False,False
1,45200,1,1,Mark 14,Mark 38,1,1,False,False
