participant,side,symbol,burst_bucket,K,n,mean_fwd_same,ci95_lo_same,ci95_hi_same,mean_fwd_extract,ci95_lo_extract,ci95_hi_extract,sign_stable_same_3d,mean_same_d1,mean_same_d2,mean_same_d3
Mark 22,aggr_sell,VEV_5200,burst,5,44,-0.22727272727272727,-0.5113636363636364,0.056818181818181816,-0.20454545454545456,-0.7613636363636364,0.29573863636363484,True,-0.5,0.0,-0.23333333333333334
Mark 22,aggr_sell,VEV_5200,burst,20,44,0.22727272727272727,-0.7613636363636364,1.2389204545454529,0.7272727272727273,-0.9548295454545455,2.352272727272727,False,-1.5833333333333333,2.625,-0.05
Mark 22,aggr_sell,VEV_5200,burst,100,44,0.625,-1.2048295454545455,2.3982954545454516,1.0681818181818181,-1.8411931818181817,3.988920454545453,False,-4.083333333333333,2.8125,0.9833333333333333
Mark 22,aggr_sell,VEV_5300,burst,5,159,-0.20125786163522014,-0.32075471698113206,-0.08176100628930817,-0.12578616352201258,-0.4686320754716981,0.1887578616352197,True,-0.2631578947368421,-0.3023255813953488,-0.11538461538461539
Mark 22,aggr_sell,VEV_5300,burst,20,159,-0.14465408805031446,-0.39622641509433965,0.11635220125786164,0.05660377358490566,-0.6761006289308176,0.7863993710691811,False,-0.5526315789473685,-0.06976744186046512,0.01282051282051282
Mark 22,aggr_sell,VEV_5300,burst,100,158,0.1550632911392405,-0.3956487341772152,0.6582278481012658,1.0221518987341771,-0.26582278481012656,2.3354430379746836,False,-0.3157894736842105,0.13095238095238096,0.3974358974358974
Mark 22,aggr_sell,VEV_5400,burst,5,270,-0.03148148148148148,-0.07592592592592592,0.014814814814814815,-0.009259259259259259,-0.25930555555555557,0.23523148148148124,True,-0.013157894736842105,-0.04375,-0.03508771929824561
Mark 22,aggr_sell,VEV_5400,burst,20,270,0.014814814814814815,-0.07777777777777778,0.10740740740740741,0.31666666666666665,-0.22046296296296297,0.8518518518518519,True,0.0,0.0125,0.02631578947368421
Mark 22,aggr_sell,VEV_5400,burst,100,268,-0.03171641791044776,-0.20713619402985073,0.15111940298507462,0.5074626865671642,-0.6681436567164178,1.6440764925373113,False,-0.19078947368421054,-0.12025316455696203,0.13716814159292035
Mark 22,aggr_sell,VEV_5500,burst,5,287,-0.024390243902439025,-0.05226480836236934,0.003484320557491289,0.047038327526132406,-0.18292682926829268,0.2700348432055749,True,-0.024096385542168676,-0.04597701149425287,-0.008547008547008548
Mark 22,aggr_sell,VEV_5500,burst,20,287,0.024390243902439025,-0.02264808362369338,0.07142857142857142,0.38153310104529614,-0.14285714285714285,0.9042682926829264,False,-0.006024096385542169,0.022988505747126436,0.04700854700854701
Mark 22,aggr_sell,VEV_5500,burst,100,285,-0.02456140350877193,-0.10706140350877193,0.054385964912280704,0.387719298245614,-0.6509649122807017,1.4754824561403506,False,-0.12048192771084337,-0.005813953488372093,0.03017241379310345
Mark 22,aggr_sell,VEV_6000,burst,5,292,0.0,0.0,0.0,0.03424657534246575,-0.20205479452054795,0.26040239726027326,False,0.0,0.0,0.0
Mark 22,aggr_sell,VEV_6000,burst,20,292,0.0,0.0,0.0,0.3150684931506849,-0.2054794520547945,0.8407962328767121,False,0.0,0.0,0.0
Mark 22,aggr_sell,VEV_6000,burst,100,290,0.0,0.0,0.0,0.35344827586206895,-0.7121120689655173,1.3896982758620686,False,0.0,0.0,0.0
Mark 22,aggr_sell,VEV_6500,burst,5,292,0.0,0.0,0.0,0.03424657534246575,-0.1917808219178082,0.26716609589041074,False,0.0,0.0,0.0
Mark 22,aggr_sell,VEV_6500,burst,20,292,0.0,0.0,0.0,0.3150684931506849,-0.21065924657534246,0.8271404109589037,False,0.0,0.0,0.0
Mark 22,aggr_sell,VEV_6500,burst,100,290,0.0,0.0,0.0,0.35344827586206895,-0.6689655172413793,1.409008620689653,False,0.0,0.0,0.0
Mark 38,aggr_buy,HYDROGEL_PACK,isolated,5,480,-0.08645833333333333,-0.4791666666666667,0.28442708333333305,-0.0875,-0.278125,0.10106770833333319,False,-0.32865168539325845,0.20198675496688742,-0.08940397350993377
Mark 38,aggr_buy,HYDROGEL_PACK,isolated,20,480,-0.37916666666666665,-1.1448697916666666,0.36388020833333146,-0.20833333333333334,-0.570859375,0.17708333333333334,True,-0.547752808988764,-0.3079470198675497,-0.25165562913907286
Mark 38,aggr_buy,HYDROGEL_PACK,isolated,100,477,-0.9077568134171907,-2.5147012578616352,0.7108490566037727,-0.4339622641509434,-1.2400943396226414,0.41512054507337515,False,-1.5758426966292134,1.761744966442953,-2.7666666666666666
Mark 38,aggr_buy,VEV_4000,isolated,5,197,0.10913705583756345,-0.21065989847715735,0.41884517766497426,0.20304568527918782,-0.09137055837563451,0.4873096446700508,False,-0.29285714285714287,0.20491803278688525,0.44696969696969696
Mark 38,aggr_buy,VEV_4000,isolated,20,195,0.23846153846153847,-0.33852564102564103,0.8257051282051278,0.3717948717948718,-0.1641025641025641,0.9078205128205121,False,-0.30434782608695654,0.825,0.2727272727272727
Mark 38,aggr_buy,VEV_4000,isolated,100,194,-0.21391752577319587,-1.4484536082474226,1.1033505154639163,-0.13917525773195877,-1.4588273195876287,1.0773840206185563,False,-0.5434782608695652,2.2666666666666666,-2.1538461538461537
Mark 38,aggr_sell,HYDROGEL_PACK,isolated,5,480,0.06770833333333333,-0.32083333333333336,0.4708333333333333,-0.09270833333333334,-0.2989583333333333,0.09895833333333333,False,0.4657142857142857,0.03597122302158273,-0.3253012048192771
Mark 38,aggr_sell,HYDROGEL_PACK,isolated,20,480,0.315625,-0.4947916666666667,1.0645833333333334,-0.153125,-0.5656770833333333,0.23541666666666666,False,1.4828571428571429,-0.21942446043165467,-0.46686746987951805
Mark 38,aggr_sell,HYDROGEL_PACK,isolated,100,479,0.7275574112734864,-0.8569937369519833,2.279958246346554,-0.48434237995824636,-1.3277661795407099,0.3717901878914395,False,1.5371428571428571,-0.9130434782608695,1.2379518072289157
Mark 38,aggr_sell,VEV_4000,isolated,5,217,-0.15668202764976957,-0.4401497695852534,0.12442396313364056,-0.055299539170506916,-0.3572004608294931,0.23271889400921658,False,-0.21264367816091953,-0.3793103448275862,0.09027777777777778
Mark 38,aggr_sell,VEV_4000,isolated,20,217,-0.21428571428571427,-0.836405529953917,0.3986175115207373,-0.21428571428571427,-0.7949308755760369,0.3756336405529951,False,-0.08045977011494253,-0.9827586206896551,0.24305555555555555
