mark,side,symbol,burst_bucket,K,n,mean_fwd_same,median_fwd_same,frac_pos_same,mean_fwd_extract,mean_fwd_hydro,days_present,n_days
Mark 22,aggr_sell,VEV_5400,burst,5,270,-0.03148148148148148,0.0,0.16296296296296298,-0.009259259259259259,-0.10925925925925926,"1,2,3",3
Mark 22,aggr_sell,VEV_5400,burst,20,270,0.014814814814814815,0.0,0.3037037037037037,0.31666666666666665,-0.37777777777777777,"1,2,3",3
Mark 22,aggr_sell,VEV_5400,burst,100,268,-0.03171641791044776,0.0,0.417910447761194,0.5074626865671642,-0.3712686567164179,"1,2,3",3
Mark 22,aggr_sell,VEV_5500,burst,5,287,-0.024390243902439025,0.0,0.05574912891986063,0.047038327526132406,-0.047038327526132406,"1,2,3",3
Mark 22,aggr_sell,VEV_5500,burst,20,287,0.024390243902439025,0.0,0.14285714285714285,0.38153310104529614,-0.156794425087108,"1,2,3",3
Mark 22,aggr_sell,VEV_5500,burst,100,285,-0.02456140350877193,0.0,0.23508771929824562,0.387719298245614,0.03508771929824561,"1,2,3",3
Mark 22,aggr_sell,VEV_5500,small_multi,5,19,-0.05263157894736842,0.0,0.05263157894736842,-0.15789473684210525,-1.2894736842105263,"1,2,3",3
Mark 22,aggr_sell,VEV_5500,small_multi,20,19,-0.13157894736842105,0.0,0.10526315789473684,-0.42105263157894735,-3.710526315789474,"1,2,3",3
Mark 22,aggr_sell,VEV_5500,small_multi,100,19,-0.21052631578947367,0.0,0.21052631578947367,-1.9210526315789473,0.3157894736842105,"1,2,3",3
Mark 22,aggr_sell,VEV_6000,burst,5,292,0.0,0.0,0.0,0.03424657534246575,-0.04280821917808219,"1,2,3",3
Mark 22,aggr_sell,VEV_6000,burst,20,292,0.0,0.0,0.0,0.3150684931506849,-0.2191780821917808,"1,2,3",3
Mark 22,aggr_sell,VEV_6000,burst,100,290,0.0,0.0,0.0,0.35344827586206895,-0.07413793103448275,"1,2,3",3
Mark 22,aggr_sell,VEV_6000,small_multi,5,25,0.0,0.0,0.0,-0.22,-1.34,"1,2,3",3
Mark 22,aggr_sell,VEV_6000,small_multi,20,25,0.0,0.0,0.0,-0.12,-3.78,"1,2,3",3
Mark 22,aggr_sell,VEV_6000,small_multi,100,24,0.0,0.0,0.0,-2.3125,-1.4583333333333333,"1,2,3",3
Mark 22,aggr_sell,VEV_6500,burst,5,292,0.0,0.0,0.0,0.03424657534246575,-0.04280821917808219,"1,2,3",3
Mark 22,aggr_sell,VEV_6500,burst,20,292,0.0,0.0,0.0,0.3150684931506849,-0.2191780821917808,"1,2,3",3
Mark 22,aggr_sell,VEV_6500,burst,100,290,0.0,0.0,0.0,0.35344827586206895,-0.07413793103448275,"1,2,3",3
Mark 22,aggr_sell,VEV_6500,small_multi,5,25,0.0,0.0,0.0,-0.22,-1.34,"1,2,3",3
Mark 22,aggr_sell,VEV_6500,small_multi,20,25,0.0,0.0,0.0,-0.12,-3.78,"1,2,3",3
