residual,actual,baseline,buyer,seller,symbol,day
-0.5399239543726235,-0.5,0.039923954372623575,Mark 01,Mark 22,VEV_5400,1
-0.5250836120401338,-0.5,0.02508361204013378,Mark 01,Mark 22,VEV_5500,1
0.0,0.0,0.0,Mark 01,Mark 22,VEV_6000,1
0.0,0.0,0.0,Mark 01,Mark 22,VEV_6500,1
-8.3125,-7.0,1.3125,Mark 38,Mark 22,HYDROGEL_PACK,1
-7.214634146341464,-7.0,0.2146341463414634,Mark 38,Mark 14,VEV_4000,1
-5.006147540983607,-5.0,0.006147540983606557,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,1
-1.630952380952381,-2.0,-0.36904761904761907,Mark 38,Mark 14,HYDROGEL_PACK,1
-2.6666666666666665,0.0,2.6666666666666665,Mark 55,Mark 49,VELVETFRUIT_EXTRACT,1
-1.0399239543726235,-1.0,0.039923954372623575,Mark 01,Mark 22,VEV_5400,1
-0.02508361204013378,0.0,0.02508361204013378,Mark 01,Mark 22,VEV_5500,1
0.0,0.0,0.0,Mark 01,Mark 22,VEV_6000,1
0.0,0.0,0.0,Mark 01,Mark 22,VEV_6500,1
0.3651685393258426,2.0,1.6348314606741574,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,1
-1.0250836120401339,-1.0,0.02508361204013378,Mark 01,Mark 22,VEV_5500,1
0.0,0.0,0.0,Mark 01,Mark 22,VEV_6000,1
0.0,0.0,0.0,Mark 01,Mark 22,VEV_6500,1
-5.506147540983607,-5.5,0.006147540983606557,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,1
-3.9016064257028114,-4.0,-0.09839357429718876,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,1
-0.8787878787878788,-1.0,-0.12121212121212122,Mark 01,Mark 22,VEV_5300,1
-0.5399239543726235,-0.5,0.039923954372623575,Mark 01,Mark 22,VEV_5400,1
-0.02508361204013378,0.0,0.02508361204013378,Mark 01,Mark 22,VEV_5500,1
0.0,0.0,0.0,Mark 01,Mark 22,VEV_6000,1
0.0,0.0,0.0,Mark 01,Mark 22,VEV_6500,1
-11.130952380952381,-11.5,-0.36904761904761907,Mark 38,Mark 14,HYDROGEL_PACK,1
2.1788793103448274,2.0,-0.1788793103448276,Mark 14,Mark 38,VEV_4000,1
-0.8787878787878788,-1.0,-0.12121212121212122,Mark 01,Mark 22,VEV_5300,1
