product,km,iv,mid,timestamp
VEV_5000,-0.05211795426210667,0.2327797549887541,270.0,0
VEV_5100,-0.03231532696592695,0.23627011721946545,179.0,0
VEV_5200,-0.012897241108825348,0.241803529367825,104.0,0
VEV_5300,0.006150953861869033,0.25168791640077504,53.0,0
VEV_5400,0.024843086874021706,0.22721606523601276,17.0,0
VEV_5500,0.043192225542218146,0.24454952463496116,6.5,0
VEV_6000,0.13020360253184787,0.3989565437450854,0.5,0
VEV_6500,0.21024631020538445,0.60952835213642,0.5,0
VEV_5000,-0.05249756895775396,0.24288644910557053,272.5,20000
VEV_5100,-0.03269494166157425,0.2385268303348844,181.0,20000
VEV_5200,-0.013276855804472675,0.24491815539040598,106.0,20000
VEV_5300,0.005771339166221798,0.2507295825874712,53.5,20000
VEV_5400,0.024463472178374232,0.2280885421738402,17.5,20000
VEV_5500,0.04281261084657087,0.24792672533061563,7.0,20000
VEV_6000,0.1298239878362007,0.3985790545192389,0.5,20000
VEV_6500,0.20986669550973702,0.6095451118338486,0.5,20000
VEV_5000,-0.05097824476462946,0.2376573464514165,264.5,40000
VEV_5100,-0.031175617468449726,0.23793921478034008,174.0,40000
VEV_5200,-0.011757531611348116,0.24447227576893796,100.5,40000
VEV_5300,0.0072906633593462795,0.25078882819631443,50.0,40000
VEV_5400,0.025982796371498963,0.22892424443909137,16.0,40000
VEV_5500,0.044331935039695416,0.25025436756971015,6.5,40000
VEV_6000,0.1313433120293252,0.4034315540570411,0.5,40000
VEV_6500,0.21138601970286164,0.6145819487523005,0.5,40000
VEV_5000,-0.047551301858222414,0.23246220687625568,247.0,60000
VEV_5100,-0.02774867456204269,0.23875797340654914,159.0,60000
VEV_5200,-0.008330588704941098,0.24634531677112984,89.5,60000
VEV_5300,0.010717606265753389,0.24774102566046466,42.0,60000
VEV_5400,0.029409739277905945,0.22724244321742515,12.5,60000
VEV_5500,0.047758877946102486,0.2436706493868721,4.5,60000
VEV_6000,0.1347702549357323,0.41355034256761747,0.5,60000
VEV_6500,0.21481296260926874,0.6246801320271491,0.5,60000
VEV_5000,-0.05059805276309141,0.24452779516555256,263.0,80000
