day,tight,buyer,fwd20
1,False,Mark 14,-1.0
1,False,Mark 14,8.0
1,True,Mark 14,5.0
1,True,Mark 14,-2.0
1,False,Mark 14,-1.0
1,True,Mark 14,9.0
1,False,Mark 14,4.0
1,False,Mark 14,12.5
1,False,Mark 14,-15.0
1,False,Mark 14,-21.5
1,False,Mark 14,-5.0
1,False,Mark 14,10.0
1,False,Mark 14,18.0
1,False,Mark 14,15.5
1,False,Mark 14,5.5
1,False,Mark 14,6.0
1,False,Mark 14,-7.5
1,False,Mark 14,-3.0
1,False,Mark 14,7.0
1,False,Mark 14,0.0
1,False,Mark 14,-6.0
1,False,Mark 14,4.0
1,False,Mark 14,5.0
1,False,Mark 14,-2.5
1,False,Mark 14,5.0
1,False,Mark 14,-6.0
1,False,Mark 14,-11.0
1,False,Mark 14,24.0
1,False,Mark 14,-8.0
1,False,Mark 14,6.5
1,False,Mark 14,1.0
1,False,Mark 14,-1.0
1,False,Mark 14,18.0
1,False,Mark 14,2.0
1,False,Mark 14,5.0
1,False,Mark 14,3.0
1,False,Mark 14,-3.0
1,False,Mark 14,-8.0
1,False,Mark 14,7.5
1,False,Mark 14,1.0
1,False,Mark 14,6.0
1,False,Mark 14,-7.0
1,False,Mark 14,2.0
1,True,Mark 14,-3.0
1,False,Mark 14,-8.0
1,False,Mark 14,-11.0
1,False,Mark 14,4.0
1,False,Mark 14,-2.0
1,False,Mark 14,-1.0
1,True,Mark 14,13.0
1,False,Mark 14,-2.0
1,False,Mark 14,-15.0
1,False,Mark 14,-7.5
1,True,Mark 14,-4.0
1,False,Mark 14,-9.0
1,False,Mark 14,-8.0
1,False,Mark 14,-8.0
1,False,Mark 14,-1.0
1,False,Mark 14,11.0
1,False,Mark 14,-7.0
1,False,Mark 14,-8.0
1,False,Mark 14,9.0
1,False,Mark 14,5.0
1,False,Mark 14,-15.0
1,False,Mark 14,-18.0
1,False,Mark 14,5.0
1,False,Mark 14,8.0
1,False,Mark 14,-6.0
1,False,Mark 14,4.0
1,False,Mark 14,7.0
1,False,Mark 14,11.0
1,False,Mark 14,-13.0
1,False,Mark 14,-8.0
1,False,Mark 14,11.0
1,False,Mark 14,0.0
1,False,Mark 14,1.0
1,False,Mark 14,-1.0
1,False,Mark 14,10.0
1,True,Mark 14,-2.0
1,False,Mark 14,0.0
1,False,Mark 14,5.0
1,False,Mark 14,1.0
1,False,Mark 14,13.0
1,True,Mark 14,2.0
1,True,Mark 14,-16.0
1,True,Mark 14,7.0
1,True,Mark 14,0.0
1,False,Mark 14,-4.0
1,False,Mark 14,7.5
1,True,Mark 14,12.0
1,False,Mark 14,1.0
1,False,Mark 14,11.0
1,False,Mark 14,9.0
1,False,Mark 14,-5.0
1,False,Mark 14,8.0
1,False,Mark 14,9.0
1,False,Mark 14,10.0
1,False,Mark 14,-2.0
1,False,Mark 14,14.0
1,False,Mark 14,-7.0
1,False,Mark 14,-7.5
1,False,Mark 14,11.0
1,False,Mark 14,5.5
1,False,Mark 14,8.0
1,False,Mark 14,4.0
1,False,Mark 14,-11.0
1,True,Mark 14,12.0
1,True,Mark 14,10.0
1,True,Mark 22,-2.0
1,False,Mark 14,1.0
1,False,Mark 14,2.0
1,False,Mark 14,-2.0
1,False,Mark 14,5.0
1,False,Mark 14,6.0
1,False,Mark 14,4.5
1,False,Mark 14,-8.0
1,False,Mark 14,-27.0
1,False,Mark 14,5.0
1,False,Mark 14,8.5
1,True,Mark 14,11.0
1,False,Mark 14,3.0
1,False,Mark 22,-14.0
1,True,Mark 14,-8.0
1,False,Mark 14,1.0
1,False,Mark 14,4.0
1,False,Mark 14,-6.0
1,True,Mark 14,3.0
1,True,Mark 14,5.0
1,True,Mark 14,-1.0
1,False,Mark 14,4.0
1,False,Mark 14,-3.0
1,False,Mark 14,12.0
1,False,Mark 14,15.0
1,False,Mark 14,1.0
1,False,Mark 14,15.0
1,False,Mark 14,-4.5
1,False,Mark 14,-9.5
1,False,Mark 14,-22.0
1,False,Mark 14,-4.0
1,False,Mark 14,16.0
1,False,Mark 14,4.0
1,False,Mark 14,1.5
1,False,Mark 14,5.0
1,False,Mark 14,4.0
1,False,Mark 14,2.0
