timestamp,buyer,seller,symbol,currency,price,quantity,day,mid,bid1,ask1,spread,mid0,aggr,fwd_5,fwd_20,fwd_100,pair,regime,baseline,residual
4500,Mark 01,Mark 22,VEV_5400,XIRECS,18.0,2,1,18.5,18,19,1,18.5,sell,-0.5,-0.5,-3.5,Mark 01->Mark 22,tight,0.0038461538461538464,-3.503846153846154
4500,Mark 01,Mark 22,VEV_5500,XIRECS,8.0,2,1,8.5,8,9,1,8.5,sell,0.0,-0.5,-2.0,Mark 01->Mark 22,tight,-0.02356902356902357,-1.9764309764309764
4500,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,2,1,0.5,0,1,1,0.5,sell,0.0,0.0,0.0,Mark 01->Mark 22,tight,0.0,0.0
4500,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,2,1,0.5,0,1,1,0.5,sell,0.0,0.0,0.0,Mark 01->Mark 22,tight,0.0,0.0
5100,Mark 38,Mark 22,HYDROGEL_PACK,XIRECS,9960.0,4,1,9956.0,9952,9960,8,9956.0,buy,-4.0,-7.0,1.0,Mark 38->Mark 22,wide,-4.428571428571429,5.428571428571429
5300,Mark 38,Mark 14,VEV_4000,XIRECS,1264.0,2,1,1253.5,1243,1264,21,1253.5,buy,0.0,-7.0,-20.0,Mark 38->Mark 14,wide,-0.4064039408866995,-19.5935960591133
6100,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,XIRECS,5255.0,3,1,5252.5,5250,5255,5,5252.5,buy,-2.0,-5.0,-21.0,Mark 55->Mark 01,med,-0.17418032786885246,-20.825819672131146
6200,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9955.0,5,1,9947.0,9939,9955,16,9947.0,buy,-2.0,-2.0,9.0,Mark 38->Mark 14,wide,-0.49504950495049505,9.495049504950495
9400,Mark 55,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5244.0,8,1,5243.5,5243,5244,1,5243.5,buy,1.5,0.0,-15.0,Mark 55->Mark 49,tight,-2.5,-12.5
9600,Mark 01,Mark 22,VEV_5400,XIRECS,16.0,4,1,17.0,16,18,2,17.0,sell,-0.5,-1.0,-3.5,Mark 01->Mark 22,tight,0.0038461538461538464,-3.503846153846154
9600,Mark 01,Mark 22,VEV_5500,XIRECS,7.0,4,1,7.5,7,8,1,7.5,sell,0.0,0.0,-1.0,Mark 01->Mark 22,tight,-0.02356902356902357,-0.9764309764309764
9600,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,4,1,0.5,0,1,1,0.5,sell,0.0,0.0,0.0,Mark 01->Mark 22,tight,0.0,0.0
9600,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,4,1,0.5,0,1,1,0.5,sell,0.0,0.0,0.0,Mark 01->Mark 22,tight,0.0,0.0
10400,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5240.0,12,1,5239.5,5239,5240,1,5239.5,buy,4.0,2.0,-11.0,Mark 67->Mark 49,tight,1.9204545454545454,-12.920454545454545
11800,Mark 01,Mark 22,VEV_5500,XIRECS,7.0,4,1,7.5,7,8,1,7.5,sell,0.0,-1.0,-1.0,Mark 01->Mark 22,tight,-0.02356902356902357,-0.9764309764309764
11800,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,4,1,0.5,0,1,1,0.5,sell,0.0,0.0,0.0,Mark 01->Mark 22,tight,0.0,0.0
11800,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,4,1,0.5,0,1,1,0.5,sell,0.0,0.0,0.0,Mark 01->Mark 22,tight,0.0,0.0
14300,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,XIRECS,5238.0,6,1,5235.5,5233,5238,5,5235.5,buy,-1.0,-5.5,-1.0,Mark 55->Mark 01,med,-0.17418032786885246,-0.8258196721311475
14800,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5232.0,6,1,5234.5,5232,5237,5,5234.5,sell,-1.0,-4.0,-1.0,Mark 01->Mark 55,med,-0.6847389558232931,-0.31526104417670686
