day,timestamp,burst_n,orchestrator_buyer,fwd_extract,K
1,4500,4,Mark 01,-2.5,5
1,4500,4,Mark 01,-4.0,20
1,4500,4,Mark 01,-20.0,100
1,9600,4,Mark 01,-2.5,5
1,9600,4,Mark 01,-5.0,20
1,9600,4,Mark 01,-17.5,100
1,11800,3,Mark 01,0.0,5
1,11800,3,Mark 01,-3.0,20
1,11800,3,Mark 01,-12.0,100
1,14800,6,Mark 01,-1.0,5
1,14800,6,Mark 01,-4.0,20
1,14800,6,Mark 01,-1.0,100
1,16700,6,Mark 01,1.0,5
1,16700,6,Mark 01,-4.5,20
1,16700,6,Mark 01,-1.0,100
1,38500,3,Mark 01,2.0,5
1,38500,3,Mark 01,2.0,20
1,38500,3,Mark 01,13.0,100
1,39400,2,Mark 22,2.0,5
1,39400,2,Mark 22,-5.0,20
1,39400,2,Mark 22,11.0,100
1,40400,5,Mark 01,0.0,5
1,40400,5,Mark 01,-2.0,20
1,40400,5,Mark 01,13.0,100
1,43400,4,Mark 01,3.0,5
1,43400,4,Mark 01,8.5,20
1,43400,4,Mark 01,11.0,100
1,50700,4,Mark 01,1.5,5
1,50700,4,Mark 01,2.0,20
1,50700,4,Mark 01,2.5,100
1,52800,4,Mark 01,-2.0,5
1,52800,4,Mark 01,-3.0,20
1,52800,4,Mark 01,-3.5,100
1,53400,3,Mark 01,2.0,5
1,53400,3,Mark 01,5.0,20
1,53400,3,Mark 01,1.0,100
1,63200,2,Mark 14,1.0,5
1,63200,2,Mark 14,2.0,20
1,63200,2,Mark 14,-5.0,100
1,73400,2,Mark 22,0.0,5
1,73400,2,Mark 22,4.0,20
1,73400,2,Mark 22,0.0,100
1,74100,5,Mark 01,4.0,5
1,74100,5,Mark 01,3.0,20
1,74100,5,Mark 01,-4.0,100
1,82300,2,Mark 01,-2.0,5
1,82300,2,Mark 01,-5.0,20
1,82300,2,Mark 01,5.0,100
1,85300,5,Mark 01,0.5,5
1,85300,5,Mark 01,4.5,20
1,85300,5,Mark 01,8.5,100
1,86100,4,Mark 01,-0.5,5
1,86100,4,Mark 01,3.5,20
1,86100,4,Mark 01,4.5,100
1,89800,4,Mark 01,0.0,5
1,89800,4,Mark 01,-2.0,20
1,89800,4,Mark 01,4.0,100
1,120300,4,Mark 01,3.0,5
1,120300,4,Mark 01,6.5,20
1,120300,4,Mark 01,4.5,100
1,127200,3,Mark 01,2.5,5
1,127200,3,Mark 01,0.5,20
1,127200,3,Mark 01,-4.0,100
1,135900,5,Mark 01,-1.0,5
1,135900,5,Mark 01,-5.5,20
1,135900,5,Mark 01,-0.5,100
1,145500,4,Mark 01,2.5,5
1,145500,4,Mark 01,7.0,20
1,145500,4,Mark 01,-12.0,100
1,150600,5,Mark 01,0.5,5
1,150600,5,Mark 01,-9.0,20
1,150600,5,Mark 01,-13.0,100
1,153000,4,Mark 01,-1.5,5
1,153000,4,Mark 01,-3.0,20
1,153000,4,Mark 01,-2.0,100
1,167600,2,Mark 01,1.5,5
1,167600,2,Mark 01,2.5,20
1,167600,2,Mark 01,-6.5,100
1,170400,4,Mark 01,0.0,5
1,170400,4,Mark 01,-1.0,20
1,170400,4,Mark 01,-2.5,100
1,170500,4,Mark 01,-1.5,5
1,170500,4,Mark 01,1.0,20
1,170500,4,Mark 01,-2.0,100
1,172500,5,Mark 01,-2.5,5
1,172500,5,Mark 01,-5.5,20
1,172500,5,Mark 01,-4.0,100
1,190100,5,Mark 01,-2.0,5
1,190100,5,Mark 01,-1.5,20
1,190100,5,Mark 01,-0.5,100
1,195600,5,Mark 01,-2.0,5
1,195600,5,Mark 01,1.0,20
1,195600,5,Mark 01,11.0,100
1,206200,3,Mark 01,0.0,5
1,206200,3,Mark 01,3.5,20
1,206200,3,Mark 01,6.0,100
1,218900,2,Mark 14,0.0,5
1,218900,2,Mark 14,-7.0,20
1,218900,2,Mark 14,-5.0,100
1,235300,4,Mark 01,1.0,5
1,235300,4,Mark 01,5.0,20
1,235300,4,Mark 01,7.5,100
1,239600,2,Mark 14,1.5,5
1,239600,2,Mark 14,6.0,20
1,239600,2,Mark 14,12.0,100
1,252500,6,Mark 01,0.0,5
1,252500,6,Mark 01,0.0,20
1,252500,6,Mark 01,-10.0,100
1,269300,2,Mark 01,1.5,5
1,269300,2,Mark 01,8.0,20
1,269300,2,Mark 01,7.0,100
1,282200,2,Mark 14,-2.5,5
1,282200,2,Mark 14,-1.0,20
1,282200,2,Mark 14,10.0,100
1,304000,4,Mark 01,0.0,5
1,304000,4,Mark 01,-1.5,20
1,304000,4,Mark 01,-8.5,100
1,308100,2,Mark 14,-0.5,5
1,308100,2,Mark 14,-1.5,20
1,308100,2,Mark 14,-22.5,100
1,310100,4,Mark 01,-2.0,5
1,310100,4,Mark 01,-4.0,20
1,310100,4,Mark 01,-25.0,100
1,322000,4,Mark 01,1.0,5
1,322000,4,Mark 01,2.0,20
1,322000,4,Mark 01,-11.0,100
1,322600,4,Mark 01,1.0,5
1,322600,4,Mark 01,-4.0,20
1,322600,4,Mark 01,-13.0,100
1,323300,2,Mark 38,1.0,5
1,323300,2,Mark 38,-4.0,20
1,323300,2,Mark 38,-11.0,100
1,335300,2,Mark 01,1.0,5
1,335300,2,Mark 01,4.0,20
1,335300,2,Mark 01,-2.0,100
1,345700,2,Mark 14,-1.0,5
1,345700,2,Mark 14,0.0,20
1,345700,2,Mark 14,-7.0,100
1,350300,4,Mark 01,-1.0,5
1,350300,4,Mark 01,-1.5,20
1,350300,4,Mark 01,2.0,100
1,376600,5,Mark 01,3.5,5
1,376600,5,Mark 01,2.0,20
1,376600,5,Mark 01,-1.0,100
1,377900,4,Mark 01,1.0,5
1,377900,4,Mark 01,3.0,20
1,377900,4,Mark 01,-2.0,100
1,399700,4,Mark 01,1.0,5
1,399700,4,Mark 01,5.0,20
1,399700,4,Mark 01,-7.0,100
1,410400,4,Mark 01,0.0,5
1,410400,4,Mark 01,0.0,20
1,410400,4,Mark 01,-8.5,100
1,428000,4,Mark 01,-3.0,5
1,428000,4,Mark 01,-2.0,20
1,428000,4,Mark 01,0.5,100
1,437100,10,Mark 38,-2.0,5
1,437100,10,Mark 38,5.0,20
1,437100,10,Mark 38,19.0,100
1,455700,4,Mark 01,-0.5,5
1,455700,4,Mark 01,-5.0,20
1,455700,4,Mark 01,7.0,100
1,459900,2,Mark 14,1.0,5
1,459900,2,Mark 14,6.0,20
1,459900,2,Mark 14,2.0,100
1,460400,5,Mark 01,2.0,5
1,460400,5,Mark 01,6.0,20
1,460400,5,Mark 01,4.0,100
1,476500,4,Mark 01,-0.5,5
1,476500,4,Mark 01,-3.0,20
1,476500,4,Mark 01,-15.0,100
1,489700,6,Mark 01,1.5,5
1,489700,6,Mark 01,5.0,20
1,489700,6,Mark 01,4.0,100
1,502700,3,Mark 01,3.0,5
1,502700,3,Mark 01,5.0,20
1,502700,3,Mark 01,18.0,100
1,503500,2,Mark 14,-0.5,5
1,503500,2,Mark 14,7.0,20
1,503500,2,Mark 14,13.0,100
1,519500,5,Mark 01,2.0,5
1,519500,5,Mark 01,0.0,20
1,519500,5,Mark 01,-5.0,100
1,524000,4,Mark 01,-1.5,5
1,524000,4,Mark 01,-5.0,20
1,524000,4,Mark 01,-13.0,100
1,527700,2,Mark 38,0.0,5
1,527700,2,Mark 38,0.5,20
1,527700,2,Mark 38,-15.0,100
1,537500,2,Mark 14,1.0,5
1,537500,2,Mark 14,-2.5,20
1,537500,2,Mark 14,-5.0,100
1,547600,3,Mark 01,1.0,5
1,547600,3,Mark 01,2.5,20
1,547600,3,Mark 01,-5.0,100
1,548400,3,Mark 01,-3.0,5
1,548400,3,Mark 01,-2.0,20
1,548400,3,Mark 01,-9.0,100
1,553100,4,Mark 01,-2.0,5
1,553100,4,Mark 01,2.0,20
1,553100,4,Mark 01,0.5,100
1,564300,6,Mark 01,0.5,5
1,564300,6,Mark 01,4.5,20
1,564300,6,Mark 01,3.5,100
1,567200,4,Mark 01,1.5,5
1,567200,4,Mark 01,4.5,20
1,567200,4,Mark 01,2.0,100
1,568900,5,Mark 01,-3.0,5
1,568900,5,Mark 01,-2.0,20
1,568900,5,Mark 01,-4.0,100
1,574800,4,Mark 01,-0.5,5
1,574800,4,Mark 01,1.0,20
1,574800,4,Mark 01,3.5,100
1,575800,4,Mark 01,2.0,5
1,575800,4,Mark 01,3.5,20
1,575800,4,Mark 01,4.5,100
1,588200,5,Mark 01,0.0,5
1,588200,5,Mark 01,-4.0,20
1,588200,5,Mark 01,-6.5,100
1,604600,5,Mark 01,-0.5,5
1,604600,5,Mark 01,-4.5,20
1,604600,5,Mark 01,3.5,100
1,612900,2,Mark 01,4.5,5
1,612900,2,Mark 01,9.5,20
1,612900,2,Mark 01,13.5,100
1,617900,5,Mark 01,-1.5,5
1,617900,5,Mark 01,0.0,20
1,617900,5,Mark 01,-6.0,100
1,618300,5,Mark 01,-1.0,5
1,618300,5,Mark 01,-1.5,20
1,618300,5,Mark 01,-5.5,100
1,624400,6,Mark 01,-1.0,5
1,624400,6,Mark 01,-7.0,20
1,624400,6,Mark 01,-22.0,100
1,631700,3,Mark 01,-2.0,5
1,631700,3,Mark 01,-3.0,20
1,631700,3,Mark 01,-9.0,100
1,634800,2,Mark 01,1.0,5
1,634800,2,Mark 01,4.0,20
1,634800,2,Mark 01,-7.5,100
1,636100,5,Mark 01,-5.0,5
1,636100,5,Mark 01,-11.0,20
1,636100,5,Mark 01,-15.0,100
1,642100,6,Mark 01,-1.0,5
1,642100,6,Mark 01,-2.0,20
1,642100,6,Mark 01,-14.0,100
1,654200,4,Mark 01,2.0,5
1,654200,4,Mark 01,-1.0,20
1,654200,4,Mark 01,7.5,100
1,674000,5,Mark 01,3.0,5
1,674000,5,Mark 01,5.0,20
1,674000,5,Mark 01,5.5,100
1,684000,4,Mark 01,0.0,5
1,684000,4,Mark 01,2.5,20
1,684000,4,Mark 01,8.5,100
1,701200,5,Mark 01,-0.5,5
1,701200,5,Mark 01,8.0,20
1,701200,5,Mark 01,16.0,100
