timestamp,buyer,seller,symbol,currency,price,quantity,day,mid,bid1,ask1,spread,mid0,aggr,fwd_5,fwd_20,fwd_100,pair,regime,baseline,residual
4500,Mark 01,Mark 22,VEV_5400,XIRECS,18.0,2,1,18.5,18,19,1,18.5,sell,-0.5,-0.5,-3.5,Mark 01->Mark 22,tight,-0.01730769230769231,-0.4826923076923077
4500,Mark 01,Mark 22,VEV_5500,XIRECS,8.0,2,1,8.5,8,9,1,8.5,sell,0.0,-0.5,-2.0,Mark 01->Mark 22,tight,-0.020202020202020204,0.020202020202020204
4500,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,2,1,0.5,0,1,1,0.5,sell,0.0,0.0,0.0,Mark 01->Mark 22,tight,0.0,0.0
4500,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,2,1,0.5,0,1,1,0.5,sell,0.0,0.0,0.0,Mark 01->Mark 22,tight,0.0,0.0
5100,Mark 38,Mark 22,HYDROGEL_PACK,XIRECS,9960.0,4,1,9956.0,9952,9960,8,9956.0,buy,-4.0,-7.0,1.0,Mark 38->Mark 22,wide,2.5714285714285716,-6.571428571428571
5300,Mark 38,Mark 14,VEV_4000,XIRECS,1264.0,2,1,1253.5,1243,1264,21,1253.5,buy,0.0,-7.0,-20.0,Mark 38->Mark 14,wide,0.14285714285714285,-0.14285714285714285
6100,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,XIRECS,5255.0,3,1,5252.5,5250,5255,5,5252.5,buy,-2.0,-5.0,-21.0,Mark 55->Mark 01,med,-0.0020491803278688526,-1.9979508196721312
6200,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9955.0,5,1,9947.0,9939,9955,16,9947.0,buy,-2.0,-2.0,9.0,Mark 38->Mark 14,wide,-0.1782178217821782,-1.8217821782178218
9400,Mark 55,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5244.0,8,1,5243.5,5243,5244,1,5243.5,buy,1.5,0.0,-15.0,Mark 55->Mark 49,tight,1.0,0.5
9600,Mark 01,Mark 22,VEV_5400,XIRECS,16.0,4,1,17.0,16,18,2,17.0,sell,-0.5,-1.0,-3.5,Mark 01->Mark 22,tight,-0.01730769230769231,-0.4826923076923077
9600,Mark 01,Mark 22,VEV_5500,XIRECS,7.0,4,1,7.5,7,8,1,7.5,sell,0.0,0.0,-1.0,Mark 01->Mark 22,tight,-0.020202020202020204,0.020202020202020204
9600,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,4,1,0.5,0,1,1,0.5,sell,0.0,0.0,0.0,Mark 01->Mark 22,tight,0.0,0.0
9600,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,4,1,0.5,0,1,1,0.5,sell,0.0,0.0,0.0,Mark 01->Mark 22,tight,0.0,0.0
10400,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,XIRECS,5240.0,12,1,5239.5,5239,5240,1,5239.5,buy,4.0,2.0,-11.0,Mark 67->Mark 49,tight,1.875,2.125
11800,Mark 01,Mark 22,VEV_5500,XIRECS,7.0,4,1,7.5,7,8,1,7.5,sell,0.0,-1.0,-1.0,Mark 01->Mark 22,tight,-0.020202020202020204,0.020202020202020204
11800,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,4,1,0.5,0,1,1,0.5,sell,0.0,0.0,0.0,Mark 01->Mark 22,tight,0.0,0.0
11800,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,4,1,0.5,0,1,1,0.5,sell,0.0,0.0,0.0,Mark 01->Mark 22,tight,0.0,0.0
14300,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,XIRECS,5238.0,6,1,5235.5,5233,5238,5,5235.5,buy,-1.0,-5.5,-1.0,Mark 55->Mark 01,med,-0.0020491803278688526,-0.9979508196721312
14800,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5232.0,6,1,5234.5,5232,5237,5,5234.5,sell,-1.0,-4.0,-1.0,Mark 01->Mark 55,med,0.23694779116465864,-1.2369477911646587
14800,Mark 01,Mark 22,VEV_5300,XIRECS,42.0,4,1,43.0,42,44,2,43.0,sell,0.0,-1.0,0.0,Mark 01->Mark 22,tight,-0.15648854961832062,0.15648854961832062
14800,Mark 01,Mark 22,VEV_5400,XIRECS,14.0,4,1,15.0,14,16,2,15.0,sell,-0.5,-0.5,-0.5,Mark 01->Mark 22,tight,-0.01730769230769231,-0.4826923076923077
14800,Mark 01,Mark 22,VEV_5500,XIRECS,6.0,4,1,6.5,6,7,1,6.5,sell,0.0,0.0,0.0,Mark 01->Mark 22,tight,-0.020202020202020204,0.020202020202020204
14800,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,4,1,0.5,0,1,1,0.5,sell,0.0,0.0,0.0,Mark 01->Mark 22,tight,0.0,0.0
14800,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,4,1,0.5,0,1,1,0.5,sell,0.0,0.0,0.0,Mark 01->Mark 22,tight,0.0,0.0
15000,Mark 38,Mark 14,HYDROGEL_PACK,XIRECS,9966.0,4,1,9958.5,9951,9966,15,9958.5,buy,-1.5,-11.5,-6.5,Mark 38->Mark 14,wide,-0.1782178217821782,-1.3217821782178218
16700,Mark 14,Mark 38,VEV_4000,XIRECS,1221.0,2,1,1226.0,1221,1231,10,1226.0,sell,6.5,2.0,4.5,Mark 14->Mark 38,wide,-0.15800865800865802,6.658008658008658
16700,Mark 01,Mark 22,VEV_5300,XIRECS,41.0,2,1,42.0,41,43,2,42.0,sell,0.0,-1.0,-1.0,Mark 01->Mark 22,tight,-0.15648854961832062,0.15648854961832062
16700,Mark 01,Mark 22,VEV_5400,XIRECS,14.0,2,1,14.5,14,15,1,14.5,sell,0.0,-1.0,-0.5,Mark 01->Mark 22,tight,-0.01730769230769231,0.01730769230769231
16700,Mark 01,Mark 22,VEV_5500,XIRECS,6.0,2,1,6.5,6,7,1,6.5,sell,0.0,-0.5,0.0,Mark 01->Mark 22,tight,-0.020202020202020204,0.020202020202020204
16700,Mark 01,Mark 22,VEV_6000,XIRECS,0.0,2,1,0.5,0,1,1,0.5,sell,0.0,0.0,0.0,Mark 01->Mark 22,tight,0.0,0.0
16700,Mark 01,Mark 22,VEV_6500,XIRECS,0.0,2,1,0.5,0,1,1,0.5,sell,0.0,0.0,0.0,Mark 01->Mark 22,tight,0.0,0.0
17300,Mark 14,Mark 38,VEV_4000,XIRECS,1221.0,1,1,1231.5,1221,1242,21,1231.5,sell,2.0,-3.0,4.0,Mark 14->Mark 38,wide,-0.15800865800865802,2.158008658008658
17400,Mark 67,Mark 22,VELVETFRUIT_EXTRACT,XIRECS,5230.0,8,1,5229.0,5228,5230,2,5229.0,buy,4.0,-0.5,7.5,Mark 67->Mark 22,tight,2.06,1.94
17900,Mark 38,Mark 14,VEV_4000,XIRECS,1243.0,1,1,1233.0,1223,1243,20,1233.0,buy,-3.5,-6.5,4.5,Mark 38->Mark 14,wide,0.14285714285714285,-3.642857142857143
19300,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5226.0,5,1,5228.5,5226,5231,5,5228.5,sell,0.0,0.0,11.0,Mark 14->Mark 55,med,-0.13973063973063973,0.13973063973063973
20200,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5224.0,5,1,5226.5,5224,5229,5,5226.5,sell,1.0,1.0,11.0,Mark 14->Mark 55,med,-0.13973063973063973,1.1397306397306397
22800,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9946.0,6,1,9954.0,9946,9962,16,9954.0,sell,-3.0,-1.0,2.0,Mark 14->Mark 38,wide,0.06781376518218624,-3.067813765182186
25700,Mark 38,Mark 14,VEV_4000,XIRECS,1241.0,3,1,1231.0,1221,1241,20,1231.0,buy,-0.5,7.5,3.0,Mark 38->Mark 14,wide,0.14285714285714285,-0.6428571428571428
29300,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,XIRECS,5237.0,4,1,5239.5,5237,5242,5,5239.5,sell,2.0,-7.5,-5.0,Mark 14->Mark 55,med,-0.13973063973063973,2.1397306397306397
30800,Mark 14,Mark 38,HYDROGEL_PACK,XIRECS,9940.0,2,1,9948.0,9940,9956,16,9948.0,sell,-1.0,8.0,-3.0,Mark 14->Mark 38,wide,0.06781376518218624,-1.0678137651821862
