passive_seller,symbol,count,mean
Mark 14,HYDROGEL_PACK,505,-0.36633663366336633
Mark 01,VELVETFRUIT_EXTRACT,244,0.006147540983606557
Mark 14,VEV_4000,203,0.17980295566502463
Mark 22,VEV_5200,2,0.25
Mark 14,VELVETFRUIT_EXTRACT,328,0.5655487804878049
Mark 22,VEV_5100,2,1.0
Mark 22,HYDROGEL_PACK,7,1.1428571428571428
Mark 22,VEV_5000,2,1.5
Mark 49,VELVETFRUIT_EXTRACT,103,1.7815533980582525
Mark 22,VELVETFRUIT_EXTRACT,90,2.022222222222222
Mark 22,VEV_5300,1,2.5
Mark 22,VEV_4500,2,3.75
Mark 22,VEV_4000,2,5.0
