day,symbol,tight,buyer,fwd20
1,VEV_5200,True,Mark 14,-2.5
1,VEV_5200,True,Mark 14,2.5
1,VEV_5200,True,Mark 14,-4.5
1,VEV_5200,True,Mark 14,-6.0
1,VEV_5200,True,Mark 14,-1.5
1,VEV_5200,True,Mark 14,2.5
1,VEV_5300,True,Mark 01,-1.0
1,VEV_5300,True,Mark 01,-1.0
1,VEV_5300,True,Mark 01,-1.0
1,VEV_5300,True,Mark 01,1.0
1,VEV_5300,True,Mark 14,1.0
1,VEV_5300,True,Mark 01,-1.0
1,VEV_5300,True,Mark 01,-2.0
1,VEV_5300,True,Mark 01,-4.0
1,VEV_5300,True,Mark 14,0.0
1,VEV_5300,True,Mark 01,-2.0
1,VEV_5300,True,Mark 01,-1.0
1,VEV_5300,True,Mark 01,1.0
1,VEV_5300,True,Mark 01,0.0
1,VEV_5300,True,Mark 01,0.5
1,VEV_5300,True,Mark 14,1.0
1,VEV_5300,True,Mark 01,2.0
1,VEV_5300,True,Mark 01,2.0
1,VEV_5300,True,Mark 01,0.0
1,VEV_5300,True,Mark 01,1.0
1,VEV_5300,True,Mark 01,1.0
1,VEV_5300,True,Mark 01,-1.0
1,VEV_5300,True,Mark 01,-2.0
1,VEV_5300,True,Mark 01,-2.0
1,VEV_5300,True,Mark 01,0.0
1,VEV_5300,True,Mark 01,-1.0
1,VEV_5300,True,Mark 01,-3.0
1,VEV_5300,True,Mark 01,-4.0
1,VEV_5300,True,Mark 01,-1.0
1,VEV_5300,True,Mark 01,1.0
1,VEV_5300,True,Mark 14,2.0
1,VEV_5300,True,Mark 14,-1.5
1,VEV_5300,True,Mark 01,-3.0
1,VEV_5300,True,Mark 01,-2.0
1,VEV_5300,True,Mark 01,-2.0
1,VEV_5300,True,Mark 01,-2.0
1,VEV_5300,True,Mark 14,-1.0
1,VEV_5300,True,Mark 01,2.0
1,VEV_5300,True,Mark 01,2.0
1,VEV_5400,True,Mark 01,-0.5
1,VEV_5400,True,Mark 01,-1.0
1,VEV_5400,True,Mark 01,-0.5
1,VEV_5400,True,Mark 01,-1.0
1,VEV_5400,True,Mark 01,-0.5
1,VEV_5400,True,Mark 01,2.0
1,VEV_5400,True,Mark 01,0.5
1,VEV_5400,True,Mark 01,0.0
1,VEV_5400,True,Mark 01,1.0
1,VEV_5400,True,Mark 01,1.0
1,VEV_5400,True,Mark 01,0.5
1,VEV_5400,True,Mark 01,-0.5
1,VEV_5400,True,Mark 01,1.5
1,VEV_5400,True,Mark 01,-1.0
1,VEV_5400,True,Mark 01,1.5
1,VEV_5400,True,Mark 01,-2.0
1,VEV_5400,True,Mark 01,-0.5
1,VEV_5400,True,Mark 01,0.0
1,VEV_5400,True,Mark 01,-1.0
1,VEV_5400,True,Mark 01,-0.5
1,VEV_5400,True,Mark 01,1.0
1,VEV_5400,True,Mark 14,0.5
1,VEV_5400,True,Mark 01,0.5
1,VEV_5400,True,Mark 01,0.0
1,VEV_5400,True,Mark 01,-0.5
1,VEV_5400,True,Mark 14,-1.0
1,VEV_5400,True,Mark 01,0.0
1,VEV_5400,True,Mark 01,-0.5
1,VEV_5400,True,Mark 01,0.5
1,VEV_5400,True,Mark 01,1.0
1,VEV_5400,True,Mark 01,0.0
1,VEV_5400,True,Mark 01,0.0
1,VEV_5400,True,Mark 01,1.0
1,VEV_5400,True,Mark 01,-1.0
1,VEV_5400,True,Mark 14,1.0
1,VEV_5400,True,Mark 01,-0.5
1,VEV_5400,True,Mark 01,1.0
1,VEV_5400,True,Mark 01,0.0
1,VEV_5400,True,Mark 01,-1.0
1,VEV_5400,True,Mark 01,0.0
1,VEV_5400,True,Mark 01,0.0
1,VEV_5400,True,Mark 01,1.0
1,VEV_5400,True,Mark 01,0.0
1,VEV_5400,True,Mark 01,0.0
1,VEV_5400,True,Mark 01,0.0
1,VEV_5400,True,Mark 01,-1.0
1,VEV_5400,True,Mark 01,-0.5
1,VEV_5400,True,Mark 01,0.0
1,VEV_5400,True,Mark 01,0.0
1,VEV_5400,True,Mark 01,-1.0
1,VEV_5400,True,Mark 01,0.0
1,VEV_5400,True,Mark 01,0.0
1,VEV_5400,True,Mark 01,0.0
1,VEV_5400,True,Mark 01,1.0
1,VEV_5400,True,Mark 01,0.0
1,VEV_5400,True,Mark 01,1.0
1,VEV_5400,True,Mark 01,1.0
1,VEV_5400,True,Mark 01,1.0
1,VEV_5400,True,Mark 01,0.0
1,VEV_5400,True,Mark 01,-0.5
1,VEV_5400,True,Mark 01,-1.5
1,VEV_5400,True,Mark 14,-2.0
1,VEV_5400,True,Mark 01,0.5
1,VEV_5400,True,Mark 14,-1.0
