timestamp;buyer;seller;symbol;currency;price;quantity
10100;;;INTARIAN_PEPPER_ROOT;XIRECS;13017.0;6
21900;;;INTARIAN_PEPPER_ROOT;XIRECS;13015.0;3
40400;;;INTARIAN_PEPPER_ROOT;XIRECS;13033.0;6
41300;;;INTARIAN_PEPPER_ROOT;XIRECS;13034.0;7
43600;;;INTARIAN_PEPPER_ROOT;XIRECS;13039.0;4
47700;;;INTARIAN_PEPPER_ROOT;XIRECS;13043.0;4
49600;;;INTARIAN_PEPPER_ROOT;XIRECS;13043.0;3
49800;;;INTARIAN_PEPPER_ROOT;XIRECS;13045.0;3
65600;;;ASH_COATED_OSMIUM;XIRECS;10003.0;4
65700;;;INTARIAN_PEPPER_ROOT;XIRECS;13061.0;2
66100;;;INTARIAN_PEPPER_ROOT;XIRECS;13059.0;7
68300;;;INTARIAN_PEPPER_ROOT;XIRECS;13061.0;6
73400;;;INTARIAN_PEPPER_ROOT;XIRECS;13077.0;7
91100;;;INTARIAN_PEPPER_ROOT;XIRECS;13095.0;1
104400;;;INTARIAN_PEPPER_ROOT;XIRECS;13108.0;3
108600;;;INTARIAN_PEPPER_ROOT;XIRECS;13111.0;5
129500;;;INTARIAN_PEPPER_ROOT;XIRECS;13122.0;3
140100;;;INTARIAN_PEPPER_ROOT;XIRECS;13144.0;4
142000;;;INTARIAN_PEPPER_ROOT;XIRECS;13145.0;6
150600;;;INTARIAN_PEPPER_ROOT;XIRECS;13144.0;5
153700;;;INTARIAN_PEPPER_ROOT;XIRECS;13161.0;5
160500;;;INTARIAN_PEPPER_ROOT;XIRECS;13168.0;3
165500;;;INTARIAN_PEPPER_ROOT;XIRECS;13161.0;4
179200;;;INTARIAN_PEPPER_ROOT;XIRECS;13175.0;4
194400;;;INTARIAN_PEPPER_ROOT;XIRECS;13190.0;3
201800;;;INTARIAN_PEPPER_ROOT;XIRECS;13209.0;5
211300;;;INTARIAN_PEPPER_ROOT;XIRECS;13204.0;3
212500;;;INTARIAN_PEPPER_ROOT;XIRECS;13205.0;5
213400;;;INTARIAN_PEPPER_ROOT;XIRECS;13206.0;7
216300;;;INTARIAN_PEPPER_ROOT;XIRECS;13209.0;7
217300;;;INTARIAN_PEPPER_ROOT;XIRECS;13211.0;2
231700;;;INTARIAN_PEPPER_ROOT;XIRECS;13226.0;2
236900;;;INTARIAN_PEPPER_ROOT;XIRECS;13231.0;3
247600;;;INTARIAN_PEPPER_ROOT;XIRECS;13255.0;3
251200;;;INTARIAN_PEPPER_ROOT;XIRECS;13247.0;3
263900;;;INTARIAN_PEPPER_ROOT;XIRECS;13267.0;2
271100;;;INTARIAN_PEPPER_ROOT;XIRECS;13265.0;1
272400;;;INTARIAN_PEPPER_ROOT;XIRECS;13265.0;5
278900;;;INTARIAN_PEPPER_ROOT;XIRECS;13272.0;7
287000;;;ASH_COATED_OSMIUM;XIRECS;9997.0;4
288700;;;INTARIAN_PEPPER_ROOT;XIRECS;13295.0;1
297200;;;INTARIAN_PEPPER_ROOT;XIRECS;13290.0;7
313000;;;INTARIAN_PEPPER_ROOT;XIRECS;13316.0;5
321700;;;INTARIAN_PEPPER_ROOT;XIRECS;13329.0;3
329500;;;INTARIAN_PEPPER_ROOT;XIRECS;13323.0;1
344200;;;INTARIAN_PEPPER_ROOT;XIRECS;13348.0;2
348900;;;INTARIAN_PEPPER_ROOT;XIRECS;13356.0;3
351600;;;INTARIAN_PEPPER_ROOT;XIRECS;13358.0;4
375800;;;INTARIAN_PEPPER_ROOT;XIRECS;13369.0;5
376700;;;INTARIAN_PEPPER_ROOT;XIRECS;13370.0;4
379400;;;INTARIAN_PEPPER_ROOT;XIRECS;13372.0;3
387600;;;INTARIAN_PEPPER_ROOT;XIRECS;13380.0;5
391600;;;INTARIAN_PEPPER_ROOT;XIRECS;13384.0;4
392300;;;INTARIAN_PEPPER_ROOT;XIRECS;13388.0;5
400100;;;INTARIAN_PEPPER_ROOT;XIRECS;13396.0;7
402200;;;INTARIAN_PEPPER_ROOT;XIRECS;13395.0;6
406400;;;INTARIAN_PEPPER_ROOT;XIRECS;13410.0;5
411200;;;INTARIAN_PEPPER_ROOT;XIRECS;13415.0;2
411300;;;INTARIAN_PEPPER_ROOT;XIRECS;13415.0;7
415700;;;INTARIAN_PEPPER_ROOT;XIRECS;13419.0;3
419900;;;INTARIAN_PEPPER_ROOT;XIRECS;13423.0;6
424500;;;INTARIAN_PEPPER_ROOT;XIRECS;13428.0;7
430900;;;INTARIAN_PEPPER_ROOT;XIRECS;13438.0;5
431000;;;INTARIAN_PEPPER_ROOT;XIRECS;13435.0;5
431200;;;INTARIAN_PEPPER_ROOT;XIRECS;13438.0;4
433500;;;INTARIAN_PEPPER_ROOT;XIRECS;13441.0;7
438000;;;INTARIAN_PEPPER_ROOT;XIRECS;13433.0;5
439100;;;INTARIAN_PEPPER_ROOT;XIRECS;13432.0;7
456500;;;INTARIAN_PEPPER_ROOT;XIRECS;13449.0;4
465300;;;INTARIAN_PEPPER_ROOT;XIRECS;13469.0;2
465400;;;INTARIAN_PEPPER_ROOT;XIRECS;13473.0;7
483700;;;INTARIAN_PEPPER_ROOT;XIRECS;13476.0;7
484800;;;INTARIAN_PEPPER_ROOT;XIRECS;13478.0;7
485100;;;INTARIAN_PEPPER_ROOT;XIRECS;13478.0;6
496200;;;INTARIAN_PEPPER_ROOT;XIRECS;13489.0;5
496200;;;INTARIAN_PEPPER_ROOT;XIRECS;13492.0;5
506200;;;INTARIAN_PEPPER_ROOT;XIRECS;13502.0;2
517600;;;ASH_COATED_OSMIUM;XIRECS;10005.0;4
520500;;;INTARIAN_PEPPER_ROOT;XIRECS;13514.0;4
524600;;;INTARIAN_PEPPER_ROOT;XIRECS;13532.0;4
529400;;;INTARIAN_PEPPER_ROOT;XIRECS;13533.0;4
537500;;;INTARIAN_PEPPER_ROOT;XIRECS;13541.0;3
540700;;;INTARIAN_PEPPER_ROOT;XIRECS;13536.0;3
544300;;;INTARIAN_PEPPER_ROOT;XIRECS;13538.0;3
