tape_day,timestamp,strike,S,vega,theta_per_day
0,0,5200,5250.0,297.48774855120666,-4.447972954563706
0,0,5300,5250.0,300.7814139563187,-4.548405268247597
0,50000,5200,5238.0,301.6092593472004,-4.460250846761316
0,50000,5300,5238.0,294.65730953495114,-4.436010430159817
0,100000,5200,5237.5,301.6381527106538,-4.416581947314736
0,100000,5300,5237.5,293.5191889925804,-4.30582445060172
0,150000,5200,5228.5,304.03304067255357,-4.4024254876815805
0,150000,5300,5228.5,288.1766175312577,-4.244510909710295
0,200000,5200,5230.5,303.5763015271317,-4.41803351934558
0,200000,5300,5230.5,289.00725442958293,-4.212149069496058
0,250000,5200,5247.5,297.9080317284185,-4.331049122165303
0,250000,5300,5247.5,298.9637555065845,-4.396058518383035
0,300000,5200,5256.5,293.87248803009754,-4.2672421461353265
0,300000,5300,5256.5,302.93827579595944,-4.414926290206344
0,350000,5200,5269.5,287.0180735003663,-4.176300944002331
0,350000,5300,5269.5,307.744437727284,-4.482300286464428
0,400000,5200,5259.5,292.43546562003104,-4.2526979221821595
0,400000,5300,5259.5,304.128967146776,-4.41685853798815
0,450000,5200,5244.5,299.30208839852014,-4.4027516033005485
0,450000,5300,5244.5,297.1132200565518,-4.317196705886855
0,500000,5200,5249.5,297.16565059036697,-4.337400395313973
0,500000,5300,5249.5,299.68136045529377,-4.357093779456206
0,550000,5200,5242.5,299.96013786105755,-4.393835917987241
0,550000,5300,5242.5,295.93309304486496,-4.285590341985241
0,600000,5200,5246.0,298.6235988846514,-4.367315386826085
0,600000,5300,5246.0,297.6777811367539,-4.289036810406342
0,650000,5200,5230.0,303.7371911123552,-4.438300371468953
0,650000,5300,5230.0,288.15535246577156,-4.148437010785557
0,700000,5200,5250.5,296.5331313465962,-4.289703806616509
0,700000,5300,5250.5,299.708264067727,-4.270164860714171
0,750000,5200,5277.5,281.4774879652342,-4.044806565104735
0,750000,5300,5277.5,309.8802940519645,-4.4451356316853685
0,800000,5200,5248.5,296.8082379992698,-4.183227360915875
0,800000,5300,5248.5,298.6157570575605,-4.2414520725651625
0,850000,5200,5252.5,294.9739125693109,-4.158558218804688
0,850000,5300,5252.5,300.75060628500955,-4.2976219618899165
0,900000,5200,5257.5,292.6436128968818,-4.147599384265324
0,900000,5300,5257.5,302.7711501181236,-4.26180034552198
0,950000,5200,5239.0,300.55030309609697,-4.22048607131584
0,950000,5300,5239.0,293.6159117087976,-4.209759313338107
1,0,5200,5245.0,279.34328315093626,-4.89182272391288
1,0,5300,5245.0,277.72032606264514,-4.845145096026549
1,50000,5200,5247.5,278.2345822372326,-4.835023077224462
1,50000,5300,5247.5,278.6179980305344,-4.791557933822959
1,100000,5200,5248.5,277.63868404133143,-4.78083126961813
1,100000,5300,5248.5,278.9761097982536,-4.769858802762937
1,150000,5200,5267.0,268.43753673703003,-4.603619545084694
1,150000,5300,5267.0,286.70816799238116,-4.894567803038921
1,200000,5200,5238.5,281.160417379753,-4.773605194396366
1,200000,5300,5238.5,273.46734448818285,-4.661055677403644
1,250000,5200,5266.5,268.61394962834584,-4.594344081725059
1,250000,5300,5266.5,286.64560097951374,-4.944619670018211
1,300000,5200,5268.5,267.26521233975035,-4.54879155552008
1,300000,5300,5268.5,287.31654639258915,-4.9656782664450265
1,350000,5200,5249.0,277.3293054683422,-4.753491477363883
1,350000,5300,5249.0,279.50445003600163,-4.836382932662939
1,400000,5200,5241.5,280.50526124293276,-4.884335918042647
1,400000,5300,5241.5,275.592746344435,-4.76058867962852
1,450000,5200,5245.5,278.7976595925695,-4.789212075830974
1,450000,5300,5245.5,277.5069274966874,-4.756284502455057
1,500000,5200,5243.5,279.08073354054443,-4.666669651575666
1,500000,5300,5243.5,276.3445591922485,-4.719511263404733
1,550000,5200,5234.0,282.451291674825,-4.735173714514699
1,550000,5300,5234.0,271.1351803370375,-4.666681202230446
1,600000,5200,5234.5,282.33322823874244,-4.747967677691661
1,600000,5300,5234.5,271.3345754466634,-4.657244351085092
1,650000,5200,5201.5,287.2793434607898,-4.802770566067519
1,650000,5300,5201.5,247.10011710480708,-4.223744790113394
1,700000,5200,5238.5,280.72035279150464,-4.62339010293816
1,700000,5300,5238.5,273.46734448818285,-4.661055677403644
1,750000,5200,5272.5,262.77614660541883,-4.283318465784047
1,750000,5300,5272.5,288.3317058144899,-4.857419067323065
1,800000,5200,5250.5,275.58477571977085,-4.514825822853562
1,800000,5300,5250.5,279.51546742883806,-4.687336884396401
1,850000,5200,5263.5,268.4437707169015,-4.374796063099901
1,850000,5300,5263.5,285.1893439847447,-4.761335551771749
1,900000,5200,5249.5,275.71097291409137,-4.454392692200283
1,900000,5300,5249.5,278.5930831191264,-4.592753830598257
1,950000,5200,5252.0,274.44904936357943,-4.429061696848403
1,950000,5300,5252.0,280.2238396515516,-4.692677255403626
2,0,5200,5267.5,245.47675582989004,-4.946428828119285
2,0,5300,5267.5,265.3586902821676,-5.565631321329302
2,50000,5200,5260.5,249.56587360929313,-5.038308573026928
2,50000,5300,5260.5,262.6575472443087,-5.422240360134582
2,100000,5200,5263.5,248.53063858844166,-5.103928740283208
2,100000,5300,5263.5,263.7553221201312,-5.424094686885414
2,150000,5200,5267.5,245.82965097678812,-4.995236245496434
2,150000,5300,5267.5,265.13616628456947,-5.436017131307845
2,200000,5200,5262.0,248.75179155706084,-5.0236234999379015
2,200000,5300,5262.0,263.11020727672565,-5.379745173153216
2,250000,5200,5277.5,237.84210630123974,-4.686225384185602
2,250000,5300,5277.5,267.96497898577735,-5.418419353172635
2,300000,5200,5270.5,243.2333121066158,-4.858687902185005
2,300000,5300,5270.5,265.8666838363794,-5.301288376950448
2,350000,5200,5262.0,248.13704890663433,-4.927979158695418
2,350000,5300,5262.0,262.6650346531049,-5.2041194889579385
2,400000,5200,5238.0,259.09599960498497,-5.027887110139191
2,400000,5300,5238.0,250.25358236626167,-4.9758586990850775
2,450000,5200,5249.5,254.26549570865157,-4.968650543251817
2,450000,5300,5249.5,256.7696093228801,-5.084742691528297
2,500000,5200,5245.5,255.75818646113058,-4.914398995170294
2,500000,5300,5245.5,254.34270128050835,-4.995938889912054
2,550000,5200,5234.5,260.16741545930597,-4.973059235034317
2,550000,5300,5234.5,247.47495620948357,-4.85664333482909
2,600000,5200,5242.0,256.87000108366175,-4.824214628558498
2,600000,5300,5242.0,251.87518708212536,-4.888098560450553
2,650000,5200,5242.5,256.8836455865172,-4.882172020936691
2,650000,5300,5242.5,252.0784512488265,-4.876945674515464
2,700000,5200,5269.5,241.0378951058953,-4.5393110144698365
2,700000,5300,5269.5,265.13577906902356,-5.072931749869631
2,750000,5200,5215.5,264.9306426464402,-4.967415213374442
2,750000,5300,5215.5,232.3331021789173,-4.4892421412523715
2,800000,5200,5249.5,253.13853732424738,-4.738767409232973
2,800000,5300,5249.5,255.89768796389538,-4.901097625381199
2,850000,5200,5255.5,249.58991866038474,-4.643137979690867
2,850000,5300,5255.5,259.3341160982355,-5.024132754228446
2,900000,5200,5286.5,227.41131709222833,-4.247606790235633
2,900000,5300,5286.5,269.6974994841107,-5.148202573905643
2,950000,5200,5274.5,236.96240303556803,-4.426096130976134
2,950000,5300,5274.5,266.66388193182513,-5.004534182378927
