day,timestamp,pepper_internal_fair,osmium_internal_fair
1,0,13007,10016
1,100,13000.0996094,10008.0761719
1,200,13000.2001953,10008.4873047
1,300,13000.2998047,10008.0927734
1,400,13000.4003906,10008.1669922
1,500,13000.5,10008.5009766
1,600,13000.5996094,10008.4433594
1,700,13000.7001953,10008.4375
1,800,13000.7998047,10008.6552734
1,900,13000.9003906,10008.6201172
1,1000,13001,10008.9716797
1,1100,13001.0996094,10008.8154297
1,1200,13001.2001953,10008.9238281
1,1300,13001.2998047,10009.2421875
1,1400,13001.4003906,10009.2021484
1,1500,13001.5,10009.0498047
1,1600,13001.5996094,10009.3378906
1,1700,13001.7001953,10009.4941406
1,1800,13001.7998047,10009.4570312
1,1900,13001.9003906,10009.6904297
1,2000,13002,10010.2470703
1,2100,13002.0996094,10010.5751953
1,2200,13002.2001953,10010.796875
1,2300,13002.2998047,10010.8027344
1,2400,13002.4003906,10010.4560547
1,2500,13002.5,10010.3662109
1,2600,13002.5996094,10009.7470703
1,2700,13002.7001953,10009.5419922
1,2800,13002.7998047,10009.8623047
1,2900,13002.9003906,10009.3720703
1,3000,13003,10009.6240234
1,3100,13003.0996094,10009.2216797
1,3200,13003.2001953,10009.296875
1,3300,13003.2998047,10009.1621094
1,3400,13003.4003906,10009.4287109
1,3500,13003.5,10009.3076172
1,3600,13003.5996094,10008.8085938
1,3700,13003.7001953,10008.2421875
1,3800,13003.7998047,10008.7324219
1,3900,13003.9003906,10008.5205078
1,4000,13004,10008.265625
1,4100,13004.0996094,10008.3388672
1,4200,13004.2001953,10008.8896484
1,4300,13004.2998047,10009.3154297
1,4400,13004.4003906,10009.1123047
1,4500,13004.5,10009.5849609
1,4600,13004.5996094,10009.7275391
1,4700,13004.7001953,10009.2070312
1,4800,13004.7998047,10008.9140625
1,4900,13004.9003906,10009.1845703
1,5000,13005,10009.0615234
1,5100,13005.0996094,10008.8408203
1,5200,13005.2001953,10008.8837891
1,5300,13005.2998047,10009.1611328
1,5400,13005.4003906,10009.1523438
1,5500,13005.5,10009.2871094
1,5600,13005.5996094,10008.8037109
1,5700,13005.7001953,10008.8193359
1,5800,13005.7998047,10009.2607422
1,5900,13005.9003906,10009.5742188
1,6000,13006,10009.4287109
1,6100,13006.0996094,10009.1376953
1,6200,13006.2001953,10008.7861328
1,6300,13006.2998047,10008.8564453
1,6400,13006.4003906,10008.9785156
1,6500,13006.5,10009.1054688
1,6600,13006.5996094,10008.8203125
1,6700,13006.7001953,10008.7070312
1,6800,13006.7998047,10008.9746094
1,6900,13006.9003906,10008.5966797
1,7000,13007,10008.6845703
1,7100,13007.0996094,10008.3271484
1,7200,13007.2001953,10008.8857422
1,7300,13007.2998047,10008.8095703
1,7400,13007.4003906,10008.6943359
1,7500,13007.5,10008.8242188
1,7600,13007.5996094,10009.1757812
1,7700,13007.7001953,10008.7685547
1,7800,13007.7998047,10008.4853516
1,7900,13007.9003906,10008.2568359
1,8000,13008,10007.6875
1,8100,13008.0996094,10008.1171875
1,8200,13008.2001953,10007.6591797
1,8300,13008.2998047,10008.3046875
1,8400,13008.4003906,10009.1064453
1,8500,13008.5,10008.6503906
1,8600,13008.5996094,10008.8232422
1,8700,13008.7001953,10008.5576172
1,8800,13008.7998047,10008.4511719
1,8900,13008.9003906,10008.6259766
1,9000,13009,10008.6972656
1,9100,13009.0996094,10008.4472656
1,9200,13009.2001953,10008.2333984
1,9300,13009.2998047,10008.1669922
1,9400,13009.4003906,10008.0185547
1,9500,13009.5,10007.4628906
1,9600,13009.5996094,10007.4169922
1,9700,13009.7001953,10007.1660156
1,9800,13009.7998047,10007.296875
1,9900,13009.9003906,10006.7929688
1,10000,13010,10007.0644531
1,10100,13010.0996094,10006.7890625
1,10200,13010.2001953,10007.2646484
1,10300,13010.2998047,10007.640625
1,10400,13010.4003906,10007.6992188
1,10500,13010.5,10007.3886719
1,10600,13010.5996094,10007.8486328
1,10700,13010.7001953,10007.0810547
1,10800,13010.7998047,10006.5058594
1,10900,13010.9003906,10006.6044922
1,11000,13011,10005.8818359
1,11100,13011.0996094,10005.59375
1,11200,13011.2001953,10005.5849609
1,11300,13011.2998047,10005.0214844
1,11400,13011.4003906,10005.3291016
1,11500,13011.5,10004.9072266
1,11600,13011.5996094,10005.4599609
1,11700,13011.7001953,10005.5566406
1,11800,13011.7998047,10005.3535156
1,11900,13011.9003906,10004.8652344
1,12000,13012,10004.9707031
1,12100,13012.0996094,10005.5322266
1,12200,13012.2001953,10005.3095703
1,12300,13012.2998047,10005.3183594
1,12400,13012.4003906,10005.0283203
1,12500,13012.5,10004.8251953
1,12600,13012.5996094,10004.8876953
1,12700,13012.7001953,10004.8359375
1,12800,13012.7998047,10004.6660156
1,12900,13012.9003906,10004.9335938
1,13000,13013,10004.6777344
1,13100,13013.0996094,10005.0830078
1,13200,13013.2001953,10004.8554688
1,13300,13013.2998047,10004.515625
1,13400,13013.4003906,10004.296875
1,13500,13013.5,10004.4326172
1,13600,13013.5996094,10004.6015625
1,13700,13013.7001953,10004.1972656
1,13800,13013.7998047,10004.1640625
1,13900,13013.9003906,10003.8720703
1,14000,13014,10004.2744141
1,14100,13014.0996094,10004.1699219
1,14200,13014.2001953,10004.0957031
1,14300,13014.2998047,10004.390625
1,14400,13014.4003906,10004.3730469
1,14500,13014.5,10004.0273438
1,14600,13014.5996094,10003.7890625
1,14700,13014.7001953,10003.5634766
1,14800,13014.7998047,10003.4130859
1,14900,13014.9003906,10003.8486328
1,15000,13015,10004.0068359
1,15100,13015.0996094,10004.7324219
1,15200,13015.2001953,10005.1503906
1,15300,13015.2998047,10004.8427734
1,15400,13015.4003906,10005.5410156
1,15500,13015.5,10005.6777344
1,15600,13015.5996094,10005.9199219
1,15700,13015.7001953,10005.6162109
1,15800,13015.7998047,10005.4873047
1,15900,13015.9003906,10005.7558594
1,16000,13016,10005.3164062
1,16100,13016.0996094,10005.3466797
1,16200,13016.2001953,10005.9667969
1,16300,13016.2998047,10005.9501953
1,16400,13016.4003906,10005.9394531
1,16500,13016.5,10005.6689453
1,16600,13016.5996094,10005.9472656
1,16700,13016.7001953,10006.5625
1,16800,13016.7998047,10006.3710938
1,16900,13016.9003906,10006.5371094
1,17000,13017,10006.2431641
1,17100,13017.0996094,10006.0771484
1,17200,13017.2001953,10005.8144531
1,17300,13017.2998047,10005.6220703
1,17400,13017.4003906,10005.3320312
1,17500,13017.5,10005.3369141
1,17600,13017.5996094,10005.7148438
1,17700,13017.7001953,10005.8017578
1,17800,13017.7998047,10005.5341797
1,17900,13017.9003906,10005.3378906
1,18000,13018,10005.0869141
1,18100,13018.0996094,10005.1679688
1,18200,13018.2001953,10005.0869141
1,18300,13018.2998047,10005.1171875
1,18400,13018.4003906,10005.2216797
1,18500,13018.5,10005.1582031
1,18600,13018.5996094,10005.0146484
1,18700,13018.7001953,10005.0546875
1,18800,13018.7998047,10005.0634766
1,18900,13018.9003906,10004.8847656
1,19000,13019,10004.9853516
1,19100,13019.0996094,10005.2714844
1,19200,13019.2001953,10005.0205078
1,19300,13019.2998047,10004.7998047
1,19400,13019.4003906,10004.9140625
1,19500,13019.5,10005.0058594
1,19600,13019.5996094,10005.1230469
1,19700,13019.7001953,10004.734375
1,19800,13019.7998047,10004.3076172
1,19900,13019.9003906,10003.9287109
1,20000,13020,10003.6513672
1,20100,13020.0996094,10003.6572266
1,20200,13020.2001953,10004.2558594
1,20300,13020.2998047,10003.9072266
1,20400,13020.4003906,10003.4423828
1,20500,13020.5,10003.390625
1,20600,13020.5996094,10003.0976562
1,20700,13020.7001953,10002.4589844
1,20800,13020.7998047,10002.7714844
1,20900,13020.9003906,10002.5947266
1,21000,13021,10002.1357422
1,21100,13021.0996094,10002.4833984
1,21200,13021.2001953,10002.4677734
1,21300,13021.2998047,10002.7871094
1,21400,13021.4003906,10002.9677734
1,21500,13021.5,10003.5888672
1,21600,13021.5996094,10003.4394531
1,21700,13021.7001953,10003.4257812
1,21800,13021.7998047,10003.5966797
1,21900,13021.9003906,10003.3935547
1,22000,13022,10003.1748047
1,22100,13022.0996094,10003.5039062
1,22200,13022.2001953,10003.2597656
1,22300,13022.2998047,10003.3544922
1,22400,13022.4003906,10003.4326172
1,22500,13022.5,10003.4296875
1,22600,13022.5996094,10003.1728516
1,22700,13022.7001953,10003.3554688
1,22800,13022.7998047,10003.4716797
1,22900,13022.9003906,10003.6972656
1,23000,13023,10003.4121094
1,23100,13023.0996094,10003.4082031
1,23200,13023.2001953,10003.7392578
1,23300,13023.2998047,10004.3085938
1,23400,13023.4003906,10004.015625
1,23500,13023.5,10003.8447266
1,23600,13023.5996094,10004.0175781
1,23700,13023.7001953,10003.7744141
1,23800,13023.7998047,10003.5371094
1,23900,13023.9003906,10004.1376953
1,24000,13024,10003.8994141
1,24100,13024.0996094,10003.9072266
1,24200,13024.2001953,10003.453125
1,24300,13024.2998047,10003.3710938
1,24400,13024.4003906,10003.2148438
1,24500,13024.5,10003.0351562
1,24600,13024.5996094,10002.8183594
1,24700,13024.7001953,10002.8066406
1,24800,13024.7998047,10002.9121094
1,24900,13024.9003906,10003.2763672
1,25000,13025,10003.7900391
1,25100,13025.0996094,10003.5908203
1,25200,13025.2001953,10003.3701172
1,25300,13025.2998047,10003.0400391
1,25400,13025.4003906,10002.3623047
1,25500,13025.5,10002.1835938
1,25600,13025.5996094,10002.0019531
1,25700,13025.7001953,10001.5263672
1,25800,13025.7998047,10001.6503906
1,25900,13025.9003906,10001.3496094
1,26000,13026,10001.5029297
1,26100,13026.0996094,10000.8144531
1,26200,13026.2001953,10001.0107422
1,26300,13026.2998047,10001.0478516
1,26400,13026.4003906,10000.8066406
1,26500,13026.5,10000.8027344
1,26600,13026.5996094,10000.8779297
1,26700,13026.7001953,10001.4306641
1,26800,13026.7998047,10000.8212891
1,26900,13026.9003906,10000.2792969
1,27000,13027,10000.5957031
1,27100,13027.0996094,10000.8544922
1,27200,13027.2001953,10000.1601562
1,27300,13027.2998047,9999.54199219
1,27400,13027.4003906,9999.72070312
1,27500,13027.5,9999.34570312
1,27600,13027.5996094,9999.58496094
1,27700,13027.7001953,9999.66699219
1,27800,13027.7998047,9999.87988281
1,27900,13027.9003906,9999.75097656
1,28000,13028,9999.91992188
1,28100,13028.0996094,10000.1982422
1,28200,13028.2001953,10000.0810547
1,28300,13028.2998047,9999.87011719
1,28400,13028.4003906,9999.75390625
1,28500,13028.5,9999.52441406
1,28600,13028.5996094,9999.20898438
1,28700,13028.7001953,9999.19824219
1,28800,13028.7998047,9998.82421875
1,28900,13028.9003906,9998.87890625
1,29000,13029,9999.08984375
1,29100,13029.0996094,9999.12792969
1,29200,13029.2001953,9998.95019531
1,29300,13029.2998047,9998.66113281
1,29400,13029.4003906,9999.02050781
1,29500,13029.5,9998.98828125
1,29600,13029.5996094,9998.71875
1,29700,13029.7001953,9998.98242188
1,29800,13029.7998047,9999.04980469
1,29900,13029.9003906,9999.21289062
1,30000,13030,9999.14746094
1,30100,13030.0996094,9999.36132812
1,30200,13030.2001953,9999.52246094
1,30300,13030.2998047,9999.82421875
1,30400,13030.4003906,10000.1015625
1,30500,13030.5,9999.80761719
1,30600,13030.5996094,9999.84960938
1,30700,13030.7001953,10000.3457031
1,30800,13030.7998047,10000.6826172
1,30900,13030.9003906,10000.4453125
1,31000,13031,10000.46875
1,31100,13031.0996094,10000.8837891
1,31200,13031.2001953,10000.4824219
1,31300,13031.2998047,10000.6025391
1,31400,13031.4003906,10000.3027344
1,31500,13031.5,10000.1064453
1,31600,13031.5996094,9999.68066406
1,31700,13031.7001953,9999.58007812
1,31800,13031.7998047,9999.21386719
1,31900,13031.9003906,9999.39746094
1,32000,13032,9999.57714844
1,32100,13032.0996094,9999.63671875
1,32200,13032.2001953,9999.92871094
1,32300,13032.2998047,10000.3974609
1,32400,13032.4003906,10000.6269531
1,32500,13032.5,10000.5869141
1,32600,13032.5996094,10000.7783203
1,32700,13032.7001953,10000.6416016
1,32800,13032.7998047,10000.4326172
1,32900,13032.9003906,9999.96679688
1,33000,13033,10000.0869141
1,33100,13033.0996094,10000.1240234
1,33200,13033.2001953,10000.3691406
1,33300,13033.2998047,10001.4160156
1,33400,13033.4003906,10001.2519531
1,33500,13033.5,10000.8320312
1,33600,13033.5996094,10001.4931641
1,33700,13033.7001953,10002.1748047
1,33800,13033.7998047,10002.4033203
1,33900,13033.9003906,10002.0800781
1,34000,13034,10001.90625
1,34100,13034.0996094,10001.9394531
1,34200,13034.2001953,10001.7451172
1,34300,13034.2998047,10001.5380859
1,34400,13034.4003906,10001.796875
1,34500,13034.5,10001.5537109
1,34600,13034.5996094,10001.1054688
1,34700,13034.7001953,10001.375
1,34800,13034.7998047,10002.0439453
1,34900,13034.9003906,10001.7324219
1,35000,13035,10002.0078125
1,35100,13035.0996094,10001.9394531
1,35200,13035.2001953,10002.0371094
1,35300,13035.2998047,10002.2333984
1,35400,13035.4003906,10002.8310547
1,35500,13035.5,10002.4414062
1,35600,13035.5996094,10002.4570312
1,35700,13035.7001953,10002.3828125
1,35800,13035.7998047,10002.5527344
1,35900,13035.9003906,10002.2675781
1,36000,13036,10002.4335938
1,36100,13036.0996094,10002.4394531
1,36200,13036.2001953,10002.1914062
1,36300,13036.2998047,10002.2050781
1,36400,13036.4003906,10002.2636719
1,36500,13036.5,10002.3652344
1,36600,13036.5996094,10001.3662109
1,36700,13036.7001953,10001.1455078
1,36800,13036.7998047,10001.5742188
1,36900,13036.9003906,10002.2216797
1,37000,13037,10002.7304688
1,37100,13037.0996094,10002.09375
1,37200,13037.2001953,10002.3134766
1,37300,13037.2998047,10001.5341797
1,37400,13037.4003906,10000.9277344
1,37500,13037.5,10000.8037109
1,37600,13037.5996094,10000.6933594
1,37700,13037.7001953,10000.8105469
1,37800,13037.7998047,10000.53125
1,37900,13037.9003906,10000.3339844
1,38000,13038,10000.0390625
1,38100,13038.0996094,10000.1767578
1,38200,13038.2001953,10000.4228516
1,38300,13038.2998047,10000.0322266
1,38400,13038.4003906,10000.4980469
1,38500,13038.5,10000.3183594
1,38600,13038.5996094,10000.4384766
1,38700,13038.7001953,10000.7412109
1,38800,13038.7998047,9999.91601562
1,38900,13038.9003906,10000.0214844
1,39000,13039,10000.2148438
1,39100,13039.0996094,10000.1425781
1,39200,13039.2001953,9999.67285156
1,39300,13039.2998047,9999.51464844
1,39400,13039.4003906,9999.41210938
1,39500,13039.5,9999.42285156
1,39600,13039.5996094,9999.59667969
1,39700,13039.7001953,9999.37109375
1,39800,13039.7998047,9999.36816406
1,39900,13039.9003906,9999.51074219
1,40000,13040,9999.48339844
1,40100,13040.0996094,9999.94140625
1,40200,13040.2001953,10000.1728516
1,40300,13040.2998047,10000.5283203
1,40400,13040.4003906,10000.375
1,40500,13040.5,10000.1660156
1,40600,13040.5996094,10000.0644531
1,40700,13040.7001953,10000.2255859
1,40800,13040.7998047,10000.7285156
1,40900,13040.9003906,10000.6220703
1,41000,13041,10000.8164062
1,41100,13041.0996094,10000.6855469
1,41200,13041.2001953,10001
1,41300,13041.2998047,10001.1425781
1,41400,13041.4003906,10001.0878906
1,41500,13041.5,10001.0966797
1,41600,13041.5996094,10001.4316406
1,41700,13041.7001953,10001.7050781
1,41800,13041.7998047,10001.6386719
1,41900,13041.9003906,10002.0429688
1,42000,13042,10001.3896484
1,42100,13042.0996094,10001.7617188
1,42200,13042.2001953,10001.6455078
1,42300,13042.2998047,10001.7089844
1,42400,13042.4003906,10002.0537109
1,42500,13042.5,10001.7402344
1,42600,13042.5996094,10002.0283203
1,42700,13042.7001953,10001.8632812
1,42800,13042.7998047,10001.5224609
1,42900,13042.9003906,10001.1308594
1,43000,13043,10001.0195312
1,43100,13043.0996094,10001.1728516
1,43200,13043.2001953,10001.0039062
