role,name,symbol,spr_regime,n,n_u20,mean_u20,p_u20_vs0,t_u20,mean_sym20,p_sym20_vs0
aggr_sell,Mark 55,VELVETFRUIT_EXTRACT,mid,287,287,-0.34146341463414637,0.1517373122787219,-1.4372598015632718,-0.34146341463414637,0.1517373122787219
aggr_buy,Mark 55,VELVETFRUIT_EXTRACT,mid,266,266,0.12406015037593984,0.6080277838735384,0.513502409079912,0.12406015037593984,0.6080277838735384
aggr_buy,Mark 55,VELVETFRUIT_EXTRACT,wide,222,222,0.7567567567567568,0.008675101928479213,2.6482176886181064,0.7567567567567568,0.008675101928479213
aggr_buy,Mark 38,HYDROGEL_PACK,mid,214,214,-0.5747663551401869,0.0302949731264724,-2.180779417828872,0.24532710280373832,0.6707416434863415
aggr_sell,Mark 38,HYDROGEL_PACK,mid,193,193,0.06994818652849741,0.8221809351910592,0.22504843686033307,0.19430051813471502,0.7580975718484096
aggr_sell,Mark 55,VELVETFRUIT_EXTRACT,wide,192,192,0.28125,0.3610698544812734,0.915526234856287,0.28125,0.3610698544812734
aggr_buy,Mark 67,VELVETFRUIT_EXTRACT,tight,164,164,1.8140243902439024,2.4905206350673142e-08,5.86010068131766,1.8140243902439024,2.4905206350673142e-08
aggr_sell,Mark 38,HYDROGEL_PACK,tight,160,160,-0.509375,0.1825516137225462,-1.3387851598592821,-0.596875,0.4047310010867647
aggr_sell,Mark 38,HYDROGEL_PACK,wide,154,154,0.08116883116883117,0.820628789140218,0.22712622761833265,0.711038961038961,0.2905634628866499
aggr_buy,Mark 38,HYDROGEL_PACK,wide,153,153,-0.0915032679738562,0.8133863379757154,-0.23647001378215912,-0.5392156862745098,0.46896281541616813
aggr_buy,Mark 38,HYDROGEL_PACK,tight,148,148,0.125,0.687875352777399,0.40253464530879346,-0.9358108108108109,0.15601366106158698
aggr_sell,Mark 22,VEV_6000,mid,125,125,0.536,0.18492991837377992,1.3331401511081975,0.0,
aggr_sell,Mark 22,VEV_6500,mid,125,125,0.536,0.18492991837377992,1.3331401511081975,0.0,
aggr_sell,Mark 22,VEV_5500,mid,122,122,0.6516393442622951,0.1238465731112572,1.5496108624967653,0.036885245901639344,0.3678681670529479
aggr_sell,Mark 55,VELVETFRUIT_EXTRACT,tight,121,121,-0.16115702479338842,0.692281739567205,-0.39671571606654504,-0.16115702479338842,0.692281739567205
aggr_buy,Mark 55,VELVETFRUIT_EXTRACT,tight,110,110,0.39545454545454545,0.27274089728822365,1.1023423276376831,0.39545454545454545,0.27274089728822365
aggr_sell,Mark 22,VEV_5400,mid,109,109,0.6330275229357798,0.15812143485735658,1.4212628942233627,0.04128440366972477,0.5473502628207688
aggr_sell,Mark 22,VEV_6000,wide,96,96,0.11979166666666667,0.8067926177219553,0.24524903951812332,0.0,
aggr_sell,Mark 22,VEV_6500,wide,96,96,0.11979166666666667,0.8067926177219553,0.24524903951812332,0.0,
aggr_sell,Mark 22,VEV_6000,tight,96,96,0.109375,0.811236802480138,0.23949620387162474,0.0,
aggr_sell,Mark 22,VEV_6500,tight,96,96,0.109375,0.811236802480138,0.23949620387162474,0.0,
aggr_sell,Mark 22,VEV_5500,tight,92,92,0.1793478260869565,0.698240578772986,0.38892446027932953,-0.02717391304347826,0.5316659167303456
aggr_sell,Mark 22,VEV_5500,wide,92,92,0.059782608695652176,0.9001084308260063,0.12587516093693266,0.02717391304347826,0.5031669451187021
aggr_sell,Mark 38,VEV_4000,mid,90,90,-0.18333333333333332,0.6893768879568734,-0.4010059175899432,-0.14444444444444443,0.7537707725667334
aggr_buy,Mark 38,VEV_4000,mid,86,86,0.48255813953488375,0.1612219515141396,1.4132906806403709,0.45348837209302323,0.21524756040802148
aggr_sell,Mark 22,VEV_5400,tight,84,84,0.18452380952380953,0.708434470367754,0.3752463696803256,0.02976190476190476,0.7505047945391161
aggr_sell,Mark 22,VEV_5400,wide,82,82,0.07926829268292683,0.8805079132230172,0.15080062003384867,-0.018292682926829267,0.8415006364024818
aggr_sell,Mark 38,VEV_4000,wide,79,79,-0.35443037974683544,0.4980741807847938,-0.6807045831057332,-0.35443037974683544,0.5111438004008642
aggr_buy,Mark 38,VEV_4000,tight,69,69,0.07246376811594203,0.8825126876335392,0.1483409863016418,-0.21014492753623187,0.6928364440043003
aggr_sell,Mark 38,VEV_4000,tight,64,64,0.03125,0.954348249390471,0.05747560370484534,0.0078125,0.9884011717637364
aggr_sell,Mark 22,VEV_5300,mid,63,63,0.1984126984126984,0.7144027800342398,0.36762782441848973,-0.12698412698412698,0.5093430408939549
aggr_buy,Mark 38,VEV_4000,wide,54,52,0.3173076923076923,0.6463788738422733,0.46153292972085713,0.5673076923076923,0.403646348484486
aggr_sell,Mark 22,VEV_5300,wide,49,49,0.19387755102040816,0.8154365716267924,0.2347043240919484,-0.10204081632653061,0.7239166105445897
aggr_sell,Mark 22,VEV_5300,tight,48,48,-0.28125,0.6254159291009885,-0.49142091218224726,-0.20833333333333334,0.30729681981733536
