buyer,seller,symbol,spr_regime,n,mean_resid,std_resid,mean_u20
Mark 01,Mark 22,VEV_5300,wide,41,2.166288828536891e-17,6.199772551271538,0.45121951219512196
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,tight,37,0.0,5.092421082970513,-0.2702702702702703
Mark 38,Mark 14,VEV_4000,wide,52,3.416070845000482e-17,5.054902080091531,0.3173076923076923
Mark 01,Mark 22,VEV_6500,wide,96,-3.382710778154774e-17,4.836180887348687,0.11979166666666667
Mark 01,Mark 22,VEV_6000,wide,96,-3.382710778154774e-17,4.836180887348687,0.11979166666666667
Mark 01,Mark 22,VEV_5400,wide,82,-4.535667234749115e-17,4.818724939279812,0.07926829268292683
Mark 38,Mark 14,HYDROGEL_PACK,wide,153,0.0,4.8178590080155335,-0.0915032679738562
Mark 14,Mark 38,HYDROGEL_PACK,tight,149,1.8627903097737527e-17,4.812987704569273,-0.5805369127516778
Mark 14,Mark 38,VEV_4000,wide,79,-4.4971059225322796e-17,4.687251963014536,-0.35443037974683544
Mark 01,Mark 22,VEV_5500,mid,119,-4.47821051949643e-17,4.684441380597812,0.6932773109243697
Mark 01,Mark 22,VEV_5500,wide,91,-6.4051328343759035e-18,4.62629450241176,0.08241758241758242
Mark 01,Mark 22,VEV_5400,mid,105,-4.229421046191072e-17,4.622132554363635,0.6952380952380952
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,mid,75,7.401486830834377e-18,4.599523228775724,-0.6266666666666667
Mark 01,Mark 22,VEV_6500,mid,125,0.0,4.531399114700566,0.536
Mark 01,Mark 22,VEV_6000,mid,125,0.0,4.531399114700566,0.536
Mark 01,Mark 22,VEV_6500,tight,96,-1.850371707708594e-17,4.521709696560354,0.109375
Mark 01,Mark 22,VEV_6000,tight,96,-1.850371707708594e-17,4.521709696560354,0.109375
Mark 01,Mark 22,VEV_5400,tight,76,-4.674623261579606e-17,4.5168327152749175,0.2894736842105263
Mark 01,Mark 22,VEV_5500,tight,89,-5.738231363231147e-17,4.489059537798879,0.056179775280898875
Mark 14,Mark 38,HYDROGEL_PACK,wide,154,1.4706850456073502e-16,4.463871198897202,0.08116883116883117
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,wide,82,-1.0831444142684454e-17,4.451338875112693,0.926829268292683
Mark 01,Mark 22,VEV_5300,mid,57,3.1164155077197375e-17,4.394969198901514,0.41228070175438597
Mark 14,Mark 38,VEV_4000,tight,63,2.819614030794048e-17,4.387167548550745,-0.06349206349206349
Mark 14,Mark 38,VEV_4000,mid,90,6.1679056923619804e-18,4.38595741673505,-0.18333333333333332
Mark 14,Mark 38,HYDROGEL_PACK,mid,193,2.99127447049265e-17,4.340454355674585,0.06994818652849741
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,tight,60,5.181040781584064e-17,4.325530464561885,-0.325
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,wide,126,5.639228061588096e-17,4.314774172537886,-0.24206349206349206
Mark 67,Mark 22,VELVETFRUIT_EXTRACT,tight,75,9.473903143468003e-17,4.27722997590218,2.026666666666667
Mark 01,Mark 55,VELVETFRUIT_EXTRACT,mid,97,-4.1204153491242925e-17,4.260475164507729,0.4329896907216495
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,wide,140,5.313210189277535e-17,4.2168957318744145,0.6571428571428571
Mark 22,Mark 55,VELVETFRUIT_EXTRACT,tight,18,-9.868649107779169e-17,4.142694456763683,0.5277777777777778
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,wide,66,-4.0371746350005693e-17,4.119825840033479,1.2803030303030303
Mark 38,Mark 14,VEV_4000,tight,67,5.3025577295529864e-17,4.065338151782448,0.08955223880597014
Mark 14,Mark 55,VELVETFRUIT_EXTRACT,mid,190,1.636118141552862e-17,3.8957696022948753,-0.7368421052631579
Mark 38,Mark 14,HYDROGEL_PACK,mid,214,-3.5278114801173196e-17,3.8736524719710204,-0.5747663551401869
Mark 38,Mark 14,HYDROGEL_PACK,tight,140,1.586032892321652e-17,3.8186954821422248,0.21785714285714286
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,tight,58,-3.062684205862501e-17,3.8138037307688704,0.5948275862068966
Mark 67,Mark 49,VELVETFRUIT_EXTRACT,tight,89,0.0,3.792432846930661,1.6348314606741574
Mark 55,Mark 14,VELVETFRUIT_EXTRACT,mid,191,3.720119035393195e-17,3.6693679054018515,0.418848167539267
Mark 01,Mark 22,VEV_5300,tight,34,6.530723674265627e-17,3.616376429384105,-1.0735294117647058
Mark 55,Mark 01,VELVETFRUIT_EXTRACT,tight,29,6.125368411725002e-17,3.3417982744320587,-1.5
Mark 38,Mark 14,VEV_4000,mid,86,-6.132045775545923e-17,3.203663560302869,0.48255813953488375
