r2_submission.py  vs  273774.zip
==============================================================================================================
Combined py: /Users/pattenlane/ProsperityRepo/round2work/r2_submission.py
Zip:         /Users/pattenlane/ProsperityRepo/R1submissionlogs/273774.zip
Data:        /Users/pattenlane/ProsperityRepo/Prosperity4Data
Matching:    worse

section      label                      comb_pep    comb_os   comb_tot       zip_pep     zip_os    zip_tot      d_pep      d_os     d_tot
-----------------------------------------------------------------------------------------------------------------------------------------
historical   R1 day -2                 83,008.00  17,702.00 100,710.00     83,008.00  17,702.00 100,710.00       0.00      0.00      0.00
historical   R1 day -1                 82,400.00  19,066.00 101,466.00     82,400.00  19,066.00 101,466.00       0.00      0.00      0.00
historical   R1 day 0                  83,027.00  18,232.00 101,259.00     83,027.00  18,232.00 101,259.00       0.00      0.00      0.00
historical   R1 day 19                  7,438.50   2,951.00  10,389.50      7,438.50   2,951.00  10,389.50       0.00      0.00      0.00
historical   R1 day 119                78,844.00   3,510.00  82,354.00     78,844.00   3,510.00  82,354.00       0.00      0.00      0.00
historical   R2 day -1                 82,417.50  19,571.00 101,988.50     82,417.50  19,571.00 101,988.50       0.00      0.00      0.00
historical   R2 day 0                  83,092.00  20,773.00 103,865.00     83,092.00  20,773.00 103,865.00       0.00      0.00      0.00
historical   R2 day 1                  83,912.00  19,695.00 103,607.00     83,912.00  19,695.00 103,607.00       0.00      0.00      0.00
day29        day 29 logs/278346         7,633.00   1,828.00   9,461.00      7,633.00   1,828.00   9,461.00       0.00      0.00      0.00
day29        day 29 logs/278388         7,667.50   1,672.00   9,339.50      7,667.50   1,672.00   9,339.50       0.00      0.00      0.00
day29        day 29 logs/278483         7,919.00   1,522.50   9,441.50      7,919.00   1,522.50   9,441.50       0.00      0.00      0.00
day29        day 29 logs/278621         7,733.00   1,705.00   9,438.00      7,733.00   1,705.00   9,438.00       0.00      0.00      0.00
day29        day 29 logs/278671         7,714.00   1,796.00   9,510.00      7,714.00   1,796.00   9,510.00       0.00      0.00      0.00
day29        day 29 logs/278731         7,537.00   1,717.00   9,254.00      7,537.00   1,717.00   9,254.00       0.00      0.00      0.00
day29        day 29 logs/278826         7,739.50   1,685.00   9,424.50      7,739.50   1,685.00   9,424.50       0.00      0.00      0.00
day29        day 29 logs/278895         7,685.00   1,625.00   9,310.00      7,685.00   1,625.00   9,310.00       0.00      0.00      0.00
day29        day 29 logs/279070         7,483.00   1,487.00   8,970.00      7,483.00   1,487.00   8,970.00       0.00      0.00      0.00
day29        day 29 logs/279156         7,760.00   1,691.00   9,451.00      7,760.00   1,691.00   9,451.00       0.00      0.00      0.00
day29        day 29 logs/279510         7,729.00   1,638.00   9,367.00      7,729.00   1,638.00   9,367.00       0.00      0.00      0.00
day29        day 29 logs/279610         7,534.00   1,718.00   9,252.00      7,534.00   1,718.00   9,252.00       0.00      0.00      0.00
day29        day 29 logs/279880         7,591.00   1,790.00   9,381.00      7,591.00   1,790.00   9,381.00       0.00      0.00      0.00
day29        day 29 logs/280847         7,836.00   1,908.00   9,744.00      7,836.00   1,908.00   9,744.00       0.00      0.00      0.00
day29        day 29 logs/281064         7,780.00   1,734.00   9,514.00      7,780.00   1,734.00   9,514.00       0.00      0.00      0.00
day29        extra/331738               7,681.00   1,678.00   9,359.00      7,681.00   1,678.00   9,359.00       0.00      0.00      0.00
day29        extra/331831               7,729.00   1,683.00   9,412.00      7,729.00   1,683.00   9,412.00       0.00      0.00      0.00
day29        extra/331896               7,572.00   1,728.00   9,300.00      7,572.00   1,728.00   9,300.00       0.00      0.00      0.00
day29        combined/ALL               8,024.00   4,142.00  12,166.00      8,024.00   4,142.00  12,166.00       0.00      0.00      0.00
-----------------------------------------------------------------------------------------------------------------------------------------

RESULT: No differences (within float tolerance) on any row — treat as identical under this backtester.
