day,joint_tight,symbol,mean,count
1,True,VEV_5300,-0.28125,32
1,True,VEV_5400,0.013157894736842105,76
1,True,VEV_5500,-0.02247191011235955,89
1,True,VEV_6000,0.0,98
1,True,VEV_6500,0.0,98
2,True,VEV_5300,-0.04838709677419355,31
2,True,VEV_5400,-0.02564102564102564,78
2,True,VEV_5500,-0.038461538461538464,91
2,True,VEV_6000,0.0,95
2,True,VEV_6500,0.0,95
3,False,VEV_5500,0.0,1
3,False,VEV_6000,0.0,1
3,False,VEV_6500,0.0,1
3,True,VEV_5200,-0.18181818181818182,11
3,True,VEV_5300,-0.13043478260869565,69
3,True,VEV_5400,-0.022935779816513763,109
3,True,VEV_5500,-0.00423728813559322,118
3,True,VEV_6000,0.0,123
3,True,VEV_6500,0.0,123
