day,timestamp,iv_proxy,iv_res,n_marks
1,0,0.009628217349857006,0.0006766889239928024,1.0
1,100,0.009722619388046897,0.0007710909621826932,1.0
1,200,0.009530162965786714,0.000578634539922511,1.0
1,300,0.009528346831824679,0.0005768184059604751,1.0
1,400,0.009528346831824679,0.0005768184059604751,1.0
1,500,0.009433063363506432,0.0004815349376422282,1.0
1,600,0.009818875119161106,0.0008673466932969023,1.0
1,700,0.009531979792202841,0.0005804513663386374,1.0
1,800,0.00962729959012487,0.0006757711642606662,1.0
1,900,0.009531979792202841,0.0005804513663386374,1.0
1,1000,0.009433962264150943,0.0004824338382867395,1.0
1,1100,0.009433063363506432,0.0004815349376422282,1.0
1,1200,0.009336000762122511,0.00038447233625830794,1.0
1,1300,0.00933422230688637,0.0003826938810221666,1.0
1,1400,0.009236335936012188,0.0002848075101479844,1.0
1,1500,0.009332444529092467,0.000380916103228263,1.0
1,1600,0.009141986477478336,0.00019045805161413236,1.0
1,1700,0.009140245644101685,0.0001887172182374816,1.0
1,1800,0.009332444529092467,0.000380916103228263,1.0
1,1900,0.009332444529092467,0.000380916103228263,1.0
1,2000,0.008949823859849567,-1.704566014636144e-06,1.0
1,2100,0.009238095238095238,0.0002865668122310344,1.0
1,2200,0.009336000762122511,0.00038447233625830794,1.0
1,2300,0.00933422230688637,0.0003826938810221666,1.0
1,2400,0.009141986477478336,0.00019045805161413236,1.0
1,2500,0.009140245644101685,0.0001887172182374816,1.0
1,2600,0.009430367689083634,0.00047883926321943063,1.0
1,2700,0.00952653138992093,0.0005750029640567266,1.0
1,2800,0.009336000762122511,0.00038447233625830794,1.0
1,2900,0.00933422230688637,0.0003826938810221666,1.0
1,3000,0.009238095238095238,0.0002865668122310344,1.0
1,3100,0.009140245644101685,0.0001887172182374816,1.0
1,3200,0.009042451932229202,9.092350636499824e-05,1.0
1,3300,0.009040730871716788,8.920244585258405e-05,1.0
1,3400,0.009136765965546778,0.00018523753968257423,1.0
1,3500,0.009136765965546778,0.00018523753968257423,1.0
1,3600,0.008946416674597887,-5.111751266316869e-06,1.0
1,3700,0.009044173648134044,9.264522226984026e-05,1.0
1,3800,0.009140245644101685,0.0001887172182374816,1.0
1,3900,0.009140245644101685,0.0001887172182374816,1.0
1,4000,0.009138505473584007,0.00018697704771980343,1.0
1,4100,0.009234577303884235,0.00028304887802003097,1.0
1,4200,0.009138505473584007,0.00018697704771980343,1.0
1,4300,0.009138505473584007,0.00018697704771980343,1.0
1,4400,0.00894471405461985,-6.814371244353787e-06,1.0
1,4500,0.008754400989627938,-0.00019712743623626593,2.0
1,4600,0.009136765965546778,0.00018523753968257423,1.0
1,4700,0.009042451932229202,9.092350636499824e-05,1.0
1,4800,0.009140245644101685,0.0001887172182374816,1.0
1,4900,0.009138505473584007,0.00018697704771980343,1.0
1,5000,0.009044173648134044,9.264522226984026e-05,1.0
1,5100,0.009234577303884235,0.00028304887802003097,2.0
1,5200,0.009330667428353803,0.00037913900248959936,1.0
1,5300,0.009136765965546778,0.00018523753968257423,2.0
1,5400,0.009040730871716788,8.920244585258405e-05,1.0
1,5500,0.00894471405461985,-6.814371244353787e-06,1.0
1,5600,0.009042451932229202,9.092350636499824e-05,1.0
1,5700,0.009044173648134044,9.264522226984026e-05,1.0
1,5800,0.008946416674597887,-5.111751266316869e-06,1.0
1,5900,0.009136765965546778,0.00018523753968257423,1.0
1,6000,0.009136765965546778,0.00018523753968257423,1.0
1,6100,0.009138505473584007,0.00018697704771980343,2.0
1,6200,0.009138505473584007,0.00018697704771980343,2.0
1,6300,0.009138505473584007,0.00018697704771980343,1.0
1,6400,0.009044173648134044,9.264522226984026e-05,1.0
1,6500,0.009332444529092467,0.000380916103228263,1.0
1,6600,0.009332444529092467,0.000380916103228263,1.0
1,6700,0.009238095238095238,0.0002865668122310344,1.0
