symbol,near_m01_m22_burst,n,mean,std
HYDROGEL_PACK,False,900,-0.06555555555555556,4.3547031614421075
HYDROGEL_PACK,True,122,0.028688524590163935,4.452364577607425
VELVETFRUIT_EXTRACT,False,1222,0.37561374795417346,2.246043621341151
VELVETFRUIT_EXTRACT,True,159,0.031446540880503145,2.296589060323473
VEV_4000,False,401,0.03366583541147132,2.0909301227097155
VEV_4000,True,41,-0.4024390243902439,3.391569533776217
VEV_4500,False,1,2.5,
VEV_4500,True,2,1.75,2.4748737341529163
VEV_5000,False,1,0.5,
VEV_5000,True,2,1.75,1.0606601717798212
VEV_5100,False,1,0.0,
VEV_5100,True,2,1.5,1.4142135623730951
VEV_5200,False,1,0.0,
VEV_5200,True,46,-0.16304347826086957,1.0384515600219768
VEV_5300,False,2,0.0,0.7071067811865476
VEV_5300,True,162,-0.19135802469135801,0.7784676029934448
VEV_5400,False,6,0.0,0.31622776601683794
VEV_5400,True,270,-0.03148148148148148,0.3903216070176749
VEV_5500,False,17,-0.058823529411764705,0.24253562503633297
VEV_5500,True,289,-0.02422145328719723,0.23812381398793028
VEV_6000,False,23,0.0,0.0
VEV_6000,True,294,0.0,0.0
VEV_6500,False,23,0.0,0.0
VEV_6500,True,294,0.0,0.0
