party,role,aggressor,symbol,K,count,mean,std,median,t_like
Mark 01,buyer,sell_aggr,VELVETFRUIT_EXTRACT,5,260,0.2903846153846154,2.215970430313759,0.25,2.112984526623661
Mark 01,buyer,sell_aggr,VELVETFRUIT_EXTRACT,20,260,0.0057692307692307696,4.353688067845444,-0.5,0.021367183291934513
Mark 01,buyer,sell_aggr,VELVETFRUIT_EXTRACT,100,260,-0.6346153846153846,9.198012304483528,-1.0,-1.1125083621168668
Mark 01,buyer,sell_aggr,VEV_5200,5,11,-0.18181818181818182,1.1241158141563368,0.0,
Mark 01,buyer,sell_aggr,VEV_5200,20,11,0.8636363636363636,3.384456448906598,0.5,
Mark 01,buyer,sell_aggr,VEV_5200,100,11,2.772727272727273,5.680508940067062,3.0,
Mark 01,buyer,sell_aggr,VEV_5300,5,132,-0.14772727272727273,0.7406893744880699,0.0,-2.291456046220175
Mark 01,buyer,sell_aggr,VEV_5300,20,132,-0.12121212121212122,1.6567249170711233,0.0,-0.8405868912129966
Mark 01,buyer,sell_aggr,VEV_5300,100,131,0.026717557251908396,3.2399625930290976,0.0,0.09438270074111832
Mark 01,buyer,sell_aggr,VEV_5400,5,263,-0.013307984790874524,0.37934969492919063,0.0,-0.5689189907571458
Mark 01,buyer,sell_aggr,VEV_5400,20,263,0.039923954372623575,0.7749188543558687,0.0,0.8355168197601162
Mark 01,buyer,sell_aggr,VEV_5400,100,260,0.0038461538461538464,1.4598833108366165,0.0,0.042481044090009426
Mark 01,buyer,sell_aggr,VEV_5500,5,299,-0.020066889632107024,0.22717700474281566,0.0,-1.5273947270594355
Mark 01,buyer,sell_aggr,VEV_5500,20,299,0.02508361204013378,0.4139427095759392,0.0,1.0478169778636754
Mark 01,buyer,sell_aggr,VEV_5500,100,297,-0.02356902356902357,0.7126630132036953,0.0,-0.5699484745170064
Mark 01,buyer,sell_aggr,VEV_6000,5,317,0.0,0.0,0.0,
Mark 01,buyer,sell_aggr,VEV_6000,20,317,0.0,0.0,0.0,
Mark 01,buyer,sell_aggr,VEV_6000,100,314,0.0,0.0,0.0,
Mark 01,buyer,sell_aggr,VEV_6500,5,317,0.0,0.0,0.0,
Mark 01,buyer,sell_aggr,VEV_6500,20,317,0.0,0.0,0.0,
Mark 01,buyer,sell_aggr,VEV_6500,100,314,0.0,0.0,0.0,
Mark 01,seller,buy_aggr,VELVETFRUIT_EXTRACT,5,244,-0.0020491803278688526,2.1137887263074204,0.0,-0.015143055493017218
Mark 01,seller,buy_aggr,VELVETFRUIT_EXTRACT,20,244,0.006147540983606557,4.2587314223764245,0.0,0.022548418865948383
Mark 01,seller,buy_aggr,VELVETFRUIT_EXTRACT,100,244,-0.17418032786885246,9.483003495330522,-0.5,-0.2869115992532625
Mark 14,buyer,mid_unknown,VEV_5300,5,2,0.25,1.0606601717798212,0.25,
Mark 14,buyer,mid_unknown,VEV_5300,20,2,0.25,0.3535533905932738,0.25,
Mark 14,buyer,mid_unknown,VEV_5300,100,2,-0.25,2.4748737341529163,-0.25,
Mark 14,buyer,mid_unknown,VEV_5400,5,1,0.0,,0.0,
Mark 14,buyer,mid_unknown,VEV_5400,20,1,0.5,,0.5,
Mark 14,buyer,mid_unknown,VEV_5400,100,1,0.5,,0.5,
Mark 14,buyer,sell_aggr,HYDROGEL_PACK,5,496,0.0715725806451613,4.516235397812962,0.0,0.3529481780891398
Mark 14,buyer,sell_aggr,HYDROGEL_PACK,20,496,0.23387096774193547,8.689639827914192,0.75,0.599398117978539
Mark 14,buyer,sell_aggr,HYDROGEL_PACK,100,494,0.8927125506072875,18.089355277940843,0.0,1.096862089968201
Mark 14,buyer,sell_aggr,VELVETFRUIT_EXTRACT,5,316,-0.03322784810126582,2.1032107787063246,0.0,-0.28084258314066324
