A,B,C,n_AB,n_BC,min_n
Mark 55,Mark 14,Mark 38,331,728,331
Mark 38,Mark 14,Mark 55,714,316,316
Mark 01,Mark 55,Mark 14,260,331,260
Mark 55,Mark 01,Mark 22,244,1339,244
Mark 14,Mark 55,Mark 01,316,244,244
Mark 38,Mark 14,Mark 22,714,83,83
Mark 55,Mark 14,Mark 22,331,83,83
Mark 14,Mark 38,Mark 22,728,19,19
Mark 14,Mark 22,Mark 55,83,18,18
Mark 01,Mark 22,Mark 55,1339,18,18
Mark 67,Mark 22,Mark 55,75,18,18
Mark 38,Mark 22,Mark 55,19,18,18
Mark 22,Mark 55,Mark 14,18,331,18
Mark 22,Mark 55,Mark 01,18,244,18
Mark 01,Mark 22,Mark 38,1339,17,17
Mark 14,Mark 22,Mark 38,83,17,17
Mark 22,Mark 38,Mark 14,17,714,17
Mark 67,Mark 22,Mark 38,75,17,17
Mark 55,Mark 22,Mark 38,14,17,14
Mark 14,Mark 55,Mark 22,316,14,14
Mark 01,Mark 55,Mark 22,260,14,14
Mark 49,Mark 22,Mark 55,12,18,12
Mark 67,Mark 49,Mark 22,89,12,12
Mark 49,Mark 22,Mark 38,12,17,12
Mark 01,Mark 55,Mark 49,260,9,9
Mark 14,Mark 55,Mark 49,316,9,9
Mark 22,Mark 55,Mark 49,18,9,9
Mark 55,Mark 49,Mark 22,9,12,9
Mark 14,Mark 22,Mark 49,83,7,7
Mark 01,Mark 22,Mark 49,1339,7,7
Mark 67,Mark 22,Mark 49,75,7,7
Mark 55,Mark 22,Mark 49,14,7,7
Mark 38,Mark 22,Mark 49,19,7,7
Mark 22,Mark 49,Mark 55,7,5,5
Mark 49,Mark 55,Mark 14,5,331,5
Mark 49,Mark 55,Mark 01,5,244,5
Mark 49,Mark 55,Mark 22,5,14,5
Mark 67,Mark 49,Mark 55,89,5,5
Mark 67,Mark 55,Mark 01,1,244,1
Mark 67,Mark 55,Mark 14,1,331,1
Mark 67,Mark 55,Mark 22,1,14,1
Mark 67,Mark 55,Mark 49,1,9,1
