day,voucher,mean,std,mean_abs_res
0,VEV_4000,-0.014259948456153035,0.008792905636584128,0.014266081730480683
0,VEV_4500,0.012303900986331662,0.019282233177577247,0.012303900986331662
0,VEV_5000,-0.00816013128292899,0.003693948742093579,0.00816013128292899
0,VEV_5100,0.005137549789770692,0.003491845063358067,0.005683809557350887
0,VEV_5200,0.00541551226228014,0.003190831534012271,0.005766166928908014
0,VEV_5300,0.005095205593146134,0.002181328981053184,0.005280951704658612
0,VEV_5400,-0.010673540276329226,0.005869645333273938,0.010740629128790601
0,VEV_5500,-0.003685803300199015,0.0033898128426279104,0.004144639868577896
0,VEV_6000,0.005898764338029744,0.0035482148862710805,0.005970658553621179
0,VEV_6500,-0.0015287608590352582,0.002220784377125165,0.0021569319523112736
1,VEV_4000,-0.012230446905881934,0.010946194923386164,0.012520903925158672
1,VEV_4500,0.0177118343060778,0.021951777383382606,0.017711834306077798
1,VEV_5000,-0.008326999969668333,0.006426515502042522,0.008326999969668332
1,VEV_5100,-0.0012944375919952894,0.0052959464906960066,0.003591883858159038
1,VEV_5200,0.009187185845609383,0.00362272784587422,0.009398005663874526
1,VEV_5300,0.010438545527121132,0.003948779724932876,0.01045184359959498
1,VEV_5400,-0.014575112244511695,0.003332903783705112,0.014575112244511695
1,VEV_5500,-0.0063997579374681195,0.004716373003498744,0.006785866568010453
1,VEV_6000,0.011009742573879521,0.005595661682663797,0.01103057672447422
1,VEV_6500,-0.003762916928207762,0.0030799910320388002,0.0038609901162295103
2,VEV_4000,-0.019092393661642122,0.013950477599521534,0.01961790201276837
2,VEV_4500,0.025927763829874835,0.02818295868257794,0.025927763829874835
2,VEV_5000,-0.005932965180889969,0.007807208835269819,0.007316463057606956
2,VEV_5100,-0.002527792237601279,0.006523401414543351,0.005130981975308153
2,VEV_5200,0.007197542869863045,0.004699761271117405,0.007849689328809103
2,VEV_5300,0.009431543437370498,0.003576305488928691,0.009575403142969808
2,VEV_5400,-0.016407437220582136,0.003748103739783371,0.01640743722058214
2,VEV_5500,-0.009183733514881672,0.005619714956642775,0.00953166981131304
2,VEV_6000,0.018833810700775982,0.007454249156341511,0.018843596971505304
2,VEV_6500,-0.006741022569884581,0.004932354251932822,0.007077488070453071
