day,strike,beta_dv_ds,r2,shock_spread_pre,shock_spread_post,shock_spread_delta
0,4000,0.7444740196753726,0.35427040476667965,20.787112561174553,20.76916802610114,-0.017944535073411316
0,4500,0.6598429866033906,0.3551862116474475,15.809951060358891,15.765905383360522,-0.04404567699836903
0,5000,0.6506629608666906,0.5692212174548814,6.015497553017944,5.987765089722675,-0.027732463295269127
0,5100,0.5606951705169018,0.5772182666605196,4.295269168026101,4.311582381729201,0.016313213703099905
0,5200,0.4299851007798897,0.5032341103540042,2.9168026101141926,2.930668841761827,0.013866231647634564
0,5300,0.2736466912156249,0.39089963818050155,2.16557911908646,2.1508972267536706,-0.014681892332789381
0,5400,0.13785866390145246,0.3130202262874375,1.4445350734094617,1.4265905383360522,-0.01794453507340954
0,5500,0.0638217077319781,0.14087360636959337,1.1818923327895596,1.1949429037520392,0.013050570962479524
0,6000,0.0,,1.0,1.0,0.0
0,6500,0.0,,1.0,1.0,0.0
1,4000,0.758206833061598,0.359359981536872,20.81804163454125,20.7710100231303,-0.04703161141094725
1,4500,0.6658889826687835,0.3557581847963772,15.834232845026985,15.813415574402468,-0.020817270624517548
1,5000,0.6520660513894077,0.5649494656096755,6.033924441017733,5.989976869699306,-0.043947571318427414
1,5100,0.5759604387438911,0.5901841119174855,4.2721665381649965,4.254433307633,-0.017733230531996824
1,5200,0.432058074251759,0.5062660860147732,2.878951426368543,2.87124132613724,-0.007710100231303141
1,5300,0.27103121053065776,0.3811027797165546,2.1010023130300692,2.1010023130300692,0.0
1,5400,0.1270121974192952,0.2876127737899266,1.3608326908249808,1.374710871241326,0.013878180416345254
1,5500,0.05426480524290155,0.1203735109714553,1.1464919043947572,1.141094834232845,-0.005397070161912154
1,6000,0.0,,1.0,1.0,0.0
1,6500,0.0,,1.0,1.0,0.0
2,4000,0.7325377729820722,0.3480385446085608,20.86360266864344,20.893995552260932,0.03039288361749115
2,4500,0.6596055681454455,0.3615736380060537,15.96515937731653,15.943661971830986,-0.021497405485543908
2,5000,0.65773347469525,0.5698151438398998,6.1082283172720535,6.140103780578206,0.031875463306152874
2,5100,0.594821329860277,0.5900331333315341,4.300963676797628,4.275018532246108,-0.025945144551520194
2,5200,0.4477041889748164,0.5342764443020962,2.8576723498888064,2.8739807264640476,0.0163083765752412
2,5300,0.2734070063590509,0.3874576739747733,2.0452186805040773,2.054855448480356,0.009636767976278549
2,5400,0.12200310143698495,0.2749844833847059,1.3320978502594514,1.3372868791697554,0.005189028910304039
2,5500,0.0467744308978122,0.10312483568326185,1.1237954040029652,1.133432171979244,0.00963676797627877
2,6000,0.0,,1.0,1.0,0.0
2,6500,0.0,,1.0,1.0,0.0
