passive_name,role,symbol,K,n,mean_fwd,median_fwd,t_stat,frac_pos,boot_ci95_mean_lo,boot_ci95_mean_hi
Mark 14,passive_buyer_after_aggr_sell,VEV_5300,5,28,-0.4642857142857143,0.0,-2.755421218226036,0.17857142857142858,-0.8035714285714286,-0.17857142857142858
Mark 14,passive_buyer_after_aggr_sell,VELVETFRUIT_EXTRACT,100,311,-1.2620578778135048,-2.0,-2.572083362790216,0.4115755627009646,-2.1836816720257235,-0.30381832797427677
Mark 01,passive_buyer_after_aggr_sell,VEV_5300,5,132,-0.14772727272727273,0.0,-2.2914560462557185,0.25,-0.2689393939393939,-0.01893939393939394
Mark 01,passive_buyer_after_aggr_sell,VELVETFRUIT_EXTRACT,5,260,0.2903846153846154,0.25,2.112984526639036,0.5,0.034567307692307696,0.5615865384615382
Mark 01,passive_buyer_after_aggr_sell,VEV_5500,5,299,-0.020066889632107024,0.0,-1.5273947271756931,0.056856187290969896,-0.046822742474916385,0.005016722408026756
Mark 14,passive_buyer_after_aggr_sell,VEV_5200,5,33,-0.24242424242424243,-0.5,-1.4250399015019133,0.3333333333333333,-0.5606060606060606,0.09090909090909091
Mark 14,passive_buyer_after_aggr_sell,VEV_5300,100,28,0.7142857142857143,0.75,1.2003201280569156,0.5357142857142857,-0.4290178571428571,1.8571428571428572
Mark 14,passive_buyer_after_aggr_sell,VEV_4000,5,232,-0.16379310344827586,0.0,-1.1197119741505643,0.4267241379310345,-0.45264008620689655,0.12505387931034453
Mark 01,passive_buyer_after_aggr_sell,VELVETFRUIT_EXTRACT,100,260,-0.6346153846153846,-1.0,-1.1125083621188172,0.4653846153846154,-1.848125,0.5118269230769215
Mark 14,passive_buyer_after_aggr_sell,HYDROGEL_PACK,100,494,0.8927125506072875,0.0,1.0968620899695485,0.49190283400809715,-0.6317560728744939,2.4913461538461514
Mark 01,passive_buyer_after_aggr_sell,VEV_5500,20,299,0.02508361204013378,0.0,1.0478169779074453,0.14381270903010032,-0.021739130434782608,0.07023411371237458
Mark 14,passive_buyer_after_aggr_sell,VELVETFRUIT_EXTRACT,20,316,-0.23734177215189872,0.0,-1.040850794089224,0.4177215189873418,-0.6867879746835442,0.20573575949367068
Mark 01,passive_buyer_after_aggr_sell,VEV_5300,20,132,-0.12121212121212122,0.0,-0.8405868912188258,0.3939393939393939,-0.40918560606060606,0.14772727272727273
Mark 01,passive_buyer_after_aggr_sell,VEV_5400,20,263,0.039923954372623575,0.0,0.835516819777602,0.30798479087452474,-0.051330798479087454,0.13498098859315588
Mark 14,passive_buyer_after_aggr_sell,VEV_5300,20,28,-0.25,-0.5,-0.8260208649387009,0.32142857142857145,-0.8214285714285714,0.35714285714285715
Mark 14,passive_buyer_after_aggr_sell,VEV_4000,20,232,-0.1788793103448276,0.0,-0.6090217622057494,0.44396551724137934,-0.7370689655172413,0.3879849137931031
Mark 14,passive_buyer_after_aggr_sell,HYDROGEL_PACK,20,496,0.23387096774193547,0.75,0.599398117980075,0.5040322580645161,-0.535483870967742,0.9789062499999996
Mark 01,passive_buyer_after_aggr_sell,VEV_5500,100,297,-0.02356902356902357,0.0,-0.5699484745307889,0.23905723905723905,-0.10273569023569024,0.05723905723905724
Mark 01,passive_buyer_after_aggr_sell,VEV_5400,5,263,-0.013307984790874524,0.0,-0.5689189907814671,0.17110266159695817,-0.058935361216730035,0.03231939163498099
Mark 14,passive_buyer_after_aggr_sell,HYDROGEL_PACK,5,496,0.0715725806451613,0.0,0.3529481780908806,0.46774193548387094,-0.3326612903225806,0.45272177419354787
Mark 14,passive_buyer_after_aggr_sell,VELVETFRUIT_EXTRACT,5,316,-0.03322784810126582,0.0,-0.2808425831430369,0.41455696202531644,-0.2500395569620253,0.1930775316455694
Mark 14,passive_buyer_after_aggr_sell,VEV_4000,100,231,-0.10606060606060606,-1.0,-0.1785914400965127,0.45021645021645024,-1.2684523809523809,1.045779220779219
Mark 01,passive_buyer_after_aggr_sell,VEV_5300,100,131,0.026717557251908396,0.0,0.09438270074145173,0.48854961832061067,-0.5306297709923664,0.6106870229007634
Mark 14,passive_buyer_after_aggr_sell,VEV_5200,100,33,-0.09090909090909091,0.5,-0.08208546896238408,0.5151515151515151,-2.1818181818181817,2.136742424242422
Mark 01,passive_buyer_after_aggr_sell,VEV_5400,100,260,0.0038461538461538464,0.0,0.042481044090478634,0.4153846153846154,-0.17504807692307692,0.17504807692307664
Mark 14,passive_buyer_after_aggr_sell,VEV_5200,20,33,0.015151515151515152,-0.5,0.02588739206762294,0.42424242424242425,-1.1515151515151516,1.1515151515151516
Mark 01,passive_buyer_after_aggr_sell,VELVETFRUIT_EXTRACT,20,260,0.0057692307692307696,-0.5,0.02136718329201365,0.45384615384615384,-0.5038942307692308,0.5078365384615376
Mark 01,passive_buyer_after_aggr_sell,VEV_6000,5,317,0.0,0.0,,0.0,0.0,0.0
Mark 01,passive_buyer_after_aggr_sell,VEV_6000,20,317,0.0,0.0,,0.0,0.0,0.0
Mark 01,passive_buyer_after_aggr_sell,VEV_6000,100,314,0.0,0.0,,0.0,0.0,0.0
Mark 01,passive_buyer_after_aggr_sell,VEV_6500,5,317,0.0,0.0,,0.0,0.0,0.0
Mark 01,passive_buyer_after_aggr_sell,VEV_6500,20,317,0.0,0.0,,0.0,0.0,0.0
Mark 01,passive_buyer_after_aggr_sell,VEV_6500,100,314,0.0,0.0,,0.0,0.0,0.0
