participant,role,symbol,K,n,mean_fwd,median_fwd,t_stat,boot_ci95_mean_lo,boot_ci95_mean_hi,frac_pos
Mark 22,U_aggr_buy,VELVETFRUIT_EXTRACT,5,6,2.6666666666666665,2.5,,,,0.8333333333333334
Mark 22,U_aggr_buy,VELVETFRUIT_EXTRACT,20,6,3.5,3.5,,,,0.8333333333333334
Mark 22,U_aggr_buy,VELVETFRUIT_EXTRACT,100,6,7.166666666666667,5.5,,,,0.5
Mark 22,U_aggr_sell,VEV_5400,5,275,-0.03090909090909091,0.0,-1.3172567025602886,-0.07459090909090908,0.014545454545454545,0.16363636363636364
Mark 22,U_aggr_sell,VEV_5400,20,275,0.02,0.0,0.41965834169991967,-0.07818181818181819,0.11636363636363636,0.3054545454545455
Mark 22,U_aggr_sell,VEV_5400,100,272,-0.04044117647058824,0.0,-0.4414725103316141,-0.22977941176470587,0.1380055147058816,0.41544117647058826
Mark 22,U_aggr_sell,VEV_5500,5,306,-0.026143790849673203,0.0,-1.9207508139484648,-0.05392156862745098,0.0,0.05555555555555555
Mark 22,U_aggr_sell,VEV_5500,20,306,0.014705882352941176,0.0,0.6103330614689869,-0.032679738562091505,0.058823529411764705,0.14052287581699346
Mark 22,U_aggr_sell,VEV_5500,100,304,-0.03618421052631579,0.0,-0.8817968548358787,-0.11842105263157894,0.04276315789473684,0.23355263157894737
Mark 22,U_aggr_sell,VEV_6000,5,317,0.0,0.0,,0.0,0.0,0.0
Mark 22,U_aggr_sell,VEV_6000,20,317,0.0,0.0,,0.0,0.0,0.0
Mark 22,U_aggr_sell,VEV_6000,100,314,0.0,0.0,,0.0,0.0,0.0
Mark 22,U_aggr_sell,VEV_6500,5,317,0.0,0.0,,0.0,0.0,0.0
Mark 22,U_aggr_sell,VEV_6500,20,317,0.0,0.0,,0.0,0.0,0.0
Mark 22,U_aggr_sell,VEV_6500,100,314,0.0,0.0,,0.0,0.0,0.0
Mark 22,U_aggr_sell,VEV_5300,5,160,-0.203125,0.0,-3.3127067443445664,-0.31875,-0.090625,0.2375
Mark 22,U_aggr_sell,VEV_5300,20,160,-0.14375,0.0,-1.1067249793822498,-0.3875,0.11875,0.38125
Mark 22,U_aggr_sell,VEV_5300,100,159,0.14779874213836477,0.0,0.5778864227270519,-0.34591194968553457,0.6698113207547169,0.4968553459119497
Mark 22,U_aggr_sell,VEV_5200,5,44,-0.22727272727272727,-0.5,-1.5035884171827123,-0.5454545454545454,0.056818181818181816,0.3181818181818182
Mark 22,U_aggr_sell,VEV_5200,20,44,0.22727272727272727,-0.25,0.45017565512115065,-0.7272727272727273,1.1821022727272712,0.4772727272727273
Mark 22,U_aggr_sell,VEV_5200,100,44,0.625,0.5,0.6621679449607971,-1.1136363636363635,2.522727272727273,0.5681818181818182
Mark 22,U_aggr_sell,VELVETFRUIT_EXTRACT,5,11,-2.3636363636363638,-2.5,,,,0.18181818181818182
Mark 22,U_aggr_sell,VELVETFRUIT_EXTRACT,20,11,-3.090909090909091,-6.0,,,,0.45454545454545453
Mark 22,U_aggr_sell,VELVETFRUIT_EXTRACT,100,10,-4.35,-5.25,,,,0.2
Mark 38,U_aggr_buy,HYDROGEL_PACK,5,515,-0.11941747572815534,0.0,-0.6418893189351539,-0.4797572815533981,0.22915048543689306,0.458252427184466
Mark 38,U_aggr_buy,HYDROGEL_PACK,20,515,-0.3271844660194175,0.0,-0.8696490053528438,-1.0679854368932038,0.37400485436893083,0.49514563106796117
Mark 38,U_aggr_buy,HYDROGEL_PACK,100,512,-0.548828125,0.0,-0.6767017673724867,-2.051806640625,1.0914062499999968,0.486328125
Mark 38,U_aggr_buy,VEV_4000,5,209,0.17464114832535885,0.0,1.1213823487176247,-0.12930622009569379,0.5047846889952153,0.4784688995215311
Mark 38,U_aggr_buy,VEV_4000,20,207,0.2608695652173913,0.0,0.9095315900201543,-0.29233091787439613,0.8260869565217391,0.48792270531400966
Mark 38,U_aggr_buy,VEV_4000,100,205,-0.25121951219512195,0.0,-0.4033999683051906,-1.434512195121951,0.9489024390243895,0.4878048780487805
Mark 38,U_aggr_buy,VEV_4500,5,2,3.0,3.0,,,,1.0
Mark 38,U_aggr_buy,VEV_4500,20,2,3.75,3.75,,,,0.5
Mark 38,U_aggr_buy,VEV_4500,100,2,13.5,13.5,,,,1.0
Mark 38,U_aggr_buy,VEV_5000,5,2,0.75,0.75,,,,1.0
Mark 38,U_aggr_buy,VEV_5000,20,2,1.5,1.5,,,,0.5
