passive_name,role,symbol,K,n,mean_fwd,median_fwd,t_stat,frac_pos,boot_ci95_mean_lo,boot_ci95_mean_hi
Mark 22,passive_seller_after_aggr_buy,VELVETFRUIT_EXTRACT,5,90,2.022222222222222,2.0,10.271773129152445,0.8666666666666667,1.6443055555555555,2.4
Mark 49,passive_seller_after_aggr_buy,VELVETFRUIT_EXTRACT,5,104,1.8461538461538463,2.0,9.782143046421124,0.7884615384615384,1.4759615384615385,2.201923076923077
Mark 49,passive_seller_after_aggr_buy,VELVETFRUIT_EXTRACT,20,104,1.8317307692307692,2.0,4.9525955625564935,0.6826923076923077,1.1200721153846154,2.6009615384615383
Mark 22,passive_seller_after_aggr_buy,VELVETFRUIT_EXTRACT,20,90,2.022222222222222,1.5,4.674667852598585,0.6444444444444445,1.1943055555555555,2.8668055555555547
Mark 14,passive_seller_after_aggr_buy,VELVETFRUIT_EXTRACT,20,331,0.5755287009063444,0.5,2.713686226945129,0.5196374622356495,0.1661631419939577,1.0105740181268883
Mark 14,passive_seller_after_aggr_buy,VELVETFRUIT_EXTRACT,100,328,1.0975609756097562,1.0,2.2196620491830568,0.524390243902439,0.12324695121951221,2.0080411585365834
Mark 14,passive_seller_after_aggr_buy,VELVETFRUIT_EXTRACT,5,331,0.26132930513595165,0.0,2.1520837296133988,0.48036253776435045,0.022658610271903322,0.4879154078549849
Mark 49,passive_seller_after_aggr_buy,VELVETFRUIT_EXTRACT,100,103,1.8398058252427185,1.0,2.0263596413545675,0.5339805825242718,0.13531553398058255,3.6699029126213594
Mark 14,passive_seller_after_aggr_buy,HYDROGEL_PACK,20,507,-0.3530571992110454,0.0,-0.9265111759629896,0.4930966469428008,-1.1046844181459567,0.3925295857988164
Mark 14,passive_seller_after_aggr_buy,HYDROGEL_PACK,5,507,-0.17159763313609466,0.0,-0.9230233405315611,0.4536489151873767,-0.5246794871794872,0.1893491124260355
Mark 22,passive_seller_after_aggr_buy,VELVETFRUIT_EXTRACT,100,90,0.9111111111111111,0.75,0.88338027630116,0.5111111111111111,-1.1445833333333333,2.800138888888888
Mark 14,passive_seller_after_aggr_buy,VEV_4000,5,207,0.13043478260869565,0.0,0.8471128956855575,0.47342995169082125,-0.17644927536231883,0.4227657004830914
Mark 14,passive_seller_after_aggr_buy,VEV_4000,20,205,0.2146341463414634,0.0,0.752523547921182,0.4878048780487805,-0.32689024390243904,0.7538414634146332
Mark 14,passive_seller_after_aggr_buy,VEV_4000,100,203,-0.4064039408866995,0.0,-0.659836798771061,0.4827586206896552,-1.5985837438423647,0.7833128078817732
Mark 14,passive_seller_after_aggr_buy,HYDROGEL_PACK,100,505,-0.49504950495049505,0.0,-0.6070194537656001,0.48514851485148514,-2.070321782178218,1.0911138613861386
Mark 01,passive_seller_after_aggr_buy,VELVETFRUIT_EXTRACT,100,244,-0.17418032786885246,-0.5,-0.286911599253735,0.47540983606557374,-1.346311475409836,1.0411372950819664
Mark 01,passive_seller_after_aggr_buy,VELVETFRUIT_EXTRACT,20,244,0.006147540983606557,0.0,0.02254841886603109,0.47540983606557374,-0.5368852459016393,0.5533299180327866
Mark 01,passive_seller_after_aggr_buy,VELVETFRUIT_EXTRACT,5,244,-0.0020491803278688526,0.0,-0.015143055493129122,0.4180327868852459,-0.2582479508196721,0.26639344262295084
