buyer,seller,edge_count,notional_sum_abs_price,gross_notional,reverse_edge_count,reverse_gross_n,reciprocity_ratio_n
Mark 01,Mark 22,1339,9524.0,32427.0,0.0,0.0,0.0
Mark 14,Mark 38,728,5241094.0,20434344.0,714.0,20850351.0,0.9902912621359223
Mark 38,Mark 14,714,5330467.0,20850351.0,728.0,20434344.0,0.9902912621359223
Mark 55,Mark 14,331,1737664.0,9254679.0,316.0,9235831.0,0.9768160741885626
Mark 14,Mark 55,316,1657295.0,9235831.0,331.0,9254679.0,0.9768160741885626
Mark 01,Mark 55,260,1363813.0,7432924.0,244.0,7220079.0,0.9682539682539683
Mark 55,Mark 01,244,1281173.0,7220079.0,260.0,7432924.0,0.9682539682539683
Mark 67,Mark 49,89,467329.0,5056558.0,0.0,0.0,0.0
Mark 14,Mark 22,83,4009.0,14577.0,0.0,0.0,0.0
Mark 67,Mark 22,75,393561.0,2864651.0,0.0,0.0,0.0
Mark 38,Mark 22,19,84909.0,327140.0,17.0,427078.0,0.9444444444444444
Mark 22,Mark 55,18,94404.0,482557.0,14.0,325980.0,0.875
Mark 22,Mark 38,17,112433.0,427078.0,19.0,327140.0,0.9444444444444444
Mark 55,Mark 22,14,73580.0,325980.0,18.0,482557.0,0.875
Mark 49,Mark 22,12,62994.0,467190.0,7.0,283215.0,0.7368421052631579
Mark 55,Mark 49,9,47182.0,283190.0,5.0,136283.0,0.7142857142857143
Mark 22,Mark 49,7,36709.0,283215.0,12.0,467190.0,0.7368421052631579
Mark 49,Mark 55,5,26217.0,136283.0,9.0,283190.0,0.7142857142857143
Mark 67,Mark 55,1,5241.0,5241.0,0.0,0.0,0.0
