pair,symbol,joint_tight,n,mean
Mark 55->Mark 22,VELVETFRUIT_EXTRACT,False,11,3.0
Mark 67->Mark 22,VELVETFRUIT_EXTRACT,True,15,2.8333333333333335
Mark 67->Mark 22,VELVETFRUIT_EXTRACT,False,60,1.825
Mark 67->Mark 49,VELVETFRUIT_EXTRACT,False,77,1.7207792207792207
Mark 38->Mark 22,HYDROGEL_PACK,False,8,1.3125
Mark 14->Mark 38,VEV_4000,True,55,1.1
Mark 67->Mark 49,VELVETFRUIT_EXTRACT,True,12,1.0833333333333333
Mark 01->Mark 22,VEV_5200,True,11,0.8636363636363636
Mark 55->Mark 14,VELVETFRUIT_EXTRACT,False,245,0.6224489795918368
Mark 14->Mark 38,HYDROGEL_PACK,False,370,0.4702702702702703
Mark 55->Mark 14,VELVETFRUIT_EXTRACT,True,86,0.4418604651162791
Mark 38->Mark 14,VEV_4000,False,145,0.41379310344827586
Mark 01->Mark 55,VELVETFRUIT_EXTRACT,True,70,0.24285714285714285
Mark 14->Mark 55,VELVETFRUIT_EXTRACT,True,84,0.17857142857142858
Mark 22->Mark 55,VELVETFRUIT_EXTRACT,False,15,0.1
Mark 38->Mark 14,HYDROGEL_PACK,True,129,0.09689922480620156
Mark 01->Mark 22,VEV_5400,True,263,0.039923954372623575
Mark 55->Mark 01,VELVETFRUIT_EXTRACT,False,173,0.031791907514450865
Mark 01->Mark 22,VEV_5500,True,298,0.025167785234899327
Mark 14->Mark 22,VEV_5200,True,33,0.015151515151515152
Mark 01->Mark 22,VEV_6000,True,316,0.0
Mark 01->Mark 22,VEV_6500,True,316,0.0
Mark 55->Mark 01,VELVETFRUIT_EXTRACT,True,71,-0.056338028169014086
Mark 01->Mark 55,VELVETFRUIT_EXTRACT,False,190,-0.08157894736842106
Mark 01->Mark 22,VEV_5300,True,132,-0.12121212121212122
Mark 14->Mark 22,VEV_5300,True,29,-0.2413793103448276
Mark 38->Mark 14,VEV_4000,True,60,-0.26666666666666666
Mark 14->Mark 55,VELVETFRUIT_EXTRACT,False,232,-0.3879310344827586
Mark 14->Mark 22,VEV_5400,True,12,-0.4166666666666667
Mark 14->Mark 38,HYDROGEL_PACK,True,126,-0.4603174603174603
Mark 38->Mark 14,HYDROGEL_PACK,False,378,-0.5066137566137566
Mark 14->Mark 38,VEV_4000,False,177,-0.576271186440678
Mark 49->Mark 22,VELVETFRUIT_EXTRACT,False,9,-1.3888888888888888
Mark 22->Mark 38,HYDROGEL_PACK,False,8,-5.5625
