buyer,seller,edge_count,gross_notional,reverse_edge_count,reciprocity_ratio_n
Mark 01,Mark 22,1339,32427.0,0.0,0.0
Mark 14,Mark 38,728,20434344.0,714.0,0.9902912621359223
Mark 38,Mark 14,714,20850351.0,728.0,0.9902912621359223
Mark 55,Mark 14,331,9254679.0,316.0,0.9768160741885626
Mark 14,Mark 55,316,9235831.0,331.0,0.9768160741885626
Mark 01,Mark 55,260,7432924.0,244.0,0.9682539682539683
Mark 55,Mark 01,244,7220079.0,260.0,0.9682539682539683
Mark 67,Mark 49,89,5056558.0,0.0,0.0
Mark 14,Mark 22,83,14577.0,0.0,0.0
Mark 67,Mark 22,75,2864651.0,0.0,0.0
Mark 38,Mark 22,19,327140.0,17.0,0.9444444444444444
Mark 22,Mark 55,18,482557.0,14.0,0.875
Mark 22,Mark 38,17,427078.0,19.0,0.9444444444444444
Mark 55,Mark 22,14,325980.0,18.0,0.875
Mark 49,Mark 22,12,467190.0,7.0,0.7368421052631579
Mark 55,Mark 49,9,283190.0,5.0,0.7142857142857143
Mark 22,Mark 49,7,283215.0,12.0,0.7368421052631579
Mark 49,Mark 55,5,136283.0,9.0,0.7142857142857143
Mark 67,Mark 55,1,5241.0,0.0,0.0
