day,buyer,seller,symbol,mean,count
1,Mark 01,Mark 22,VEV_5300,-0.703125,32
1,Mark 01,Mark 22,VEV_5400,0.05263157894736842,76
1,Mark 01,Mark 22,VEV_5500,-0.0056179775280898875,89
1,Mark 01,Mark 22,VEV_6000,0.0,98
1,Mark 01,Mark 22,VEV_6500,0.0,98
1,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,0.743421052631579,76
1,Mark 14,Mark 22,VEV_5200,-1.5833333333333333,6
1,Mark 14,Mark 22,VEV_5300,0.25,6
1,Mark 14,Mark 22,VEV_5400,-0.5,5
1,Mark 14,Mark 38,HYDROGEL_PACK,1.180327868852459,183
1,Mark 14,Mark 38,VEV_4000,0.10989010989010989,91
1,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,-0.06578947368421052,114
1,Mark 22,Mark 55,VELVETFRUIT_EXTRACT,-1.25,6
1,Mark 38,Mark 14,HYDROGEL_PACK,-0.3502673796791444,187
1,Mark 38,Mark 14,VEV_4000,-0.34507042253521125,71
1,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,-0.5802469135802469,81
1,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,1.3195876288659794,97
1,Mark 67,Mark 22,VELVETFRUIT_EXTRACT,2.359375,32
1,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,1.6346153846153846,26
2,Mark 01,Mark 22,VEV_5300,0.1774193548387097,31
2,Mark 01,Mark 22,VEV_5400,0.02564102564102564,78
2,Mark 01,Mark 22,VEV_5500,0.016483516483516484,91
2,Mark 01,Mark 22,VEV_6000,0.0,95
2,Mark 01,Mark 22,VEV_6500,0.0,95
2,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,-0.8351648351648352,91
2,Mark 14,Mark 22,VEV_5200,2.625,8
2,Mark 14,Mark 22,VEV_5300,-0.6071428571428571,14
2,Mark 14,Mark 38,HYDROGEL_PACK,0.007042253521126761,142
2,Mark 14,Mark 38,VEV_4000,-1.109375,64
2,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,-0.30434782608695654,92
2,Mark 22,Mark 55,VELVETFRUIT_EXTRACT,0.7142857142857143,7
2,Mark 38,Mark 14,HYDROGEL_PACK,-0.6677018633540373,161
2,Mark 38,Mark 14,VEV_4000,0.8095238095238095,63
2,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,0.125,92
2,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,0.4364406779661017,118
2,Mark 55,Mark 22,VELVETFRUIT_EXTRACT,1.4375,8
2,Mark 67,Mark 22,VELVETFRUIT_EXTRACT,1.1923076923076923,26
2,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,1.6428571428571428,35
3,Mark 01,Mark 22,VEV_5200,0.8636363636363636,11
3,Mark 01,Mark 22,VEV_5300,0.014492753623188406,69
3,Mark 01,Mark 22,VEV_5400,0.04128440366972477,109
3,Mark 01,Mark 22,VEV_5500,0.0546218487394958,119
3,Mark 01,Mark 22,VEV_6000,0.0,124
3,Mark 01,Mark 22,VEV_6500,0.0,124
3,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,0.22580645161290322,93
3,Mark 14,Mark 22,VEV_5200,-0.5789473684210527,19
3,Mark 14,Mark 22,VEV_5300,0.05,10
3,Mark 14,Mark 22,VEV_5400,-0.16666666666666666,6
3,Mark 14,Mark 38,HYDROGEL_PACK,-0.5906432748538012,171
3,Mark 14,Mark 38,VEV_4000,0.2532467532467532,77
3,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,-0.35909090909090907,110
3,Mark 22,Mark 55,VELVETFRUIT_EXTRACT,2.4,5
3,Mark 38,Mark 14,HYDROGEL_PACK,-0.03773584905660377,159
3,Mark 38,Mark 14,VEV_4000,0.24647887323943662,71
3,Mark 49,Mark 22,VELVETFRUIT_EXTRACT,-5.7,5
3,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,0.5211267605633803,71
3,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,0.09482758620689655,116
3,Mark 55,Mark 49,VELVETFRUIT_EXTRACT,3.3,5
3,Mark 67,Mark 22,VELVETFRUIT_EXTRACT,2.676470588235294,17
3,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,1.625,28
