participant,role,symbol,K,ts_bucket,spread_bucket,burst_ge4,n,mean,median,t_stat,frac_pos,ci_lo,ci_hi
Mark 38,U_aggr_buy,HYDROGEL_PACK,5,0,q0_tight,0,101,0.07920792079207921,0.5,0.21294829235061702,0.504950495049505,-0.663490099009901,0.797153465346534
Mark 38,U_aggr_buy,HYDROGEL_PACK,20,0,q0_tight,0,101,-0.15346534653465346,0.0,-0.19285067072047743,0.48514851485148514,-1.6288366336633662,1.3961633663366328
Mark 38,U_aggr_buy,HYDROGEL_PACK,100,0,q0_tight,0,101,-0.35148514851485146,-1.0,-0.1806903595160199,0.46534653465346537,-4.203341584158416,3.302103960396039
Mark 38,U_aggr_buy,HYDROGEL_PACK,5,0,q1,0,15,0.7333333333333333,-1.0,0.5167436111331328,0.3333333333333333,,
Mark 38,U_aggr_buy,HYDROGEL_PACK,20,0,q1,0,15,-1.8333333333333333,1.0,-0.6979782145198539,0.5333333333333333,,
Mark 38,U_aggr_buy,HYDROGEL_PACK,100,0,q1,0,15,-7.533333333333333,-1.0,-1.0465446699170173,0.4666666666666667,,
Mark 38,U_aggr_buy,HYDROGEL_PACK,5,1,q0_tight,0,11,-0.45454545454545453,-1.5,-0.29411764705882354,0.36363636363636365,,
Mark 38,U_aggr_buy,HYDROGEL_PACK,20,1,q0_tight,0,11,-1.4545454545454546,-1.0,-0.6234607526152905,0.45454545454545453,,
Mark 38,U_aggr_buy,HYDROGEL_PACK,100,1,q0_tight,0,11,-2.3181818181818183,-5.5,-0.6440441310889834,0.45454545454545453,,
Mark 38,U_aggr_buy,HYDROGEL_PACK,5,1,q1,0,119,0.058823529411764705,0.0,0.17206779640239353,0.46218487394957986,-0.5968487394957983,0.726890756302521
Mark 38,U_aggr_buy,HYDROGEL_PACK,20,1,q1,0,119,-0.13445378151260504,-0.5,-0.1707779665490916,0.453781512605042,-1.6221638655462185,1.4121848739495777
Mark 38,U_aggr_buy,HYDROGEL_PACK,100,1,q1,0,119,1.1554621848739495,1.0,0.7662519964826963,0.5210084033613446,-1.828046218487395,4.050945378151257
