burst_type,buyer,seller,symbol,n,mean
no_burst,Mark 67,Mark 22,VELVETFRUIT_EXTRACT,73,2.047945205479452
no_burst,Mark 55,Mark 22,VELVETFRUIT_EXTRACT,14,2.0357142857142856
no_burst,Mark 67,Mark 49,VELVETFRUIT_EXTRACT,89,1.6348314606741574
burst_M01_M22,Mark 01,Mark 22,VEV_5200,11,0.8636363636363636
no_burst,Mark 55,Mark 14,VELVETFRUIT_EXTRACT,327,0.5657492354740061
no_burst,Mark 22,Mark 55,VELVETFRUIT_EXTRACT,18,0.5277777777777778
no_burst,Mark 14,Mark 38,HYDROGEL_PACK,487,0.29774127310061604
no_burst,Mark 38,Mark 14,VEV_4000,205,0.2146341463414634
burst_M01_M22,Mark 01,Mark 22,VEV_5400,259,0.03667953667953668
burst_M01_M22,Mark 01,Mark 22,VEV_5500,281,0.03558718861209965
no_burst,Mark 01,Mark 55,VELVETFRUIT_EXTRACT,259,0.021235521235521235
burst_other,Mark 14,Mark 22,VEV_5200,33,0.015151515151515152
no_burst,Mark 55,Mark 01,VELVETFRUIT_EXTRACT,241,0.002074688796680498
no_burst,Mark 01,Mark 22,VEV_6500,25,0.0
burst_M01_M22,Mark 01,Mark 22,VEV_6000,292,0.0
burst_M01_M22,Mark 01,Mark 22,VEV_6500,292,0.0
no_burst,Mark 01,Mark 22,VEV_6000,25,0.0
burst_M01_M22,Mark 01,Mark 22,VEV_5300,131,-0.12213740458015267
no_burst,Mark 01,Mark 22,VEV_5500,18,-0.1388888888888889
no_burst,Mark 14,Mark 38,VEV_4000,231,-0.18831168831168832
burst_other,Mark 14,Mark 22,VEV_5300,30,-0.21666666666666667
no_burst,Mark 14,Mark 55,VELVETFRUIT_EXTRACT,312,-0.23397435897435898
no_burst,Mark 38,Mark 14,HYDROGEL_PACK,500,-0.356
burst_other,Mark 14,Mark 22,VEV_5400,12,-0.4166666666666667
no_burst,Mark 49,Mark 22,VELVETFRUIT_EXTRACT,12,-2.7083333333333335
no_burst,Mark 22,Mark 38,HYDROGEL_PACK,11,-5.863636363636363
