timestamp,day,dte,dte_eff,t_years,voucher,K,S,fv,mid,intrinsic,time_value,moneyness_K_over_S,log_moneyness,log_S_over_K,iv
93900,39,5,4.9061,0.0134413698630137,VEV_5200,5200,5271.05712890625,107.07826232910156,107.07826232910156,71.05712890625,36.02113342285156,0.9865193779599588,-0.013572310570010057,0.01357231057001019,0.2705464320922053
8900,39,5,4.9911,0.013674246575342467,VEV_6000,6000,5267.62451171875,0.000902235507965,0.000902235507965,0.0,0.000902235507965,1.1390333511152804,0.13017996508577562,-0.13017996508577553,0.27294800669909797
23900,39,5,4.9761,0.013633150684931506,VEV_6000,6000,5265.10009765625,0.000835359096527,0.000835359096527,0.0,0.000835359096527,1.1395794740295422,0.13065931192231783,-0.13065931192231772,0.27323271812521166
59000,39,5,4.941,0.013536986301369862,VEV_5400,5400,5243.01513671875,12.259193420410156,12.259193420410156,0.0,12.259193420410156,1.0299417146789884,0.029502212950098156,-0.02950221295009805,0.24804053085890657
23400,39,5,4.9766,0.013634520547945207,VEV_5100,5100,5263.25341796875,175.47821044921875,175.47821044921875,163.25341796875,12.22479248046875,0.9689824135369575,-0.03150881634073467,0.03150881634073478,0.26027494233831117
82200,39,5,4.9178,0.013473424657534245,VEV_5300,5300,5272.001953125,53.65518569946289,53.65518569946289,0.0,53.65518569946289,1.0053107049511627,0.0052966528865806325,-0.005296652886580598,0.27258900058372015
55000,39,5,4.945,0.013547945205479453,VEV_5400,5400,5257.76953125,14.743451118469238,14.743451118469238,0.0,14.743451118469238,1.0270514840760214,0.02669206024106772,-0.026692060241067708,0.24789767843379332
64500,39,5,4.9355,0.013521917808219179,VEV_4500,4500,5253.19970703125,753.199462890625,753.199462890625,753.19970703125,-0.000244140625,0.8566207741877555,-0.15475996218301366,0.15475996218301363,
26700,39,5,4.9733,0.013625479452054794,VEV_4000,4000,5267.33984375,1267.3399658203125,1267.3399658203125,1267.33984375,0.0001220703125,0.759396606001458,-0.2752311005103852,0.2752311005103852,0.5136261230448363
34900,39,5,4.9651,0.013603013698630135,VEV_5500,5500,5268.302734375,6.86198091506958,6.86198091506958,0.0,6.86198091506958,1.0439794896586343,0.043039843346614974,-0.04303984334661492,0.27179258217884594
10800,39,5,4.9892,0.013669041095890412,VEV_5500,5500,5260.978515625,6.254610061645508,6.254610061645508,0.0,6.254610061645508,1.0454328949766876,0.04443105320366274,-0.04443105320366267,0.27140035798211926
