day,voucher,mean,std,mean_abs_res
39,VEV_4000,0.016572088759601183,0.0027492768100542946,0.016740893053101193
39,VEV_4500,-0.03187809038671867,0.01705018765583793,0.03267347873207617
39,VEV_5000,-0.00155032791634906,0.0023923098074294167,0.0016616596169657502
39,VEV_5100,-0.0022229377020994492,0.0022138570469671585,0.0025735905147514977
39,VEV_5200,0.0073808966428078725,0.004015413420755889,0.007394590365903833
39,VEV_5300,0.01284444993948657,0.005315075446503705,0.01284444993948657
39,VEV_5400,-0.011151297622419594,0.005529830364435616,0.011151297622419594
39,VEV_5500,0.010132639357253228,0.004956801449438241,0.010139167683133233
39,VEV_6000,-0.006878984259419209,0.008903795855906066,0.007058116005947191
39,VEV_6500,-0.013214136457552428,,0.013214136457552428
