day,timestamp,joint_tight,fwd20
1,0,False,6.5
1,100,False,4.5
1,200,False,2.0
1,300,False,2.0
1,400,False,3.0
1,500,True,4.0
1,600,False,4.0
1,700,False,3.0
1,800,True,3.0
1,900,False,4.0
1,1000,False,3.0
1,1100,True,4.0
1,1200,False,4.5
1,1300,False,4.5
1,1400,False,2.5
1,1500,False,3.0
1,1600,False,3.0
1,1700,False,0.5
1,1800,False,1.0
1,1900,False,1.0
1,2000,False,1.0
1,2100,False,2.0
1,2200,False,4.0
1,2300,False,3.0
1,2400,False,4.0
1,2500,False,3.0
1,2600,False,4.5
1,2700,False,4.5
1,2800,False,3.0
1,2900,False,3.0
1,3000,False,2.0
1,3100,False,0.5
1,3200,False,-1.5
1,3300,False,-0.5
1,3400,False,0.5
1,3500,False,1.0
1,3600,False,-0.5
1,3700,False,0.0
1,3800,False,2.0
1,3900,False,2.0
1,4000,False,1.0
1,4100,False,0.5
1,4200,False,0.0
1,4300,False,0.0
1,4400,False,-2.5
1,4500,True,-4.0
1,4600,False,-3.0
1,4700,False,-3.0
1,4800,False,-3.0
1,4900,False,-5.0
1,5000,False,-3.5
1,5100,False,-3.5
1,5200,False,-4.0
1,5300,False,-7.0
1,5400,False,-7.5
1,5500,False,-8.0
1,5600,False,-7.0
1,5700,False,-4.5
1,5800,False,-6.5
1,5900,False,-6.0
1,6000,False,-7.0
1,6100,False,-5.0
1,6200,False,-7.0
1,6300,False,-5.0
1,6400,False,-3.5
1,6500,False,-4.0
1,6600,False,-5.5
1,6700,False,-4.5
1,6800,False,-3.0
1,6900,False,-2.0
1,7000,False,-2.0
1,7100,False,-2.5
1,7200,False,-0.5
1,7300,False,-0.5
1,7400,False,-3.0
1,7500,True,-2.5
1,7600,False,0.5
1,7700,False,-2.5
1,7800,False,-0.5
1,7900,False,-2.5
1,8000,False,-1.0
1,8100,False,-3.5
1,8200,False,-2.0
1,8300,False,-6.0
1,8400,False,-9.0
1,8500,False,-5.0
1,8600,False,-3.5
1,8700,False,-4.0
1,8800,False,-3.0
1,8900,True,-2.0
1,9000,False,-2.0
1,9100,False,-1.5
