day,timestamp,price,quantity,fwd20_5300
1,14800,42.0,4,-1.0
1,16700,41.0,2,-1.0
1,40400,41.0,4,-1.0
1,74100,42.0,3,1.0
1,85300,42.0,2,1.0
1,89800,45.0,4,-1.0
1,135900,52.0,3,-2.0
1,150600,53.0,2,-4.0
1,170500,46.0,3,0.0
1,172500,46.0,5,-2.0
1,190100,42.0,3,-1.0
1,195600,41.0,3,1.0
1,252500,53.0,2,0.0
1,376600,46.0,5,0.5
1,377900,47.0,2,1.0
1,460400,47.0,3,2.0
1,489700,43.0,4,2.0
1,519500,50.0,4,0.0
1,553100,39.0,4,1.0
1,564300,40.0,2,1.0
1,568900,43.0,4,-1.0
1,588200,45.0,4,-2.0
1,604600,39.0,5,-2.0
1,617900,40.0,2,0.0
1,618300,40.0,2,-1.0
1,624400,42.0,2,-3.0
1,636100,37.0,4,-4.0
1,642100,34.0,4,-1.0
1,674000,37.0,3,1.0
1,710500,49.0,5,2.0
1,720500,53.0,2,-1.5
1,725000,53.0,4,-3.0
1,800400,45.0,3,-2.0
1,807800,45.0,3,-2.0
1,812600,40.0,4,-2.0
1,848900,51.0,5,-1.0
1,948500,45.0,4,2.0
1,988100,46.0,5,2.0
2,20900,53.0,5,-1.0
2,75200,46.0,4,-1.5
2,79300,47.0,5,2.5
2,105500,47.0,5,1.0
2,129700,46.0,4,0.0
2,169000,52.0,3,-0.5
2,189100,47.0,4,0.5
2,204400,47.0,5,2.5
2,225500,50.0,5,-2.0
2,289300,52.0,2,-1.0
2,320800,52.0,5,0.0
2,321600,50.0,4,0.0
2,350700,47.0,4,-3.0
2,358500,47.0,2,1.0
2,362600,47.0,5,-2.0
2,365600,45.0,4,1.0
2,389000,38.0,2,0.0
2,390300,38.0,3,2.0
2,414900,34.0,3,3.0
2,423800,36.0,5,1.0
2,433100,38.0,2,-1.0
2,461200,37.0,3,1.0
2,483400,40.0,5,-2.0
2,501900,38.0,3,-2.0
2,519600,40.0,5,-1.0
2,548600,36.0,2,0.0
2,587100,28.0,4,0.5
2,588500,28.0,4,-0.5
2,604100,38.0,2,2.0
2,666500,42.0,2,1.5
2,711900,43.0,3,-3.0
2,748500,28.0,2,0.5
2,764000,32.0,3,-0.5
2,779200,37.0,4,-2.0
2,808800,44.0,4,-3.0
2,826400,42.0,4,0.0
2,836300,43.0,4,0.0
2,872600,39.0,2,-1.0
2,898600,52.0,2,1.0
2,948500,49.0,5,-1.0
2,972800,46.0,2,0.0
2,977300,46.0,4,0.0
2,977500,46.0,2,0.0
2,993800,50.0,5,4.0
3,32900,45.0,3,1.0
3,33600,46.0,2,0.0
3,40200,41.0,3,-4.0
3,74300,41.0,3,-1.0
3,92200,40.0,3,-1.0
3,98900,39.0,3,-1.0
3,128700,33.0,3,3.5
3,137700,36.0,4,-1.5
3,155400,33.0,2,-2.0
3,218300,29.0,5,1.0
3,220800,31.0,4,-2.0
3,222400,29.0,2,0.0
3,243700,31.0,2,-0.5
3,269000,32.0,2,-2.5
3,289400,31.0,2,-2.0
3,290900,29.0,4,-1.0
3,315800,28.0,3,0.5
3,317200,28.0,4,-0.5
3,319700,27.0,2,-1.0
3,320200,27.0,4,0.5
3,328700,29.0,3,2.5
3,329200,30.0,5,2.0
3,332600,32.0,2,-2.0
3,350300,27.0,4,-1.5
3,363100,27.0,2,-0.5
3,364700,27.0,3,0.0
3,369800,28.0,5,1.0
3,385400,32.0,4,1.5
3,389100,32.0,2,2.0
3,391400,34.0,4,0.0
3,428900,25.0,5,-1.0
3,431900,24.0,5,0.5
3,442200,23.0,2,1.0
3,451300,23.0,3,-0.5
3,456600,23.0,2,-0.5
3,459800,23.0,2,-0.5
3,483900,22.0,3,2.0
3,498100,21.0,5,-0.5
3,511800,20.0,2,1.5
3,524000,21.0,2,0.0
3,529600,20.0,2,-0.5
3,531500,20.0,2,-1.0
3,535400,18.0,3,1.5
3,535900,18.0,3,1.5
3,551600,23.0,4,1.0
3,555100,26.0,5,-0.5
3,580600,25.0,5,-0.5
3,584300,24.0,2,-2.0
3,612700,27.0,2,2.5
3,622500,25.0,2,0.5
3,627700,30.0,2,-3.0
3,631300,29.0,5,-1.0
3,631500,29.0,2,-2.0
3,634500,29.0,2,0.5
3,642500,32.0,3,3.0
3,671800,33.0,4,3.5
3,671900,33.0,4,3.0
3,689900,30.0,5,1.0
3,699400,32.0,4,-1.0
3,700300,32.0,4,-0.5
3,705400,32.0,2,0.5
3,708800,34.0,5,4.0
3,728500,36.0,2,-1.5
3,730000,36.0,2,-3.0
3,741100,29.0,2,1.0
3,753700,27.0,3,0.5
3,785100,31.0,2,1.5
3,793100,32.0,2,0.0
3,820200,34.0,5,-0.5
3,834400,29.0,5,-1.5
3,864100,26.0,2,1.5
3,868300,27.0,2,-1.0
3,877600,28.0,5,-1.0
3,890900,27.0,4,2.5
3,894300,29.0,3,-0.5
3,918500,34.0,5,1.5
3,977300,31.0,4,-2.0
3,983300,30.0,3,-0.5
