symbol,horizon_K,n,mean_fwd,std_fwd,t_vs_zero,frac_pos,n_days_ge5,frac_days_mean_pos
VEV_5200,5,11,-0.18181818181818182,1.1241158141563368,-0.53644178078582,0.2727272727272727,1,0.0
VEV_5200,20,11,0.8636363636363636,3.3844564489065974,0.8463272660560105,0.6363636363636364,1,1.0
VEV_5200,100,11,2.772727272727273,5.680508940067062,1.6188859319906685,0.7272727272727273,1,1.0
VEV_5300,5,132,-0.14772727272727273,0.7406893744880698,-2.2914560462557185,0.25,3,0.0
VEV_5300,20,132,-0.12121212121212122,1.6567249170711236,-0.8405868912188258,0.3939393939393939,3,0.6666666666666666
VEV_5300,100,132,0.07575757575757576,3.276381387173505,0.26565536087645847,0.49242424242424243,3,0.3333333333333333
VEV_5400,5,263,-0.013307984790874524,0.3793496949291907,-0.5689189907814671,0.17110266159695817,3,0.3333333333333333
VEV_5400,20,263,0.039923954372623575,0.7749188543558684,0.835516819777602,0.30798479087452474,3,1.0
VEV_5400,100,262,0.02099236641221374,1.4688783506937895,0.23132694045621705,0.4198473282442748,3,0.3333333333333333
VEV_5500,5,298,-0.020134228187919462,0.2275561471460346,-1.5274061904161225,0.05704697986577181,3,0.0
VEV_5500,20,298,0.025167785234899327,0.4146364340319458,1.0478175556061862,0.14429530201342283,3,0.6666666666666666
VEV_5500,100,297,-0.020202020202020204,0.715132731676312,-0.4868401297970235,0.24242424242424243,3,0.3333333333333333
VEV_6000,5,316,0.0,0.0,,0.0,3,0.0
VEV_6000,20,316,0.0,0.0,,0.0,3,0.0
VEV_6000,100,315,0.0,0.0,,0.0,3,0.0
VEV_6500,5,316,0.0,0.0,,0.0,3,0.0
VEV_6500,20,316,0.0,0.0,,0.0,3,0.0
VEV_6500,100,315,0.0,0.0,,0.0,3,0.0
