buyer,seller,symbol,day,horizon_K,n,mean_fwd,t_vs_zero
Mark 38,Mark 14,HYDROGEL_PACK,1,5,25,0.92,1.2630421574962336
Mark 38,Mark 14,HYDROGEL_PACK,1,20,25,1.12,0.6066415133314059
Mark 38,Mark 14,HYDROGEL_PACK,1,100,25,2.86,0.9190204791742164
Mark 38,Mark 14,HYDROGEL_PACK,2,5,27,-0.2037037037037037,-0.33303940408959154
Mark 38,Mark 14,HYDROGEL_PACK,2,20,27,-0.9074074074074074,-0.6897304947150052
Mark 38,Mark 14,HYDROGEL_PACK,2,100,27,3.7777777777777777,1.135616567893032
Mark 38,Mark 14,HYDROGEL_PACK,3,5,77,-0.3961038961038961,-0.8148960008214151
Mark 38,Mark 14,HYDROGEL_PACK,3,20,77,0.11688311688311688,0.112388279561511
Mark 38,Mark 14,HYDROGEL_PACK,3,100,76,-0.8421052631578947,-0.3545318093507073
Mark 38,Mark 14,VEV_4000,1,5,12,-1.2083333333333333,-1.343792344275149
Mark 38,Mark 14,VEV_4000,1,20,12,-2.4583333333333335,-1.7375501889585931
Mark 38,Mark 14,VEV_4000,1,100,12,-0.6666666666666666,-0.2551485748841186
Mark 38,Mark 14,VEV_4000,2,5,9,-0.4444444444444444,-0.5052071823605381
Mark 38,Mark 14,VEV_4000,2,20,9,-0.4444444444444444,-0.23333434607140816
Mark 38,Mark 14,VEV_4000,2,100,9,3.3333333333333335,0.778498944161523
Mark 38,Mark 14,VEV_4000,3,5,39,0.48717948717948717,1.1592445653883587
Mark 38,Mark 14,VEV_4000,3,20,39,0.44871794871794873,0.759793116342763
Mark 38,Mark 14,VEV_4000,3,100,38,-2.210526315789474,-1.350430807169848
