day,mark,role,joint_tight,horizon_K,n,mean_fwd,t_vs_zero
1,Mark 01,any_touch,True,5,415,-0.02289156626506024,-0.7071706619468543
1,Mark 01,any_touch,True,20,415,-0.07951807228915662,-1.4428010167073646
1,Mark 01,any_touch,True,100,415,0.10963855421686747,0.8005844148587696
1,Mark 01,any_touch,False,5,135,0.32222222222222224,1.7311447183738344
1,Mark 01,any_touch,False,20,135,0.17407407407407408,0.44276412550917965
1,Mark 01,any_touch,False,100,135,-0.774074074074074,-0.9602285541069338
1,Mark 14,any_touch,True,5,121,0.3305785123966942,1.1178775259572467
1,Mark 14,any_touch,True,20,121,0.8099173553719008,1.440572983207397
1,Mark 14,any_touch,True,100,121,1.4958677685950412,1.2572464993982024
1,Mark 14,any_touch,False,5,643,-0.07776049766718507,-0.5650966790883563
1,Mark 14,any_touch,False,20,643,0.2177293934681182,0.784852721743935
1,Mark 14,any_touch,False,100,643,-0.37091757387247276,-0.6578999447104437
1,Mark 22,seller_agg,True,5,414,-0.042270531400966184,-2.4593655055116392
1,Mark 22,seller_agg,True,20,414,-0.0929951690821256,-2.144028318332833
1,Mark 22,seller_agg,True,100,414,-0.16545893719806765,-1.9457323853934665
1,Mark 22,any_touch,True,5,427,-0.00819672131147541,-0.31686596599199546
1,Mark 22,any_touch,True,20,427,0.01756440281030445,0.26409317720262904
1,Mark 22,any_touch,True,100,427,0.16627634660421545,1.117709159987064
1,Mark 22,any_touch,False,5,47,1.553191489361702,4.074807640059214
1,Mark 22,any_touch,False,20,47,1.3404255319148937,1.9224638792649953
1,Mark 22,any_touch,False,100,47,2.627659574468085,1.5171695495854964
1,Mark 38,buyer_agg,True,5,43,0.37209302325581395,0.7213444348535553
1,Mark 38,buyer_agg,True,20,43,0.8488372093023255,0.6979504577598208
1,Mark 38,buyer_agg,True,100,43,3.895348837209302,1.8200340607823744
1,Mark 38,buyer_agg,False,5,224,-0.39285714285714285,-1.4865004854743877
1,Mark 38,buyer_agg,False,20,224,-0.45089285714285715,-0.8117473173777007
1,Mark 38,buyer_agg,False,100,224,-1.8415178571428572,-1.7058322754988238
